# DelveInfo
DelveInfo.CastingTime:          Spreektijd: {0}
SpellDescription.Occultist.ChtonicShapeShift2:			Krijgt ook de vaardigheid Pareren.
SpellDescription.Occultist.DecrepitShapeShift1:			Belichaamt de Kreupele Magiër. Magische schade +{0}%.
SpellDescription.Occultist.DecrepitShapeShift2:			Pansterabsorptie +{0}%.
SpellDescription.Occultist.DecrepitShapeShift3:			Melee‑aanvallers hebben {0}% kans om Ziekte toe te passen; je rottend vlees regenereert en gezondheidsregeneratie +{1}.
SpellDescription.Occultist.BringerOfDeath1:				Belichaamt de Brenger van de Dood. Je spreuken zijn niet te onderbreken maar werken op {0}% en je ontvangt {1}% minder magische en fysieke schade.
SpellDescription.Occultist.BringerOfDeath2:				Bewegingssnelheid +{0}% ook in speedwarps of in gevecht. Ook de regen‑bonussen en Ziekte van de Kreupele vorm zijn actief.
SpellDescription.ArawnsLegion.MainDescription1:			Roep Arawn aan om zijn duivelse leger op het slagveld op te roepen.
SpellDescription.ArawnsLegion.MainDescription2:			Het legioen valt alle vijandelijke doelen binnen bereik aan (straal {0}) gedurende {1} seconden.
SpellDescription.ArawnsLegion.MainDescription3:			Je kunt dienaren alleen besturen in menselijke vorm, in Decrepit-vorm of in Spirit-vorm.
SpellDescription.SummonMultiTemplatePets.MainDescription1:		Roept een legioen dienaren op om je op het slagveld te helpen.
SpellDescription.DamageReturn.MainDescription:			Kaast {0}% van directe magische (geen DoT), melee‑ en projectielschade terug in {1} naar de aanvaller zolang actief.
SpellDescription.OffProcShear.Main1:					Verwijdert actieve offensieve procs van het doelwit.
SpellDescription.OffProcShear.Main2:					Brengt een vervloekte vervangende proc aan waarvan de subspreuken de vijanden van het doelwit healen wanneer zij raken.
SpellDescription.OffProcShear.ReplacementHeader:		Vervangings‑proc:


# ML Spells ShortDescriptions
SpellDescription.Convoker.SummonWood.MainDescription:			Roept willekeurig 100 planken op om poorten en muren van forten te versterken en te repareren.
SpellDescription.Convoker.PrescienceNode.MainDescription1:		Grondrune (straal 1000) die verborgen vijanden detecteert zonder hun onzichtbaarheid te breken.
SpellDescription.Convoker.PrescienceNode.MainDescription2:		De rune kan aangevallen worden en heeft {0} gezondheid.
SpellDescription.Convoker.Prescience.MainDescription1:			Een Aanwezigheidsrune heeft je gedetecteerd!
SpellDescription.Convoker.Prescience.MainDescription2:			Verleent voorgevoel om vijandelijke bewegingen te voorzien.
SpellDescription.Convoker.PowerTrap.MainDescription:			Plaats een rune die bij detonatie 20% mana van vijanden draineert (alleen wie mana heeft).
SpellDescription.Convoker.SpeedWrap.MainDescription:			Rune die snelheidsverhogingen van vijanden die erdoor lopen opheft. 6 s na het verlaten kunnen zij geen snelheids‑spreuken ontvangen.
SpellDescription.Convoker.SummonWarcrystal.MainDescription:		Roept belegeringsmunitie (hagel, bollen, ijs of rotsen) op en plaatst het in je inventaris.
SpellDescription.Convoker.Battlewarder.MainDescription1:		Roept een Gevechtswachter op die vijandelijke aanvallen onderschept. Blijft staan en verbruikt mana zolang actief.
SpellDescription.Convoker.Battlewarder.MainDescription2:		Grond‑doel. Kan naast andere pets bestaan; meerdere wachters kunnen worden opgeroepen.
SpellDescription.Convoker.DissonanceTrap.MainDescription:		Plaats een rune die bij detonatie {0} {1} toebrengt.
SpellDescription.Convoker.BrittleGuard.MainDescription1:		Roept een “Brosse Wacht” op die één melee‑treffer voor je kan blokkeren.
SpellDescription.Convoker.BrittleGuard.MainDescription2:		Heeft één levenspunt en sterft na een treffer. Slechts één tegelijk actief.
SpellDescription.Convoker.SummonMastery.MainDescription:		Verhoogt het effectieve niveau van je pets en verbetert hun schade en absorptie.
SpellDescription.Convoker.SummonTitan.MainDescription1:			Roept een Titaan op die groeit in grootte en kracht en verpletterend slaat.
SpellDescription.Convoker.SummonTitan.MainDescription2:			Blijft staan en valt alleen vijanden binnen melee‑bereik aan.
SpellDescription.Spymaster.Decoy.MainDescription:				Roept een lokbondgenoot op met epische uitrusting, 1 leven en geen offensieve vaardigheden om af te leiden.
SpellDescription.Spymaster.Sabotage.MainDescription:			Saboteert een doel (rune of belegeringsmachine) zodat het onbruikbaar wordt.
SpellDescription.Spymaster.TangleSnare.MainDescription:			Plaats een rune die vijanden in de straal bij detonatie met {0}% vertraagt. Breekt stealth bij gebruik.
SpellDescription.Spymaster.PoisonSpike.MainDescription:			Plaats een giftige rune die {0} {1} toebrengt aan nabije vijanden. Breekt stealth.
SpellDescription.Spymaster.Loockout.MainDescription1:			Een stationaire uitkijk detecteert sluipende vijanden binnen {0}. Blijft verborgen als hij niet beweegt.
SpellDescription.Spymaster.Loockout.MainDescription2:			Het doel moet zittend en onbeweeglijk zijn; bij beweging eindigt het effect.
SpellDescription.Spymaster.SiegeWrecker.MainDescription1:		Rune die zware schade aan belegeringsmachines toebrengt.
SpellDescription.Spymaster.SiegeWrecker.MainDescription2:		Brengt {0} schade toe bij activatie.
SpellDescription.Spymaster.EssenceFlare.MainDescription:		Brengt een gif aan dat vijanden 15 s in schemer plaatst.
SpellDescription.Spymaster.BlanketOfCamouflage.MainDescription:	Verbergt je groep. Bewegen, spreuken of gezang verwijdert het effect voor niet‑sluipenden.
SpellDescription.Battlemaster.MLEndudrain.MainDescription:		Draineert {0} uithouding van nabije vijanden.
SpellDescription.Battlemaster.KeepDamageBuff.MainDescription:	Verleent {0}% extra schade tegen belegeringsmachines en structuren.
SpellDescription.Battlemaster.MLManadrain.MainDescription:		Draineert {0} mana van nabije vijanden.
SpellDescription.Battlemaster.Grapple.MainDescription1:			Kort‑bereik effect dat {0} s immobiliseert en effecten opheft.
SpellDescription.Battlemaster.Grapple.MainDescription2:			Pint het doel vast; kan niet bewegen of melee gebruiken, maar mag 10 s casten/chanteren.
SpellDescription.Battlemaster.Grapple.MainDescription3:			Een vastgepind doel kan niet in melee worden aangevallen.
SpellDescription.Battlemaster.EssenceFlamesProc.MainDescription:	{0}% kans om extra Essentie‑schade met melee te activeren.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription1:		Afstandsaanval die melee‑schadeformules gebruikt.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription2:		Melee‑aanvallen zijn 10 s uitgeschakeld na gebruik.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription1:	Verlaagt Essentie‑weerstand van nabije vijanden met {0}%.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription2:	Verlaagt Essentie‑weerstand van het doel met {0}%.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription1:	Beschermt een bondgenoot nabij tegen melee‑aanvallen. Zolang de beschermer leeft of in bereik is, kan de bondgenoot niet gericht worden.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription2:	Blijft alleen actief als de beschermde stil blijft.
SpellDescription.Battlemaster.EssenceDampenHandler.MainDescription:	Verlaagt de mobiliteit van het doel met {0}%.
SpellDescription.Banelord.CastingSpeedDebuff.MainDescription:		Verlaagt de spreeksnelheid van vijanden met {0}%.
SpellDescription.Banelord.PBAEDamage.ML2.MainDescription:		Verlaagt mana, gezondheid en uithouding van vijanden in gebied met {0}%.
SpellDescription.Banelord.PBAEDamage.ML8.MainDescription:		Verlaagt hulpbronnen in gebied met {0}% en kost jou {1}% van je gezondheid.
SpellDescription.Banelord.Oppression.MainDescription:			Verlaagt de maximale draagcapaciteit van nabije vijanden met {0}%.
SpellDescription.Banelord.FatDebuff.MainDescription:			Verhoogt het uithoudingsverbruik van vijandelijke aanvallen met {0}%.
SpellDescription.Banelord.MissHit.MainDescription:				Verlaagt trefkans van nabije vijanden met {0}%.
SpellDescription.Banelord.MLUnbreakableSnare.MainDescription:	Kort‑bereik gebied dat met {0}% vertraagt en de spreker verdovt.
SpellDescription.Banelord.UnrresistableNonImunityStun.MainDescription:	Verdooft {0} s en verhindert actie.
SpellDescription.Banelord.ToHitBuff.MainDescription:			Verhoogt trefkans van nabije bondgenoten met {0}%.
SpellDescription.Banelord.EffectivenessDeBuff.MainDescription:	Verlaagt effectiviteit van vijanden (spreuken en melee) met {0}%.
SpellDescription.Banelord.Banespike.MainDescription:			Verhoogt schade van nabije bondgenoten met {0}%.
SpellDescription.Banelord.NbTargetAffected.MainDescription:		Tot {0} vijanden kunnen getroffen worden.
SpellDescription.Perfector.FOH.MainDescription1:				Creëert een sfeer aan je voeten die {0} gezondheid over tijd herstelt bij bondgenoten (tot 40).
SpellDescription.Perfector.FOH.MainDescription2:				In PvE trekt het de aandacht van vijanden naar de spreker.
SpellDescription.Perfector.FOP.MainDescription1:				Creëert een sfeer aan je voeten die {0} mana over tijd regenereert bij bondgenoten (tot 40).
SpellDescription.Perfector.FOP.MainDescription2:				Bondgenoten die in de laatste 10 s vochten in PvE, profiteren niet.
SpellDescription.Perfector.FOR.MainDescription:					Rune die crowd‑controlduur op nabije bondgenoten met {0}% verkort.
SpellDescription.Perfector.SickHeal.MainDescription:			Stelt je in staat effecten gerelateerd aan verrijzenis te overwinnen.
SpellDescription.Perfector.FOD.MainDescription:					Defensieve rune die {0}% mana draineert van vijanden binnen de straal.
SpellDescription.Perfector.PoT.MainDescription:					Onderhoudende regeneratie die mana per tik met {0}% verhoogt.
SpellDescription.Perfector.CCResist.MainDescription:			Verhoogt je weerstand tegen controle gedurende {0} s.
SpellDescription.Warlord.PBAEHeal.ML2.MainDescription:			Gebied dat {0}% gezondheid, mana en uithouding van nabije bondgenoten regenereert.
SpellDescription.Warlord.PBAEHeal.ML8.MainDescription:			Heelt 1000 gezondheid op het doel ten koste van {0}% van je leven.
SpellDescription.Warlord.CoweringBellow.MainDescription:		Zaait angst bij door spelers bestuurde pets binnen {0} en verlaagt hun effectiviteit.
SpellDescription.Warlord.Critical.MainDescription1:				Verhoogt de crit‑kans van bondgenoten in je {0} met {1}% voor hun volgende aanval.
SpellDescription.Warlord.Critical.MainDescription2:				Verhoogt de crit‑kans van het doel met {0}% voor de volgende aanval.
SpellDescription.Warlord.CleansingAura.MainDescription1:		Verlaagt effectiviteit van DoT's op bondgenoten binnen {0} met {1}%. Als de schade nul wordt, eindigt het effect.
SpellDescription.Warlord.CleansingAura.MainDescription2:		Verlaagt effectiviteit van DoT's op het doel met {0}%. Eindigt bij nul schade.
SpellDescription.Warlord.EffectivenessBuff.MainDescription1:	Verhoogt effectiviteit van bondgenoten binnen {0} met {1}% (spreuken en melee).
SpellDescription.Warlord.EffectivenessBuff.MainDescription2:	Verhoogt effectiviteit van het doel met {1}% (spreuken en melee).
SpellDescription.Warlord.MLABSBuff.MainDescription1:			Verhoogt pantserabsorptie van bondgenoten binnen {0} met {1}%.
SpellDescription.Warlord.MLABSBuff.MainDescription2:			Verhoogt pantserabsorptie van het doel met {1}%.
SpellDescription.Sojourner.UnmakeCrystalseed.MainDescription:	Vernietigt de doelrune en nabije runen binnen {0}.
SpellDescription.Sojourner.AncientTransmuter.MainDescription:	Roept een handelaar op voor basisvoorraad kopen/verkopen.
SpellDescription.Sojourner.Port.MainDescription1:				Teleporteert naar je zielsteen. Werkt niet in gevecht of RvR.
SpellDescription.Sojourner.Port.MainDescription2:				Teleporteert {0} spelers binnen {1} naar hun zielsteen. Niet in gevecht/RvR.
SpellDescription.Sojourner.EssenceResist.MainDescription:		Verhoogt weerstand tegen natuurlijke (Essentie) schade met {0}%.
SpellDescription.Sojourner.Zephyr.MainDescription1:				Roept een zucht op die een vijand in willekeurige richting meevoert en hem onkwetsbaar maakt zolang het duurt.
SpellDescription.Sojourner.Zephyr.MainDescription2:				Een speler getroffen door een Zefier is {0} min immuun voor een volgende.
SpellDescription.Sojourner.Phaseshift.MainDescription:			Persoonlijke buff die je bijna onkwetsbaar maakt voor spreuken en melee gedurende {0} s.
SpellDescription.Sojourner.Groupport.MainDescription:			Brengt je hele groep terug naar je zielsteen. Mislukt als iemand in gevecht is.
SpellDescription.Stormlord.DazzlingArray.MainDescription1:		Brengt een effect aan dat trefkans van vijanden in het gebied met {0}% verlaagt.
SpellDescription.Stormlord.DazzlingArray.MainDescription2:		Alleen voor stun‑spreuken; sluit RA en stijlen uit.
SpellDescription.Stormlord.StormMissHit.MainDescription:		Verlaagt nauwkeurigheid van het doel met {0}%.
SpellDescription.Stormlord.VacuumVortex.MainDescription:		Grond‑doel dat nabije stormen naar een willekeurig punt aan de rand verplaatst.
SpellDescription.Stormlord.EnervatingGas.MainDescription:		Stoot gas uit dat uithouding van vijanden met {0}% verlaagt.
SpellDescription.Stormlord.StormEndudrain.MainDescription:		Storm die {0} uithouding draineert van vijanden binnenin.
SpellDescription.Stormlord.InebriatingFumes.MainDescription:	Verlaagt geleidelijk Behendigheid en Snelheid met {0}% bij wie binnen blijft.
SpellDescription.Stormlord.StormDexQuickDebuff.MainDescription:	Verlaagt Behendigheid en Snelheid van het doel met {0}%.
SpellDescription.Stormlord.MentalSiphon.MainDescription:		Storm die {0} mana draineert van vijanden binnenin.
SpellDescription.Stormlord.PowerDrainStorm.MainDescription:		Draineert {0} mana van het doel.
SpellDescription.Stormlord.FocusingWinds.MainDescription:		Creëert een bondige storm en fixeert deze. Eindigt als je beweegt.
SpellDescription.Stormlord.ChokingVapors.MainDescription:		Verlaagt geleidelijk Kracht en Constitutie met {0}% bij wie binnen blijft.
SpellDescription.Stormlord.StormStrConstDebuff.MainDescription:	Verlaagt Kracht en Constitutie van het doel met {0}%.
SpellDescription.Stormlord.SenseDullingCloud.MainDescription:	Storm die de zintuigen afstompt en Scherpzinnigheid met {0}% verlaagt.
SpellDescription.Stormlord.StormAcuityDebuff.MainDescription:	Verlaagt Scherpzinnigheid van het doel met {0}%.
SpellDescription.Stormlord.EnergyTempest.MainDescription:		Storm die Essentie‑schade toebrengt aan vijanden binnenin.
SpellDescription.Stormlord.StormEnergyTempest.MainDescription:	Brengt {0} {1} gedurende {2} s toe aan vijanden binnenin.
SpellDescription.MLBase.TargetModifier.MainDescription:			Persoonlijke buff die toelaat het bereik van je volgende spreuk (enkel of areaal) te wijzigen of te vergroten.
SpellDescription.MLBase.BanelordSnare.MainDescription:			Kort‑bereik gebied dat met {0}% vertraagt en de spreker verdovt.

# AblativeArmor
AblativeArmor.DelveInfo.Function:			Functie: schokdemper tegen melee‑slagen
AblativeArmor.DelveInfo.Absorption1:			Absorptie: {0}%
AblativeArmor.DelveInfo.Absorption2:			Absorptie: 100%
AblativeArmor.DelveInfo.Absorption3:			Absorptie: 25%
AblativeArmor.DelveInfo.CastingTime:			Instant

# DamageSpeedDecrease
DamageSpeedDecrease.DelveInfo.Decrease:			Snelheidsverlaging: {0}%
DamageSpeedDecrease.DelveInfo.Function:			Functie: Snelheidsverlaging + schade

# ResistDebuff
ResistDebuff.DelveInfo.Decrease:			Verlaagt weerstand {0}: {1}
ResistDebuff.DelveInfo.Function:			Functie: Weerstandsverlaging

#CharmSpellHandler
CharmSpellHandler.DelveInfo.Function:			Functie: {0}
CharmSpellHandler.Species.Humanoid:				Humanoïde
CharmSpellHandler.Species.Animal:				Dier
CharmSpellHandler.Species.Insect:				Insect
CharmSpellHandler.Species.Reptile:				Reptiel
CharmSpellHandler.Species.HumanoidAnimal:		Humanoïde of Dier
CharmSpellHandler.Species.HumanoidAnimalInsect:					Humanoïde, Dier en Insect
CharmSpellHandler.Species.HumanoidAnimalInsectMagical:			Humanoïde, Dier, Insect en Magisch
CharmSpellHandler.Species.HumanoidAnimalInsectMagicalUndead:	Humanoïde, Dier, Insect, Magisch en Ondood

#IllusionSpell SpellHandler
IllusionSpell.Arrangement.Random:		willekeurig
IllusionSpell.Arrangement.Circle:		in cirkel
IllusionSpell.Arrangement.Line:			in lijn

#WarlockSpeedDecrease SpellHandler Appearances
WarlockSpeedDecrease.Appearance.Frog:			Kikker
WarlockSpeedDecrease.Appearance.Worm:			Worm
WarlockSpeedDecrease.Appearance.Lizard:			Hagedis
WarlockSpeedDecrease.Appearance.Wisp:			Dwaallicht
WarlockSpeedDecrease.Appearance.Fairy:			Feë
WarlockSpeedDecrease.Appearance.Scarab:			Scharabee
WarlockSpeedDecrease.Appearance.Spider:			Spin
WarlockSpeedDecrease.Appearance.Cyclop:			Cycloop
WarlockSpeedDecrease.Appearance.Mantis:			Bidsprinkhaan
WarlockSpeedDecrease.Appearance.Flame:			Vlammetje
WarlockSpeedDecrease.Appearance.Bird:			Zwaluw
WarlockSpeedDecrease.Appearance.Simulacrum:		Simulacrum

# DamageAddAndShield
DamageAddAndShield.EventHandlerDA.DamageToYou:		{0} raakt jou voor {1} extra schade!
DamageAddAndShield.EventHandlerDA.YouHitExtra:		Jij raakt {0} voor {1} extra schade!
DamageAddAndShield.EventHandlerDA.YouHitFor:		Jij raakt {0} voor {1} extra schade!
DamageAddAndShield.EventHandlerDA.YourHitFor:		Jouw {0} raakt {1} voor {2} extra schade!
DamageAddAndShield.EventHandlerDS.DamageToYou:		{0} raakt jou voor {1} extra schade!
DamageAddAndShield.EventHandlerDS.YouHitFor:		Jij raakt {0} voor {1} extra schade!
DamageAddAndShield.EventHandlerDS.YourHitFor:		Jouw {0} raakt {1} voor {2} extra schade!

# DirectDamageDebuffSpellHandler
DirectDamageDebuffSpellHandler.DelveInfo.Decrease:	Weerstandsverlaging ({0}): {1}%
DirectDamageDebuffSpellHandler.DelveInfo.Function:	Functie: Schade/Weerstandsverlaging

# DoTSpellHandler
DoTSpellHandler.SendDamageMessages.YouHitFor:		Je raakt {0} voor {1} schade!
DoTSpellHandler.SendDamageMessages.YourCriticallyHits:	Jouw {0} treft {1} kritisch en doet {2} extra schade!
DoTSpellHandler.SendDamageMessages.YourHitsFor:		Jouw {0} raakt {1} voor {2} schade!

# NearsightSpellHandler
NearsightSpellHandler.DelveInfo.Function:		Functie: Bereiksverlaging {0}

# ProcSpellHandler
ProcSpellHandler.DelveInfo.Function:			Functie: {0}

Summon.CheckBeginCast.AlreadyHaveaPet:			Je bestuurt al een wezen.

# SummonCommanderPet
SummonCommanderPet.CheckBeginCast.Text:			Je bestuurt al een Commandant!
SummonCommanderPet.DelveInfo.Text1:			Functie: Oproepen
SummonCommanderPet.DelveInfo.Text2:			Roept een Commandant‑pet op.
SummonCommanderPet.DelveInfo.Text3:			Doelwit: {0}
SummonCommanderPet.DelveInfo.Text4:			Manakosten: {0}%
SummonCommanderPet.DelveInfo.Text5:			Spreektijd: {0}

#SummonMinionHandler
SummonMinionHandler.CheckBeginCast.Text1:		Je moet al een Commandant besturen om een onderdaan voor de groep op te roepen!
SummonMinionHandler.CheckBeginCast.Text2:		Jouw Commandant bestuurt al het maximum aantal onderdanen!
SummonMinionHandler.DelveInfo.Text1:			Doelwit: {0}
SummonMinionHandler.DelveInfo.Text2:			Manakosten: {0}%
SummonMinionHandler.DelveInfo.Text3:			Spreektijd: {0}

#PetPBAOE
PetPBAOE.CheckBeginCast.NoPet:				Je kunt deze spreuk niet werpen op een wezen dat je niet bestuurt.

#SummonAnimistFnF
SummonAnimistFnF.CheckBeginCast.NoGroundTarget:		Je moet een grond‑doel instellen voor deze spreuk!
SummonAnimistFnF.CheckBeginCast.TurretAreaCap:		Je kunt geen extra torens in dit gebied besturen!
SummonAnimistFnF.CheckBeginCast.TurretPlayerCap:	Je kunt geen extra torens besturen!

#SummonAnimistPet
SummonAnimistPet.CheckBeginCast.AlreadyHaveaPet:	Je bestuurt al een wezen!
SummonAnimistPet.CheckBeginCast.GroundTargetNull:	Je moet een grond‑doel instellen voor deze spreuk!
SummonAnimistPet.CheckBeginCast.GroundTargetNotInView:	Je hebt je grond‑doel niet in zicht.
SummonAnimistPet.CheckBeginCast.GroundTargetNotInSpellRange:	Kies een grond‑doel dat dichterbij is.

#TurretsRelease
TurretsRelease.CheckBeginCast.NoSelectedTarget:		Je kunt deze spreuk alleen op een door jou bestuurd wezen werpen.
TurretsRelease.CheckBeginCast.TargetTooFarAway:		Je doelwit is te ver weg.

#PetSpellHandler
PetSpellHandler.CheckBeginCast.NoControlledBrainForCast:	Je hebt een pet nodig om deze spreuk te werpen!

#SummonNecromancerPet
SummonNecromancerPet.CheckBeginCast.ShadeEffectIsNotNull:	Je bent al in Schaduw‑vorm!
SummonNecromancerPet.DelveInfo.Function:			Functie: Pet oproepen
SummonNecromancerPet.DelveInfo.Description:			Roept een ondode pet op die de spreker dient. De spreker neemt Schaduw‑vorm aan en handelt via zijn pet.
SummonNecromancerPet.DelveInfo.Target:				Doelwit: {0}
SummonNecromancerPet.DelveInfo.Power:				Manakosten: {0}%
SummonNecromancerPet.DelveInfo.CastingTime:			Spreektijd: {0}

#SavageEnduranceHeal
SavageEnduranceHeal.CheckBeginCast.InsuffiscientHealth:		Je hebt niet genoeg gezondheid om deze spreuk te werpen!

#AblativeArmorSpellHandler
AblativeArmor.Target:	Jouw schild absorbeert {0} schade.
AblativeArmor.Attacker:	Een schild absorbeert {0} van jouw schade!

#Amnesia
Amnesia.MessageToTarget:	Je geest raakt in de knoop en je vergeet wat je aan het doen was!

# Petrify
Petrify.Target.Absorbs:		{0} is versteend en absorbeert {1} schade.
Petrify.Target.Resist:		{0} is versteend en immuun voor deze spreuk.
Petrify.Self.Message:		{0} is versteend.
Petrify.Self.Absorb:		Je bent versteend en absorbeert {0} schade.
Petrify.Self.Unpetrify:		Je keert terug naar de normale toestand.

# Damnation
Damnation.Self.Message:			Je doelwit is verdoemd.
Damnation.Self.Message2:		Je weet het nog niet, maar je bent al dood!
Damnation.Target.Resist:		{0} is verdoemd en immuun voor deze spreuk.
Damnation.Self.Absorb:			Je bent verdoemd en absorbeert {0} schade!
Damnation.Target.Absorbs:		{0} is verdoemd en absorbeert {1} schade.
Damnation.Self.SpellAbsorb:		Jouw verdoemenis laat je {0} magische schade absorberen dankzij je uitrusting.
Damnation.Target.SpellAbsorbs:	De verdoemenis van {0} absorbeert {1} magische schade dankzij zijn uitrusting.
Damnation.Self.Resist:			Je bent verdoemd en weerstaat de spreuk.
Damnation.Target.Resist:		{0} is verdoemd en weerstaat de spreuk.
Damnation.Kill.SelfHeal:		Het lijk van je vijand revitaliseert je met {0} gezondheid!
Damnation.Kill.DurationExtended:	Je verdoemde bestaan wordt met {0} s verlengd door een andere ziel te nemen, maar het einde is onvermijdelijk.
Damnation.Self.CannotBeHealed:	Je bent verdoemd en kunt niet genezen worden!

# Adrenaline
Adrenaline.Target.Immune:		{0} is in Strijdkoorts en weerstaat volledig!
Adrenaline.Target.Absorbs:		Je doelwit absorbeert {0} schade van je aanval.
Adrenaline.Self.Immune:			Jouw Strijdkoorts beschermt je tegen deze spreuk!
Adrenaline.Self.Absorb:			Je absorbeert {0} schade van de spreuk!

# DebuffImmunity
DebuffImmunity.You.Resisted:			Je weerstaat dankzij je immuniteit tegen verzwakkingen!
DebuffImmunity.Target.Resisted:			{0} weerstaat dankzij zijn immuniteit tegen verzwakkingen!

# HealDebuff
HealDebuffSpellHandler.EffectStart.Target:		De effectiviteit van ontvangen genezingen wordt verlaagd door {0}.
HealDebuffSpellHandler.EffectStart.Area:		De effectiviteit van genezingen ontvangen door {0} wordt verlaagd door {1}.
HealDebuffSpellHandler.EffectExpires.Target:	De effectiviteit van genezingen keert terug naar normaal.
HealDebuffSpellHandler.EffectExpires.Area:		De effectiviteit van genezingen van {0} keert terug naar normaal.

# NecroSummonWeapon
Spells.NecroSumonWeap.Icebrand.You:				Je roept het zwaard Icebrand op.
Spells.NecroSumonWeap.Icebrand.Target:			{0} roept het zwaard Icebrand op.
Spells.NecroSumonWeap.Nethersbane.You:			Je roept het zwaard Nethersbane op.
Spells.NecroSumonWeap.Nethersbane.Target:		{0} roept het zwaard Nethersbane op.

# StyleHandler
StyleHandler.StyleNotFound:						Gevechtsstijl niet gevonden.
StyleHandler.UseStyle:							Je gebruikt de stijl {0} voor je aanvallen.
StyleHandler.NeedsRequirement:					Vereist {0} om deze stijl uit te voeren.
StyleHandler.NeedsWeapon:						Je hebt {0} nodig om deze stijl uit te voeren.
StyleHandler.AllWeaponTypes:					Alle wapentypes zijn compatibel met deze stijl.
StyleHandler.UnknownWeaponType:					Onbekend vereist wapentype.
StyleHandler.StyleNotImplemented:				Deze stijl is nog niet geïmplementeerd!
StyleHandler.Opening.DefensiveActionUsing:		een verdedigende actie met {0}
StyleHandler.Opening.DefensiveAction:			een verdedigende actie
StyleHandler.Opening.Positional.Back:			achter de vijand staan
StyleHandler.Opening.Positional.Side:			aan de zijkant van de vijand staan
StyleHandler.Opening.Positional.Front:			voor de vijand staan
StyleHandler.Opening.Positional.Specific:		een specifieke positie t.o.v. de vijand
StyleHandler.Opening.Default:					een speciale openingsvoorwaarde

