# DelveInfo
DelveInfo.CastingTime:          Čas sesílání: {0}
SpellDescription.Occultist.BringerOfDeath1:				Ztělesníš Nosiče smrti. Tvá kouzla nelze přerušit, ale fungují na {0}%; přijímáš o {1}% méně magického i fyzického poškození.
SpellDescription.Occultist.BringerOfDeath2:				Rychlost pohybu +{0}% i ve speedwarpu či v boji. Aktivní jsou i regenerační bonusy a Nemoc z Decrepit podoby.
SpellDescription.ArawnsLegion.MainDescription1:			Přivolej Arawna, aby na bojišti vyvolal své zlé vojsko.
SpellDescription.ArawnsLegion.MainDescription2:			Legie útočí na všechny nepřátelské cíle v dosahu (poloměr {0}) po dobu {1} sekund.
SpellDescription.ArawnsLegion.MainDescription3:			Služebníky můžeš ovládat pouze v lidské podobě, v Decrepit formě nebo ve Spirit formě.
SpellDescription.SummonMultiTemplatePets.MainDescription1:		Přivolá legii služebníků, aby ti pomohli na bojišti.
SpellDescription.DamageReturn.MainDescription:			Vrací {0}% přímého magického (ne DoT), melee i projektilového poškození v {1} útočníkovi po dobu trvání.
SpellDescription.OffProcShear.Main1:					Odstraní aktivní ofenzivní proky z cíle.
SpellDescription.OffProcShear.Main2:					Ap likuje prok prokletí náhrady, jehož podkouzla léčí nepřátele cíle, když zasáhnou.
SpellDescription.OffProcShear.ReplacementHeader:		Náhradní proc:


# ML Spells ShortDescriptions
SpellDescription.Convoker.SummonWood.MainDescription:			Náhodně vyvolá 100 prken k vyztužení a opravě bran a zdí pevností.
SpellDescription.Convoker.PrescienceNode.MainDescription1:		Pozemní runa (poloměr 1000), která odhaluje skryté nepřátele, aniž by zrušila jejich neviditelnost.
SpellDescription.Convoker.PrescienceNode.MainDescription2:		Runu lze napadnout a má {0} zdraví.
SpellDescription.Convoker.Prescience.MainDescription1:			Runa přítomnosti tě odhalila!
SpellDescription.Convoker.Prescience.MainDescription2:			Propůjčí předtuchu k předvídání pohybů nepřítele.
SpellDescription.Convoker.PowerTrap.MainDescription:			Umístí runu, která při odpálení odčerpá 20% many nepřátelům (jen těm, kteří mají manu).
SpellDescription.Convoker.SpeedWrap.MainDescription:			Runa, která zruší rychlostní posílení nepřátel, kteří jí projdou. 6 s po opuštění nemohou přijmout kouzla rychlosti.
SpellDescription.Convoker.SummonWarcrystal.MainDescription:		Vyvolá a vloží obléhací munici (broky, koule, led či kameny) do tvého inventáře.
SpellDescription.Convoker.Battlewarder.MainDescription1:		Vyvolá Strážce bitvy k zachytávání nepřátelských útoků. Zůstává nehybný a spotřebovává manu, dokud je aktivní.
SpellDescription.Convoker.Battlewarder.MainDescription2:		Pozemní cíl. Může koexistovat s dalšími mazlíčky; lze vyvolat více strážců.
SpellDescription.Convoker.DissonanceTrap.MainDescription:		Umístí runu, která při odpálení udělí {0} {1}.
SpellDescription.Convoker.BrittleGuard.MainDescription1:		Vyvolá „Křehkého strážce“, který za tebe zablokuje jeden zásah na blízko.
SpellDescription.Convoker.BrittleGuard.MainDescription2:		Má jeden život a zemře po zachycení zásahu. Pouze jeden aktivní.
SpellDescription.Convoker.SummonMastery.MainDescription:		Zvyšuje efektivní úroveň tvých mazlíčků a zlepšuje jejich poškození i absorpci.
SpellDescription.Convoker.SummonTitan.MainDescription1:			Vyvolá Titána, jenž roste na velikosti a síle a udeří drtivě.
SpellDescription.Convoker.SummonTitan.MainDescription2:			Zůstává nehybný a útočí jen na nepřátele v dosahu na blízko.
SpellDescription.Spymaster.Decoy.MainDescription:				Vyvolá návnadového spojence s epickým vybavením, 1 životem a bez útočných schopností k odvedení pozornosti.
SpellDescription.Spymaster.Sabotage.MainDescription:			Sabotuje cíl (runu či obléhací stroj) a činí ho nepoužitelným.
SpellDescription.Spymaster.TangleSnare.MainDescription:			Umístí runu, která při odpálení zpomalí nepřátele v dosahu o {0}%. Při použití zruší nenápadnost.
SpellDescription.Spymaster.PoisonSpike.MainDescription:			Umístí jedovatou runu, která udělí {0} {1} blízkým nepřátelům. Zruší nenápadnost.
SpellDescription.Spymaster.Loockout.MainDescription1:			Stacionární hlídka odhaluje skryté nepřátele v {0}. Zůstává skryta, pokud se nepohybuje.
SpellDescription.Spymaster.Loockout.MainDescription2:			Cíl musí sedět a být nehybný; při pohybu efekt končí.
SpellDescription.Spymaster.SiegeWrecker.MainDescription1:		Runa, která udělí velké poškození obléhacím strojům.
SpellDescription.Spymaster.SiegeWrecker.MainDescription2:		Uděluje {0} poškození při aktivaci.
SpellDescription.Spymaster.EssenceFlare.MainDescription:		Aplikuje jed, který ponechá nepřátele 15 s v přítmí.
SpellDescription.Spymaster.BlanketOfCamouflage.MainDescription:	Skryje tvou skupinu. Pohyb, sesílání či zpěv zruší efekt u ne-skrývajících se.
SpellDescription.Battlemaster.MLEndudrain.MainDescription:		Vysaje {0} výdrže blízkým nepřátelům.
SpellDescription.Battlemaster.KeepDamageBuff.MainDescription:	Uděluje {0}% bonusového poškození proti obléhacím strojům a strukturám.
SpellDescription.Battlemaster.MLManadrain.MainDescription:		Vysaje {0} many blízkým nepřátelům.
SpellDescription.Battlemaster.Grapple.MainDescription1:			Krátkodosahový efekt, který znehybní na {0} s a zruší efekty.
SpellDescription.Battlemaster.Grapple.MainDescription2:			Připne cíl; nemůže se hýbat ani útočit na blízko, ale může 10 s sesílat/zpívat.
SpellDescription.Battlemaster.Grapple.MainDescription3:			Připnutý cíl nelze zasáhnout na blízko.
SpellDescription.Battlemaster.EssenceFlamesProc.MainDescription:	{0}% šance aktivovat dodatečné poškození Esencí útoky na blízko.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription1:		Útok na dálku využívající vzorce poškození na blízko.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription2:		Útoky na blízko jsou po použití 10 s zakázány.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription1:	Snižuje odolnost Esence blízkým nepřátelům o {0}%.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription2:	Snižuje odolnost Esence cíle o {0}%.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription1:	Chrání blízkého spojence před útoky na blízko. Dokud je ochránce naživu nebo v dosahu, spojenec nemůže být cílen.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription2:	Efekt trvá pouze pokud chráněný zůstane nehybný.
SpellDescription.Battlemaster.EssenceDampenHandler.MainDescription:	Snižuje pohyblivost cíle o {0}%.
SpellDescription.Banelord.CastingSpeedDebuff.MainDescription:		Snižuje rychlost sesílání nepřátel o {0}%.
SpellDescription.Banelord.PBAEDamage.ML2.MainDescription:		Snižuje manu, zdraví a výdrž nepřátel v oblasti o {0}%.
SpellDescription.Banelord.PBAEDamage.ML8.MainDescription:		Snižuje zdroje v oblasti o {0}% a stojí tě {1}% tvého zdraví.
SpellDescription.Banelord.Oppression.MainDescription:			Snižuje maximální nosnost blízkých nepřátel o {0}%.
SpellDescription.Banelord.FatDebuff.MainDescription:			Zvyšuje spotřebu výdrže nepřátelských útoků o {0}%.
SpellDescription.Banelord.MissHit.MainDescription:				Snižuje šanci zásahu blízkých nepřátel o {0}%.
SpellDescription.Banelord.MLUnbreakableSnare.MainDescription:	Krátkodosahové AO E zpomalení o {0}% a omráčí sesílatele.
SpellDescription.Banelord.UnrresistableNonImunityStun.MainDescription:	Omráčí na {0} s a zabrání činnosti.
SpellDescription.Banelord.ToHitBuff.MainDescription:			Zvyšuje šanci zásahu blízkých spojenců o {0}%.
SpellDescription.Banelord.EffectivenessDeBuff.MainDescription:	Snižuje efektivitu nepřátel (kouzla i melee) o {0}%.
SpellDescription.Banelord.Banespike.MainDescription:			Zvyšuje poškození blízkých spojenců o {0}%.
SpellDescription.Banelord.NbTargetAffected.MainDescription:		Až {0} nepřátel může být zasaženo.
SpellDescription.Perfector.FOH.MainDescription1:				Vytvoří kouli u tvých nohou, která postupně obnoví {0} zdraví spojencům (až 40).
SpellDescription.Perfector.FOH.MainDescription2:				V PvE přitáhne pozornost nepřátel na sesílatele.
SpellDescription.Perfector.FOP.MainDescription1:				Vytvoří kouli u tvých nohou, která postupně regeneruje {0} many spojencům (až 40).
SpellDescription.Perfector.FOP.MainDescription2:				Spojenci, kteří v PvE bojovali v posledních 10 s, nejsou ovlivněni.
SpellDescription.Perfector.FOR.MainDescription:					Runa, která zkrátí trvání řízení davu na blízkých spojencích o {0}%.
SpellDescription.Perfector.SickHeal.MainDescription:			Umožní překonat efekty spojené se vzkříšením.
SpellDescription.Perfector.FOD.MainDescription:					Obranná runa, která vysaje {0}% many nepřátelům v dosahu.
SpellDescription.Perfector.PoT.MainDescription:					Udržovací regenerace, která zvyšuje manu za tik o {0}%.
SpellDescription.Perfector.CCResist.MainDescription:			Zvyšuje tvou odolnost vůči ovládání po dobu {0} s.
SpellDescription.Warlord.PBAEHeal.ML2.MainDescription:			Plocha, která regeneruje {0}% zdraví, manu a výdrž blízkým spojencům.
SpellDescription.Warlord.PBAEHeal.ML8.MainDescription:			Vyléčí cíl o 1000 zdraví za cenu {0}% tvého života.
SpellDescription.Warlord.CoweringBellow.MainDescription:		Vyvolá strach u ovládaných mazlíčků v {0} a sníží jejich efektivitu.
SpellDescription.Warlord.Critical.MainDescription1:				Zvyšuje šanci na kritický zásah spojenců ve tvé {0} o {1}% pro jejich další útok.
SpellDescription.Warlord.Critical.MainDescription2:				Zvyšuje šanci na kritický zásah cíle o {0}% pro další útok.
SpellDescription.Warlord.CleansingAura.MainDescription1:		Snižuje účinnost DoT na spojence v {0} o {1}%. Jakmile poškození klesne na nulu, efekt končí.
SpellDescription.Warlord.CleansingAura.MainDescription2:		Snižuje účinnost DoT na cíl o {0}%. Končí při nulovém poškození.
SpellDescription.Warlord.EffectivenessBuff.MainDescription1:	Zvyšuje efektivitu spojenců v {0} o {1}% (kouzla i melee).
SpellDescription.Warlord.EffectivenessBuff.MainDescription2:	Zvyšuje efektivitu cíle o {1}% (kouzla i melee).
SpellDescription.Warlord.MLABSBuff.MainDescription1:			Zvyšuje absorpci zbroje spojenců v {0} o {1}%.
SpellDescription.Warlord.MLABSBuff.MainDescription2:			Zvyšuje absorpci zbroje cíle o {1}%.
SpellDescription.Sojourner.UnmakeCrystalseed.MainDescription:	Zničí cílovou runu a blízké runy v poloměru {0}.
SpellDescription.Sojourner.AncientTransmuter.MainDescription:	Vyvolá kupce pro nákup/prodej základních zásob.
SpellDescription.Sojourner.Port.MainDescription1:				Teleportuje tě k tvému kameni duše. Nepracuje v boji ani v RvR.
SpellDescription.Sojourner.Port.MainDescription2:				Teleportuje {0} hráčů v {1} ke svému kameni duše. Ne v boji/RvR.
SpellDescription.Sojourner.EssenceResist.MainDescription:		Zvyšuje odolnost proti přírodní (Esence) škodě o {0}%.
SpellDescription.Sojourner.Zephyr.MainDescription1:				Vyvolá závan, který odnese nepřítele náhodným směrem a učiní jej po dobu trvání nezranitelným.
SpellDescription.Sojourner.Zephyr.MainDescription2:				Hráč zasažený Zefýrem je {0} min imunní vůči dalšímu.
SpellDescription.Sojourner.Phaseshift.MainDescription:			Osobní posílení, které tě učiní téměř nezranitelným vůči kouzlům i melee po dobu {0} s.
SpellDescription.Sojourner.Groupport.MainDescription:			Vrátí celou tvou skupinu k tvému kameni duše. Pokud je někdo v boji, selže.
SpellDescription.Stormlord.DazzlingArray.MainDescription1:		Aplikuje efekt, který sníží šanci zásahu nepřátel v oblasti o {0}%.
SpellDescription.Stormlord.DazzlingArray.MainDescription2:		Platí pouze pro omračující kouzla; vylučuje RA a bojové styly.
SpellDescription.Stormlord.StormMissHit.MainDescription:		Snižuje přesnost cíle o {0}%.
SpellDescription.Stormlord.VacuumVortex.MainDescription:		Pozemní cíl, který přesune blízké bouře na náhodný bod okraje.
SpellDescription.Stormlord.EnervatingGas.MainDescription:		Vypouští plyn, který snižuje výdrž nepřátel o {0}%.
SpellDescription.Stormlord.StormEndudrain.MainDescription:		Bouře, která vysaje {0} výdrže nepřátelům uvnitř.
SpellDescription.Stormlord.InebriatingFumes.MainDescription:	Postupně snižuje Obratnost a Rychlost o {0}% těm, kdo zůstávají uvnitř.
SpellDescription.Stormlord.StormDexQuickDebuff.MainDescription:	Snižuje Obratnost a Rychlost cíle o {0}%.
SpellDescription.Stormlord.MentalSiphon.MainDescription:		Bouře, která vysaje {0} many nepřátelům uvnitř.
SpellDescription.Stormlord.PowerDrainStorm.MainDescription:		Vysaje {0} many cíli.
SpellDescription.Stormlord.FocusingWinds.MainDescription:		Vytvoří spojeneckou bouři a fixuje ji. Končí při tvém pohybu.
SpellDescription.Stormlord.ChokingVapors.MainDescription:		Postupně snižuje Sílu a Konstituci o {0}% těm, kdo zůstávají uvnitř.
SpellDescription.Stormlord.StormStrConstDebuff.MainDescription:	Snižuje Sílu a Konstituci cíle o {0}%.
SpellDescription.Stormlord.SenseDullingCloud.MainDescription:	Bouře, která otupuje smysly a snižuje Bystrost o {0}%.
SpellDescription.Stormlord.StormAcuityDebuff.MainDescription:	Snižuje Bystrost cíle o {0}%.
SpellDescription.Stormlord.EnergyTempest.MainDescription:		Bouře, která uděluje poškození Esencí nepřátelům uvnitř.
SpellDescription.Stormlord.StormEnergyTempest.MainDescription:	Uděluje {0} {1} po dobu {2} s nepřátelům uvnitř.
SpellDescription.MLBase.TargetModifier.MainDescription:			Osobní posílení umožňující změnit či rozšířit dosah příštího kouzla (jednotlivého i plošného).
SpellDescription.MLBase.BanelordSnare.MainDescription:			Krátkodosahové AO E zpomalení o {0}% a omráčí sesílatele.

# AblativeArmor
AblativeArmor.DelveInfo.Function:			Funkce: tlumič zásahů na blízko
AblativeArmor.DelveInfo.Absorption1:			Absorpce: {0}%
AblativeArmor.DelveInfo.Absorption2:			Absorpce: 100%
AblativeArmor.DelveInfo.Absorption3:			Absorpce: 25%
AblativeArmor.DelveInfo.CastingTime:			Okamžité

# DamageSpeedDecrease
DamageSpeedDecrease.DelveInfo.Decrease:			Snížení rychlosti: {0}%
DamageSpeedDecrease.DelveInfo.Function:			Funkce: Snížení rychlosti + poškození

# ResistDebuff
ResistDebuff.DelveInfo.Decrease:			Snížení odolnosti {0}: {1}
ResistDebuff.DelveInfo.Function:			Funkce: Snížení odolností

#CharmSpellHandler
CharmSpellHandler.DelveInfo.Function:			Funkce: {0}
CharmSpellHandler.Species.Humanoid:				Humanoid
CharmSpellHandler.Species.Animal:				Zvíře
CharmSpellHandler.Species.Insect:				Hmyz
CharmSpellHandler.Species.Reptile:				Plaz
CharmSpellHandler.Species.HumanoidAnimal:		Humanoid nebo Zvíře
CharmSpellHandler.Species.HumanoidAnimalInsect:					Humanoid, Zvíře a Hmyz
CharmSpellHandler.Species.HumanoidAnimalInsectMagical:			Humanoid, Zvíře, Hmyz a Magické
CharmSpellHandler.Species.HumanoidAnimalInsectMagicalUndead:	Humanoid, Zvíře, Hmyz, Magické a Nemrtvé

#IllusionSpell SpellHandler
IllusionSpell.Arrangement.Random:		náhodně
IllusionSpell.Arrangement.Circle:		v kruhu
IllusionSpell.Arrangement.Line:			v řadě

#WarlockSpeedDecrease SpellHandler Appearances
WarlockSpeedDecrease.Appearance.Frog:			Žába
WarlockSpeedDecrease.Appearance.Worm:			Červ
WarlockSpeedDecrease.Appearance.Lizard:			Ještěr
WarlockSpeedDecrease.Appearance.Wisp:			Bludička
WarlockSpeedDecrease.Appearance.Fairy:			Víla
WarlockSpeedDecrease.Appearance.Scarab:			Skarab
WarlockSpeedDecrease.Appearance.Spider:			Pavouk
WarlockSpeedDecrease.Appearance.Cyclop:			Kyklop
WarlockSpeedDecrease.Appearance.Mantis:			Kudlanka
WarlockSpeedDecrease.Appearance.Flame:			Plamínek
WarlockSpeedDecrease.Appearance.Bird:			Vlaštovka
WarlockSpeedDecrease.Appearance.Simulacrum:		Simulakrum

# DamageAddAndShield
DamageAddAndShield.EventHandlerDA.DamageToYou:		{0} tě zasahuje za {1} dodatečného poškození!
DamageAddAndShield.EventHandlerDA.YouHitExtra:		Zasahuješ {0} za {1} dodatečného poškození!
DamageAddAndShield.EventHandlerDA.YouHitFor:		Zasahuješ {0} za {1} dodatečného poškození!
DamageAddAndShield.EventHandlerDA.YourHitFor:		Tvé {0} zasahuje {1} za {2} dodatečného poškození!
DamageAddAndShield.EventHandlerDS.DamageToYou:		{0} tě zasahuje za {1} dodatečného poškození!
DamageAddAndShield.EventHandlerDS.YouHitFor:		Zasahuješ {0} za {1} dodatečného poškození!
DamageAddAndShield.EventHandlerDS.YourHitFor:		Tvé {0} zasahuje {1} za {2} dodatečného poškození!

# DirectDamageDebuffSpellHandler
DirectDamageDebuffSpellHandler.DelveInfo.Decrease:	Snížení odolnosti ({0}): {1}%
DirectDamageDebuffSpellHandler.DelveInfo.Function:	Funkce: Poškození/Snížení odolnosti

# DoTSpellHandler
DoTSpellHandler.SendDamageMessages.YouHitFor:		Zasáhl jsi {0} za {1} poškození!
DoTSpellHandler.SendDamageMessages.YourCriticallyHits:	Tvé {0} kriticky zasáhne {1} a způsobí {2} dodatečného poškození!
DoTSpellHandler.SendDamageMessages.YourHitsFor:		Tvé {0} zasáhne {1} za {2} poškození!

# NearsightSpellHandler
NearsightSpellHandler.DelveInfo.Function:		Funkce: Zkrácení dosahu {0}

# ProcSpellHandler
ProcSpellHandler.DelveInfo.Function:			Funkce: {0}

Summon.CheckBeginCast.AlreadyHaveaPet:			Už ovládáš tvora.

# SummonCommanderPet
SummonCommanderPet.CheckBeginCast.Text:			Už ovládáš Velitele!
SummonCommanderPet.DelveInfo.Text1:			Funkce: Vyvolání
SummonCommanderPet.DelveInfo.Text2:			Vyvolá mazlíčka Velitele.
SummonCommanderPet.DelveInfo.Text3:			Cíl: {0}
SummonCommanderPet.DelveInfo.Text4:			Náklady many: {0}%
SummonCommanderPet.DelveInfo.Text5:			Čas sesílání: {0}

#SummonMinionHandler
SummonMinionHandler.CheckBeginCast.Text1:		Pro vyvolání služebníka do skupiny musíš již ovládat Velitele!
SummonMinionHandler.CheckBeginCast.Text2:		Tvůj Velitel už ovládá maximum služebníků!
SummonMinionHandler.DelveInfo.Text1:			Cíl: {0}
SummonMinionHandler.DelveInfo.Text2:			Náklady many: {0}%
SummonMinionHandler.DelveInfo.Text3:			Čas sesílání: {0}

#PetPBAOE
PetPBAOE.CheckBeginCast.NoPet:				Tohle kouzlo nemůžeš seslat na tvora, kterého neovládáš.

#SummonAnimistFnF
SummonAnimistFnF.CheckBeginCast.NoGroundTarget:		Musíš nastavit pozemní cíl pro toto kouzlo!
SummonAnimistFnF.CheckBeginCast.TurretAreaCap:		V této oblasti nemůžeš ovládat více věžiček!
SummonAnimistFnF.CheckBeginCast.TurretPlayerCap:	Nemůžeš ovládat další věžičky!

#SummonAnimistPet
SummonAnimistPet.CheckBeginCast.AlreadyHaveaPet:	Už ovládáš tvora!
SummonAnimistPet.CheckBeginCast.GroundTargetNull:	Musíš nastavit pozemní cíl pro toto kouzlo!
SummonAnimistPet.CheckBeginCast.GroundTargetNotInView:	Nemáš v dohledu svůj pozemní cíl.
SummonAnimistPet.CheckBeginCast.GroundTargetNotInSpellRange:	Zvol blíže položený pozemní cíl.

#TurretsRelease
TurretsRelease.CheckBeginCast.NoSelectedTarget:		Toto kouzlo lze seslat jen na tvora, kterého ovládáš.
TurretsRelease.CheckBeginCast.TargetTooFarAway:		Tvůj cíl je příliš daleko.

#PetSpellHandler
PetSpellHandler.CheckBeginCast.NoControlledBrainForCast:	Pro seslání tohoto kouzla potřebuješ mazlíčka!

#SummonNecromancerPet
SummonNecromancerPet.CheckBeginCast.ShadeEffectIsNotNull:	Už jsi ve stínové podobě!
SummonNecromancerPet.DelveInfo.Function:			Funkce: Vyvolání mazlíčka
SummonNecromancerPet.DelveInfo.Description:			Vyvolá nemrtvého mazlíčka sloužícího sesílateli. Sesílatel přijme stínovou podobu a jedná skrze svého mazlíčka.
SummonNecromancerPet.DelveInfo.Target:				Cíl: {0}
SummonNecromancerPet.DelveInfo.Power:				Náklady many: {0}%
SummonNecromancerPet.DelveInfo.CastingTime:			Čas sesílání: {0}

#SavageEnduranceHeal
SavageEnduranceHeal.CheckBeginCast.InsuffiscientHealth:		Nemáš dost zdraví na seslání tohoto kouzla!

#AblativeArmorSpellHandler
AblativeArmor.Target:	Tvůj štít pohlcuje {0} poškození.
AblativeArmor.Attacker:	Štít pohlcuje {0} z tvého poškození!

#Amnesia
Amnesia.MessageToTarget:	Tvoje mysl se zamotá a zapomínáš, co jsi dělal!

# Petrify
Petrify.Target.Absorbs:		{0} je petrifikován a pohlcuje {1} poškození.
Petrify.Target.Resist:		{0} je petrifikován a imunní vůči tomuto kouzlu.
Petrify.Self.Message:		{0} je petrifikován.
Petrify.Self.Absorb:		Jsi petrifikován a pohlcuješ {0} poškození.
Petrify.Self.Unpetrify:		Vracíš se do normálního stavu.

# Damnation
Damnation.Self.Message:			Tvůj cíl je proklet.
Damnation.Self.Message2:		Zatím to nevíš, ale už jsi mrtvý!
Damnation.Target.Resist:		{0} je proklet a imunní vůči tomuto kouzlu.
Damnation.Self.Absorb:			Jsi proklet a pohlcuješ {0} poškození!
Damnation.Target.Absorbs:		{0} je proklet a pohlcuje {1} poškození.
Damnation.Self.SpellAbsorb:		Tvé prokletí ti umožňuje pohltit {0} magického poškození díky tvé výbavě.
Damnation.Target.SpellAbsorbs:	Prokletí {0} pohlcuje {1} magického poškození díky jeho výbavě.
Damnation.Self.Resist:			Jsi proklet a odoláváš kouzlu.
Damnation.Target.Resist:		{0} je proklet a odolává kouzlu.
Damnation.Kill.SelfHeal:		Mrtvola nepřítele tě oživí o {0} zdraví!
Damnation.Kill.DurationExtended:	Tvé prokleté bytí se prodlužuje o {0} s za uloupení další duše, ale konec je nevyhnutelný.
Damnation.Self.CannotBeHealed:	Jsi proklet a nelze tě léčit!

# Adrenaline
Adrenaline.Target.Immune:		{0} je v bojové horečce a zcela odolá!
Adrenaline.Target.Absorbs:		Tvůj cíl pohlcuje {0} poškození z tvého útoku.
Adrenaline.Self.Immune:			Tvá bojová horečka tě chrání před tímto kouzlem!
Adrenaline.Self.Absorb:			Pohlcuješ {0} poškození z kouzla!

# DebuffImmunity
DebuffImmunity.You.Resisted:			Odoláváš díky imunitě vůči oslabujícím efektům!
DebuffImmunity.Target.Resisted:			{0} odolává díky imunitě vůči oslabujícím efektům!

# HealDebuff
HealDebuffSpellHandler.EffectStart.Target:		Účinnost přijímaného léčení je snížena kvůli {0}.
HealDebuffSpellHandler.EffectStart.Area:		Účinnost léčení přijímaného {0} je snížena kvůli {1}.
HealDebuffSpellHandler.EffectExpires.Target:	Účinnost léčení se vrací k normálu.
HealDebuffSpellHandler.EffectExpires.Area:		Účinnost léčení u {0} se vrací k normálu.

# NecroSummonWeapon
Spells.NecroSumonWeap.Icebrand.You:				Vyvoláváš meč Icebrand.
Spells.NecroSumonWeap.Icebrand.Target:			{0} vyvolává meč Icebrand.
Spells.NecroSumonWeap.Nethersbane.You:			Vyvoláváš meč Nethersbane.
Spells.NecroSumonWeap.Nethersbane.Target:		{0} vyvolává meč Nethersbane.

# StyleHandler
StyleHandler.StyleNotFound:						Bojový styl nenalezen.
StyleHandler.UseStyle:							Používáš styl {0} pro své útoky.
StyleHandler.NeedsRequirement:					Vyžaduje {0} pro provedení tohoto stylu.
StyleHandler.NeedsWeapon:						Potřebuješ {0} pro provedení tohoto stylu.
StyleHandler.AllWeaponTypes:					Všechny typy zbraní jsou s tímto stylem kompatibilní.
StyleHandler.UnknownWeaponType:					Požadovaný typ zbraně neznámý.
StyleHandler.StyleNotImplemented:				Tento styl ještě není implementován!
StyleHandler.Opening.DefensiveActionUsing:		obranou akci s {0}
StyleHandler.Opening.DefensiveAction:			obranou akci
StyleHandler.Opening.Positional.Back:			být za nepřítelem
StyleHandler.Opening.Positional.Side:			být po boku nepřítele
StyleHandler.Opening.Positional.Front:			být před nepřítelem
StyleHandler.Opening.Positional.Specific:		konkrétní pozici vůči nepříteli
StyleHandler.Opening.Default:					speciální otevírací podmínku

