
# DelveInfo
DelveInfo.CastingTime:          Durée d'incantation : {0}
SpellDescription.Convoker.BrittleGuard.MainDescription1:		Fait apparaître un  « Gardien Fragile » capable de bloquer une attaque de mêlée pour vous protéger.
SpellDescription.Convoker.BrittleGuard.MainDescription2:		Le Gardien Fragile n'a qu'un point de vie et meurt après avoir intercepté un coup. Un seul peut être actif à la fois.
SpellDescription.Convoker.SummonMastery.MainDescription:		Augmente le niveau effectif de vos familiers, améliorant leurs dégâts de mêlée et leur absorption d'armure.
SpellDescription.Convoker.SummonTitan.MainDescription1:			Invoque un Titan qui grandit en taille et en puissance, frappant les ennemis avec une force colossale.
SpellDescription.Convoker.SummonTitan.MainDescription2:			Le Titan reste immobile et attaque uniquement les ennemis à portée de mêlée.
SpellDescription.Spymaster.Decoy.MainDescription:				Invoque un allié portant une tenue épique avec un seul point de vie et aucune capacité offensive pour distraire les ennemis.
SpellDescription.Spymaster.Sabotage.MainDescription:			Sabote une cible, qu'il s'agisse d'une rune ou d'un équipement de siège, la rendant inutilisable.
SpellDescription.Spymaster.TangleSnare.MainDescription:			Déploie une rune qui ralentit les ennemis de {0}% dans son rayon lors de la détonation. Annule la furtivité en cas d'utilisation.
SpellDescription.Spymaster.PoisonSpike.MainDescription:			Déploie une rune empoisonnée qui inflige {0} {1} aux ennemis proches lors de la détonation. Annule la furtivité.
SpellDescription.Spymaster.Loockout.MainDescription1:			Un guetteur fixe expose les ennemis furtifs dans un rayon de {0}. Lui-même reste caché tant qu'il ne bouge pas.
SpellDescription.Spymaster.Loockout.MainDescription2:			La cible du guetteur doit être assise et immobile. Si elle bouge, l'effet se dissipe, et la détection furtive normale s'applique.
SpellDescription.Spymaster.SiegeWrecker.MainDescription1:		Rune qui inflige des dégâts majeurs aux engins de siège lors de sa détonation.
SpellDescription.Spymaster.SiegeWrecker.MainDescription2:		La rune inflige {0} dégâts à son activation.
SpellDescription.Spymaster.EssenceFlare.MainDescription:		Applique un poison qui plonge les ennemis dans un état de somnolence pendant 15 secondes.
SpellDescription.Spymaster.BlanketOfCamouflage.MainDescription:	Cache votre groupe sous un camouflage. Se déplacer, incanter ou chanter rompt l’effet pour les membres non furtifs.
SpellDescription.Battlemaster.MLEndudrain.MainDescription:		Draine {0} endurance aux ennemis environnants.
SpellDescription.Battlemaster.KeepDamageBuff.MainDescription:	Accorde un bonus de dégâts de {0}% contre les équipements de siège et les structures de fort.
SpellDescription.Battlemaster.MLManadrain.MainDescription:		Draine {0} mana des ennemis environnants.
SpellDescription.Battlemaster.Grapple.MainDescription1:			Effet à courte portée ciblant un ennemi, le restreignant pendant {0} secondes et annulant tous les effets.
SpellDescription.Battlemaster.Grapple.MainDescription2:			Immobilise la cible, l'empêchant de bouger ou d'utiliser des attaques de mêlée, mais elle peut encore lancer des sorts et des chants pendant 10 secondes.
SpellDescription.Battlemaster.Grapple.MainDescription3:			La cible immobilisée ne peut pas être attaquée en mêlée.
SpellDescription.Battlemaster.EssenceFlamesProc.MainDescription:	Accorde {0}% de chance de déclencher des dégâts d’essence bonus lors des attaques au corps-à-corps.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription1:		Une attaque à distance utilisant les formules de dégâts de mêlée.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription2:		Les attaques de mêlée sont désactivées pendant 10 secondes après ce sort.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription1:	Réduit la résistance des ennemis proches aux dégâts d'essence de {0}%.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription2:	Réduit la résistance aux dégâts d'essence de la cible de {0}%.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription1:	Protège un allié proche contre les attaques de mêlée. L'allié ne peut pas être ciblé tant que le protecteur reste en vie ou à portée.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription2:	La protection reste active uniquement si la cible protégée reste immobile.
SpellDescription.Battlemaster.EssenceDampenHandler.MainDescription:	Réduit l'agilité de la cible de {0}%.
SpellDescription.Banelord.CastingSpeedDebuff.MainDescription:		Réduit la vitesse d'incantation des ennemis de {0}%.
SpellDescription.Banelord.PBAEDamage.ML2.MainDescription:		Réduit la mana, la santé et la fatigue des ennemis dans la zone d’effet de {0}%.
SpellDescription.Banelord.PBAEDamage.ML8.MainDescription:		Réduit la mana, la santé et la fatigue des ennemis dans la zone d’effet de {0}%, mais vous coûte {1}% de votre propre santé.
SpellDescription.Banelord.Oppression.MainDescription:			Réduit l'encombrement maximum des ennemis proches de {0}%.
SpellDescription.Banelord.FatDebuff.MainDescription:			Augmente la dépense d'endurance des attaques ennemies de {0}%.
SpellDescription.Banelord.MissHit.MainDescription:				Réduit de {0}% les chances des ennemis proches d'atteindre leurs cibles.
SpellDescription.Banelord.MLUnbreakableSnare.MainDescription:	Snare de zone affectant la vitesse des ennemis de {0}% tout en étourdissant l’utilisateur.
SpellDescription.Banelord.UnrresistableNonImunityStun.MainDescription:		La cible est étourdie pendant {0} secondes et ne peut effectuer aucune action.
SpellDescription.Banelord.ToHitBuff.MainDescription:			Effet de zone augmentant de {0}% la chance pour les alliés de toucher leurs ennemis.
SpellDescription.Banelord.EffectivenessDeBuff.MainDescription:	Effet de zone réduisant l'efficacité des ennemis pour déterminer la variance des dégâts de sorts et de mêlée de {0}%.
SpellDescription.Banelord.Banespike.MainDescription:			Booste de {0}% les dégâts des alliés proches.
SpellDescription.Banelord.NbTargetAffected.MainDescription:		{0} ennemis maximum peuvent être touchés.
SpellDescription.Perfector.FOH.MainDescription1:				Crée une sphère aux pieds du lanceur qui restaure la santé des alliés de {0} au fil du temps. Jusqu'à 40 alliés proches peuvent être soignés simultanément.
SpellDescription.Perfector.FOH.MainDescription2:				En PvE, la sphère de soins attire l'attention des ennemis sur le lanceur.
SpellDescription.Perfector.FOP.MainDescription1:				Crée une sphère aux pieds du lanceur qui restaure la mana des alliés de {0} au fil du temps. Jusqu'à 40 alliés proches peuvent être régénérés simultanément.
SpellDescription.Perfector.FOP.MainDescription2:				Les alliés ayant combattu en PvE au cours des 10 dernières secondes ne sont pas affectés par la sphère.
SpellDescription.Perfector.FOR.MainDescription:					Rune qui réduit de {0}% l'impact des sorts de contrôle sur les alliés à proximité.
SpellDescription.Perfector.SickHeal.MainDescription:			Permet à la cible de récupérer des effets liés à la résurrection.
SpellDescription.Perfector.FOD.MainDescription:					Rune protectrice qui draine {0}% de mana des ennemis se trouvant dans son rayon d’action.
SpellDescription.Perfector.PoT.MainDescription:					Effet de régénération continue augmentant de {0}% la mana offerte à chaque tic.
SpellDescription.Perfector.CCResist.MainDescription:			Augmente votre résistance aux effets de contrôle de {0} secondes.
SpellDescription.Warlord.PBAEHeal.ML2.MainDescription:			Effet de zone régénérant {0}% de leur maximum la santé, la mana et l'endurance des alliés proches. 
SpellDescription.Warlord.PBAEHeal.ML8.MainDescription:			Soigne la cible de 1000 points de vie au prix de {0}% de la santé du lanceur.
SpellDescription.Warlord.CoweringBellow.MainDescription:		Effraye tous les familiers ennemis contrôlés dans un rayon de {0}, réduisant leur efficacité au combat.
SpellDescription.Warlord.Critical.MainDescription1:				Augmente la chance de coup critique des alliés de votre {0} de {1}% pour leur prochaine attaque.
SpellDescription.Warlord.Critical.MainDescription2:				Augmente la chance de coup critique de la cible de {0}% pour sa prochaine attaque.
SpellDescription.Warlord.CleansingAura.MainDescription1:		Réduit de {1}% l'efficacité des DoTs sur les alliés dans un rayon de {0}. Si les dégâts tombent à zéro, l'effet est supprimé.
SpellDescription.Warlord.CleansingAura.MainDescription2:		Réduit de {0}% l'efficacité des DoTs sur la cible. Si les dégâts tombent à zéro, l'effet est supprimé.
SpellDescription.Warlord.EffectivenessBuff.MainDescription1:	Augmente de {1}% l'efficacité des alliés à portée de {0} pour les dégâts des sorts et attaques de mêlée.
SpellDescription.Warlord.EffectivenessBuff.MainDescription2:	Augmente de {1}% l'efficacité de la cible pour les dégâts des sorts et attaques de mêlée.
SpellDescription.Warlord.MLABSBuff.MainDescription1:			Augmente de {1}% l'absorption d'armure des alliés dans un rayon de {0}.
SpellDescription.Warlord.MLABSBuff.MainDescription2:			Augmente de {1}% l'absorption d'armure de la cible.
SpellDescription.Sojourner.UnmakeCrystalseed.MainDescription:	Détruit la rune ciblée et celles aux alentours dans un rayon de {0}.
SpellDescription.Sojourner.AncientTransmuter.MainDescription:	Invoque un marchand permettant d'acheter et vendre des fournitures de base.
SpellDescription.Sojourner.Port.MainDescription1:				Téléporte à votre pierre d'âmes. Ne fonctionne pas en combat ou en zone RvR.
SpellDescription.Sojourner.Port.MainDescription2:				Téléporte {0} joueurs dans un rayon de {1} à leur pierre d'âmes. Ne fonctionne pas en combat ou en RvR.
SpellDescription.Sojourner.EssenceResist.MainDescription:		Augmente de {0}% la résistance de la cible aux dégâts naturels (essence).
SpellDescription.Sojourner.Zephyr.MainDescription1:				Invoque un souffle qui emporte un ennemi choisi dans une direction aléatoire, le rendant invulnérable durant ce déplacement.
SpellDescription.Sojourner.Zephyr.MainDescription2:				Un joueur emporté par le Zephyr est immunisé contre cet effet pour les {0} minutes suivantes.
SpellDescription.Sojourner.Phaseshift.MainDescription:			Amélioration personnelle offrant une quasi-invulnérabilité aux sorts et attaques de mêlée pour {0} secondes.
SpellDescription.Sojourner.Groupport.MainDescription:			Ramène tout votre groupe à votre pierre d'âmes. Si un membre du groupe est en combat, ce sort échouera.
SpellDescription.Stormlord.DazzlingArray.MainDescription1:		Applique un effet réduisant de {0}% les chances des ennemis de toucher les alliés dans la zone.
SpellDescription.Stormlord.DazzlingArray.MainDescription2:		Ne s'applique qu'aux sorts d'étourdissement, excluant les capacités de royaume et les styles de mêlée.
SpellDescription.Stormlord.StormMissHit.MainDescription:		Réduit de {0}% la précision de la cible.
SpellDescription.Stormlord.VacuumVortex.MainDescription:		Effet ciblé au sol repoussant les orages proches vers un point aléatoire en bordure du vortex.
SpellDescription.Stormlord.EnervatingGas.MainDescription:		Émet un gaz qui réduit de {0}% l'endurance des ennemis dans son rayon d'action.
SpellDescription.Stormlord.StormEndudrain.MainDescription:		Tempête qui draine {0} endurance des ennemis qui restent à l'intérieur.
SpellDescription.Stormlord.InebriatingFumes.MainDescription:	Diminue progressivement la Dextérité et la Vivacité des ennemis de {0}% présents dans le nuage de fumée.
SpellDescription.Stormlord.StormDexQuickDebuff.MainDescription:	Réduit de {0}% la dextérité et la vivacité de la cible.
SpellDescription.Stormlord.MentalSiphon.MainDescription:		Tempête qui siphonne {0} mana des ennemis qui se tiennent à l'intérieur.
SpellDescription.Stormlord.PowerDrainStorm.MainDescription:		Draine {0} de mana de la cible.
SpellDescription.Stormlord.FocusingWinds.MainDescription:		Lance et verrouille une tempête alliée. L'effet cesse si vous vous déplacez.
SpellDescription.Stormlord.ChokingVapors.MainDescription:		Diminue progressivement la Force et la Constitution des ennemis de {0}% présents dans le nuage de fumée.
SpellDescription.Stormlord.StormStrConstDebuff.MainDescription:	Réduit de {0}% la Force et la Constitution de la cible.
SpellDescription.Stormlord.SenseDullingCloud.MainDescription:	Tempête qui libère des vapeurs réduisant l'Acuité de {0}% chez les ennemis à l'intérieur.
SpellDescription.Stormlord.StormAcuityDebuff.MainDescription:	Réduit de {0}% l'Acuité de la cible.
SpellDescription.Stormlord.EnergyTempest.MainDescription:		Tempête qui inflige des dégâts d'essence aux ennemis à l'intérieur.
SpellDescription.Stormlord.StormEnergyTempest.MainDescription:	Provoque une tempête infligeant {0} {1} sur {2} secondes aux ennemis.
SpellDescription.MLBase.TargetModifier.MainDescription:			Amélioration personnelle qui permet de modifier ou étendre le rayon de votre prochain sort direct ou de zone.
SpellDescription.MLBase.BanelordSnare.MainDescription:			Effet de ralentissement en zone à courte portée qui ralentit les ennemis proches de {0}%, mais étourdit également l'utilisateur.

# AblativeArmor
AblativeArmor.DelveInfo.Function:			Fonction: tampon de points de mélée
AblativeArmor.DelveInfo.Absorption1:			Absorption: {0}%
AblativeArmor.DelveInfo.Absorption2:			Absorption: 100%
AblativeArmor.DelveInfo.Absorption3:			Absorption: 25%
AblativeArmor.DelveInfo.CastingTime:			Instantané

# DamageSpeedDecrease
DamageSpeedDecrease.DelveInfo.Decrease:			Ralentissement de vitesse : {0}%
DamageSpeedDecrease.DelveInfo.Function:			Fonction : Ralentissement de Vitesse + Dommage

# ResistDebuff
ResistDebuff.DelveInfo.Decrease:			Abaisse la résistance {0} : {1}
ResistDebuff.DelveInfo.Function:			Fonction : Diminution de la résistance

#CharmSpellHandler
CharmSpellHandler.DelveInfo.Function:			Fonction: {0}
CharmSpellHandler.Species.Humanoid:				humanoïde
CharmSpellHandler.Species.Animal:				animale
CharmSpellHandler.Species.Insect:				insectoïde
CharmSpellHandler.Species.Reptile:				reptilienne
CharmSpellHandler.Species.HumanoidAnimal:		humanoïde ou animale
CharmSpellHandler.Species.HumanoidAnimalInsect:					humanoïde, animale et insectoïde
CharmSpellHandler.Species.HumanoidAnimalInsectMagical:			humanoïde, animale, insectoïde et magique
CharmSpellHandler.Species.HumanoidAnimalInsectMagicalUndead:	humanoïde, animale, insectoïde, magique et mort-vivante

#IllusionSpell SpellHandler
IllusionSpell.Arrangement.Random:		aléatoirement
IllusionSpell.Arrangement.Circle:		en cercle
IllusionSpell.Arrangement.Line:			en ligne

# DamageAddAndShield
DamageAddAndShield.EventHandlerDA.DamageToYou:		{0} vous touche pour {1} points de dommage additionels !
DamageAddAndShield.EventHandlerDA.YouHitExtra:		Vous touchez {0} pour {1} points de dommage additionels !
DamageAddAndShield.EventHandlerDA.YouHitFor:		Vous touchez {0} pour {1} points de dommage additionels !
DamageAddAndShield.EventHandlerDA.YourHitFor:		Votre {0} touche {1} pour {2} points de dommages additionels !
DamageAddAndShield.EventHandlerDS.DamageToYou:		{0} vous touche pour {1} points de dommage additionels !
DamageAddAndShield.EventHandlerDS.YouHitFor:		Vous touchez {0} pour {1} points de dommage additionels !
DamageAddAndShield.EventHandlerDS.YourHitFor:		Votre {0} touche {1} pour {2} points de dommages additionels !

# DirectDamageDebuffSpellHandler
DirectDamageDebuffSpellHandler.DelveInfo.Decrease:	Diminution de résistance ({0}): {1}%
DirectDamageDebuffSpellHandler.DelveInfo.Function:	Fonction: dommages/Diminution de résistance

# DoTSpellHandler
DoTSpellHandler.SendDamageMessages.YouHitFor:		Vous touchez {0} pour {1} points de dommages !
DoTSpellHandler.SendDamageMessages.YourCriticallyHits:	Votre {0} inflige un coup critique à {1}, causant {2} points de dégâts supplémentaires !
DoTSpellHandler.SendDamageMessages.YourHitsFor:		Votre {0} touche {1} pour {2} points de dommages !

# NearsightSpellHandler
NearsightSpellHandler.DelveInfo.Function:		Fonction : Réduction de Portée {0}

# ProcSpellHandler
ProcSpellHandler.DelveInfo.Function:			Fonction : {0}

Summon.CheckBeginCast.AlreadyHaveaPet:			Vous avez déjà une créature sous votre contrôle.

# SummonCommanderPet
SummonCommanderPet.CheckBeginCast.Text:			Vous avez déjà un commmandant sous votre contrôle !
SummonCommanderPet.DelveInfo.Text1:			Fonction : Invocation
SummonCommanderPet.DelveInfo.Text2:			Invoque un familier Commandant.
SummonCommanderPet.DelveInfo.Text3:			Cible : {0}
SummonCommanderPet.DelveInfo.Text4:			Coût en mana: {0}%
SummonCommanderPet.DelveInfo.Text5:			Durée d'Incantation : {0}

#SummonMinionHandler
SummonMinionHandler.CheckBeginCast.Text1:		Vous devez déjà posséder un commmandant sous votre contrôle pour invoquer un subordonné dans le groupe !
SummonMinionHandler.CheckBeginCast.Text2:		Votre Commandant dispose déjà du maximum de nombre de subordonnés qu'il peut contrôler !
SummonMinionHandler.DelveInfo.Text1:			Cible : {0}
SummonMinionHandler.DelveInfo.Text2:			Coût en mana : {0}%
SummonMinionHandler.DelveInfo.Text3:			Durée d'Incantation : {0}

#PetPBAOE
PetPBAOE.CheckBeginCast.NoPet:				Vous ne pouvez pas lancer ce sort sur une créature que vous ne contrôlez pas.

#SummonAnimistFnF
SummonAnimistFnF.CheckBeginCast.NoGroundTarget:		Vous devez positionner une cible au sol pour ce sort !
SummonAnimistFnF.CheckBeginCast.TurretAreaCap:		Vous ne pouvez pas contrôler davantage de tourelles dans cette zone !
SummonAnimistFnF.CheckBeginCast.TurretPlayerCap:	Vous ne pouvez pas contrôler davantage de tourelles !

#SummonAnimistPet
SummonAnimistPet.CheckBeginCast.AlreadyHaveaPet:	Vous avez déjà une créature sous votre contrôle !
SummonAnimistPet.CheckBeginCast.GroundTargetNull:	Vous devez positionner une cible au sol pour ce sort !
SummonAnimistPet.CheckBeginCast.GroundTargetNotInView:	Votre cible au sol n'est pas en vue.
SummonAnimistPet.CheckBeginCast.GroundTargetNotInSpellRange:	Vous devez sélectionner une cible au sol moins éloignée.

#TurretsRelease
TurretsRelease.CheckBeginCast.NoSelectedTarget:		Vous ne pouvez lancer ce sort que sur une créature que vous contrôlez.
TurretsRelease.CheckBeginCast.TargetTooFarAway:		Votre cible est trop éloignée.

#PetSpellHandler
PetSpellHandler.CheckBeginCast.NoControlledBrainForCast:	Vous devez posséder un familier pour lancer ce sort !

#SummonNecromancerPet
SummonNecromancerPet.CheckBeginCast.ShadeEffectIsNotNull:	Vous êtes déjà sous forme d'ombre !
SummonNecromancerPet.DelveInfo.Function:			Fonction : Invocation de Familier
SummonNecromancerPet.DelveInfo.Description:			Invoque un familier mort-vivant pour servir le lanceur de sort. Le lanceur de sort est transformé en ombre, et agit à travers son familier.
SummonNecromancerPet.DelveInfo.Target:				Cible : {0}
SummonNecromancerPet.DelveInfo.Power:				Coût en mana : {0}%
SummonNecromancerPet.DelveInfo.CastingTime:			Durée d'Incantation : {0}

#SavageEnduranceHeal
SavageEnduranceHeal.CheckBeginCast.InsuffiscientHealth:		Vous n'avez pas assez de points de vie pour lancer ce sort !

#AblativeArmorSpellHandler
AblativeArmor.Target:	Votre bouclier absorbe {0} points de dégats !
AblativeArmor.Attacker:	Un bouclier absorbe {0} points de dégats de votre attaque !

#Amnesia
Amnesia.MessageToTarget:	Votre esprit s'emmêle et vous oubliez ce que vous étiez en train de faire !

# Petrify
Petrify.Target.Absorbs:		{0} est pétrifié(e) et absorbe {1} dommage(s).
Petrify.Target.Resist:		{0} est pétrifiée et est insensible à ce sort.
Petrify.Self.Message:		{0} est pétrifié(e).
Petrify.Self.Absorb:		Vous êtes pétrifié(e) et absorbez {0} dommage(s).
Petrify.Self.Unpetrify:		Vous êtes libéré(e) de votre pétrification.

# Damnation
Damnation.Self.Message:			Votre cible est damnée.
Damnation.Self.Message2:		Tu ne le sais pas encore, mais tu es déjà mort !
Damnation.Target.Resist:		{0} est damné(e) et est insensible à ce sort.
Damnation.Self.Absorb:			Vous êtes damné(e) et absorbez {0} dommage(s) !
Damnation.Target.Absorbs:		{0} est damné(e) et absorbe {1} dommage(s) !
Damnation.Self.SpellAbsorb:		Votre damnation vous permet d'absorber {0} dégât(s) magique(s) grâce à votre équipement !
Damnation.Target.SpellAbsorbs:	La damnation de {0} lui permet d'absorber {1} dégât(s) magique(s) grâce à son équipement !
Damnation.Self.Resist:			Vous êtes damné(e) et résistez au sort !
Damnation.Target.Resist:		{0} est damné(e) et résiste au sort !
Damnation.Kill.SelfHeal:		La dépouille de votre ennemi vous revitalise de {0} points de vie !
Damnation.Kill.DurationExtended:	Votre existence damnée est prolongée de {0} secondes alors que vous dérobez une autre âme, mais la fin reste inéluctable.
Damnation.Self.CannotBeHealed:	Vous êtes damné(e) et ne pouvez pas être soigné !

# Adrenaline
Adrenaline.Target.Immune:		{0} est en fièvre de bataille et résiste entièrement le sort!
Adrenaline.Target.Absorbs:		Votre cible absorbe {0} points de dégât de l'attaque!
Adrenaline.Self.Immune:			Votre fièvre de bataille vous protège de ce sort!
Adrenaline.Self.Absorb:			Vous absorbez {0} points de dégât du sort!

# DebuffImmunity
DebuffImmunity.You.Resisted:			Vous résistez à l'effet grâce à votre immunité anti-Affaiblissement !
DebuffImmunity.Target.Resisted:			{0} résiste à l'effet grâce son votre immunité anti-Affaiblissement !

# HealDebuff
HealDebuffSpellHandler.EffectStart.Target:		L'efficacité des soins reçus a été réduite en raison de {0}.
HealDebuffSpellHandler.EffectStart.Area:		L'efficacité des soins reçus par {0} a été réduite en raison de {1}.
HealDebuffSpellHandler.EffectExpires.Target:	L'efficacité des soins reçus redevient normale.
HealDebuffSpellHandler.EffectExpires.Area:		L'efficacité des soins reçus par {0} retourne à la normale.

# NecroSummonWeapon
Spells.NecroSumonWeap.Icebrand.You:				Vous invoquez l'épée Icebrand.
Spells.NecroSumonWeap.Icebrand.Target:			{0} invoque l'épée Icebrand.
Spells.NecroSumonWeap.Nethersbane.You:			Vous invoquez l'épée Nethersbane.
Spells.NecroSumonWeap.Nethersbane.Target:		{0} invoque l'épée Nethersbane.

# StyleHandler
StyleHandler.StyleNotFound:						Style de combat introuvable.
StyleHandler.UseStyle:							Utilisez le style {0} pour vos attaques de mêlée.
StyleHandler.NeedsRequirement:					Nécessite {0} pour exécuter ce style.
StyleHandler.NeedsWeapon:						Il vous faut un(e) {0} pour effectuer ce style.
StyleHandler.AllWeaponTypes:					Tous les types d'armes sont compatibles avec ce style de combat.
StyleHandler.UnknownWeaponType:					Type d'arme requis inconnu.
StyleHandler.StyleNotImplemented:				Ce style n'est pas encore implémenté !
StyleHandler.Opening.DefensiveActionUsing:		une action défensive utilisant {0}
StyleHandler.Opening.DefensiveAction:			une action défensive
StyleHandler.Opening.Positional.Back:			que vous soyez en position arrière par rapport à l'adversaire
StyleHandler.Opening.Positional.Side:			que vous soyez en position latérale par rapport à l'adversaire
StyleHandler.Opening.Positional.Front:			que vous soyez en position frontale par rapport à l'adversaire
StyleHandler.Opening.Positional.Specific:		une position spécifique par rapport à l'ennemi
StyleHandler.Opening.Default:					un prérequis d'ouverture de combat spécifique
