
# DelveInfo
DelveInfo.CastingTime:			Casting time: {0}
SpellDescription.Banelord.FatDebuff.MainDescription:			Point blank area effect shout that increases the fatigue cost of enemy actions by {0}%.
SpellDescription.Banelord.MissHit.MainDescription:				Point blank area effect shout that decreases the chance for enemies to hit nearby allies by {0}%.
SpellDescription.Banelord.MLUnbreakableSnare.MainDescription:	Point blank area effect shout that snares nearby enemies by {0}% of the enemies' current speed, but also stuns the user.
SpellDescription.Banelord.UnrresistableNonImunityStun.MainDescription:	Stuns the target for {0} seconds, making them unable to perform actions.
SpellDescription.Banelord.ToHitBuff.MainDescription:			Point blank area effect shout that provides a {0}% increase to the chance for allies to hit enemies.
SpellDescription.Banelord.EffectivenessDeBuff.MainDescription:	Point blank area effect shout that reduces the effective spec of enemies for determining variance for spell and melee damage by {0}%.
SpellDescription.Banelord.Banespike.MainDescription:			Point blank area effect shout that boosts the damage of attacks from nearby allies by {0}%.
SpellDescription.Banelord.NbTargetAffected.MainDescription:		Maximum number of enemies affected is {0}.
SpellDescription.Perfector.FOH.MainDescription1:				Creates a sphere at the caster's feet that restores allies's for {0} health over time. Up to 40 nearby allies can be healed at the same time.
SpellDescription.Perfector.FOH.MainDescription2:				Healing done by the Sphere gets aggro for the caster in PvE.
SpellDescription.Perfector.FOP.MainDescription1:				Creates a sphere at the caster's feet that restores allies's for {0} power over time. Up to 40 nearby allies can be regenerated at the same time.
SpellDescription.Perfector.FOP.MainDescription2:				The sphere does not affect those that have been in PvE combat in the last 10 seconds.
SpellDescription.Perfector.FOR.MainDescription:					Ward which reduces by {0}% the effect of crowd control spells on allies within its influence.
SpellDescription.Perfector.SickHeal.MainDescription:			Target recovers from the effect of resurrection.
SpellDescription.Perfector.FOD.MainDescription:					Ward which drains {0}% power from enemies who stand within its radius.
SpellDescription.Perfector.PoT.MainDescription:					Apply a Power Over Time effect that restores {-0}% additional power every tick.
SpellDescription.Perfector.CCResist.MainDescription:			Increase your resistance to crowd control effects by {0} seconds.
SpellDescription.Warlord.PBAEHeal.ML2.MainDescription:			Point blank area effect shout that restores health, power, and endurance of allies by {0}% of their maximum.
SpellDescription.Warlord.PBAEHeal.ML8.MainDescription:			Heals the target for 1000 hit points at the cost of {0}% of caster's health.
SpellDescription.Warlord.CoweringBellow.MainDescription:		Cowers all controlled enemy pets within {0} radius, reducing their attack effectiveness.
SpellDescription.Warlord.Critical.MainDescription1:				Increases critical hit chance allies of your {0} by {1}% for their next attack.
SpellDescription.Warlord.Critical.MainDescription2:				Increases target's critical hit chance by {0}% for his next attack.
SpellDescription.Warlord.CleansingAura.MainDescription1:		Reduces the effectiveness of damage-over-time spells on allies within a {0} radius by {1}%. If damage is reduced below zero, the DoT is dispelled.
SpellDescription.Warlord.CleansingAura.MainDescription2:		Reduces the effectiveness of damage-over-time spells on target by {0}%. If damage is reduced below zero, the DoT is dispelled.
SpellDescription.Warlord.EffectivenessBuff.MainDescription1:	Increases allies' effectiveness by {1}% for determining damage variance on spells and melee attacks within a {0} radius.
SpellDescription.Warlord.EffectivenessBuff.MainDescription2:	Increases target's effectiveness by {0}% for determining damage variance on spells and melee attacks.
SpellDescription.Warlord.MLABSBuff.MainDescription1:			Increases armor absorption by {1}% for allies within a {0} radius.
SpellDescription.Warlord.MLABSBuff.MainDescription2:			Increases target's armor absorption by {0}%.
SpellDescription.Sojourner.UnmakeCrystalseed.MainDescription:	Destroys the targeted rune and any nearby runes within a {0} radius.
SpellDescription.Sojourner.AncientTransmuter.MainDescription:	Summons a vendor to buy and sell basic supplies.
SpellDescription.Sojourner.Port.MainDescription1:				Teleport to your world bindpoint. This spell will fail if you are in combat or in an RvR zone.
SpellDescription.Sojourner.Port.MainDescription2:				Teleports {0} players within a radius of {1} to their last world bindpoint. This spell will fail if you are in combat or in an RvR zone.
SpellDescription.Sojourner.EssenceResist.MainDescription:		Increases target's resistance to natural (essence) damage by {0}%.
SpellDescription.Sojourner.Zephyr.MainDescription1:				Targeted summon that picks up the selected enemy player and carries them in a random direction. The zephyred player is immune to damage for the duration.
SpellDescription.Sojourner.Zephyr.MainDescription2:				Once zephyred, a player cannot be zephyred again for {0} minute.
SpellDescription.Sojourner.Phaseshift.MainDescription:			Self buff that provides near-invulnerability to spells and melee for {0} seconds.
SpellDescription.Sojourner.Groupport.MainDescription:			Teleport your group to your world bindpoint. If any group member is in combat, this spell will fail.
SpellDescription.Stormlord.DazzlingArray.MainDescription1:		Casts a stun feedback buff that makes it {0}% harder for enemies to hit allies inside its radius.
SpellDescription.Stormlord.DazzlingArray.MainDescription2:		Only works versus casted, non-realm ability stuns, melee style stuns will still land.
SpellDescription.Stormlord.StormMissHit.MainDescription:		Reduces the target's chance to hit by {0}%.
SpellDescription.Stormlord.VacuumVortex.MainDescription:		Ground targeted effect that pushes any storms near the ground target directly away from that point, toward a random point at the edge of the vortex.
SpellDescription.Stormlord.EnervatingGas.MainDescription:		Emits enervating gas that drains {0}% endurance from enemies within the storm.
SpellDescription.Stormlord.StormEndudrain.MainDescription:		Storm that drains {0} endurance from enemies that stay inside it.
SpellDescription.Stormlord.InebriatingFumes.MainDescription:	Storm that releases fumes reducing dexterity and quickness by {0}% for enemies inside it. The longer enemies remain in the cloud, the more Dex/Quick they lose.
SpellDescription.Stormlord.StormDexQuickDebuff.MainDescription:	Reduces the target's Dexterity and Quickness by {0}%.
SpellDescription.Stormlord.MentalSiphon.MainDescription:		Storm that drains {0} power from enemies who stand inside it.
SpellDescription.Stormlord.PowerDrainStorm.MainDescription:		Steals {0} power from the target.
SpellDescription.Stormlord.FocusingWinds.MainDescription:		Cast and locks a friendly storm in place; breaks if you move.
SpellDescription.Stormlord.ChokingVapors.MainDescription:		Storm that releases vapors reducing Strength and Constitution by {0}% for enemies inside it. The longer enemies remain in the cloud, the more Str/Con they lose.
SpellDescription.Stormlord.StormStrConstDebuff.MainDescription:	Reduces the target's Strength and Constitution by {0}%.
SpellDescription.Stormlord.SenseDullingCloud.MainDescription:	Storm that releases vapors reducing Acuity by {0}% for enemies inside it.
SpellDescription.Stormlord.StormAcuityDebuff.MainDescription:	Reduces the target's Acuity by {0}%.
SpellDescription.Stormlord.EnergyTempest.MainDescription:		Storm that inflicts essence damage on enemies inside it.
SpellDescription.Stormlord.StormEnergyTempest.MainDescription:	Causes a storm that wracks {0} {1} over {2} seconds to the enemy.
SpellDescription.MLBase.TargetModifier.MainDescription:			Self buff that grants the next non-AoE direct damage spell cast a radius, or increases the radius of an area effect damage spell.
SpellDescription.MLBase.BanelordSnare.MainDescription:			Point blank area effect shout that snares nearby enemies, but stuns the user.

# AblativeArmor
AblativeArmor.DelveInfo.Function:			Function: melee hitpoint buffer (?)
AblativeArmor.DelveInfo.Absorption1:			Absorption: {0}%
AblativeArmor.DelveInfo.Absorption2:			Absorption: 100%
AblativeArmor.DelveInfo.Absorption3:			Absorption: 25%
AblativeArmor.DelveInfo.CastingTime:			Instant

# DamageSpeedDecrease
DamageSpeedDecrease.DelveInfo.Decrease:			Speed decrease: {0}%
DamageSpeedDecrease.DelveInfo.Function:			Function: damage/speed decrease

# ResistDebuff
ResistDebuff.DelveInfo.Decrease:			Resist decrease {0}: {1}
ResistDebuff.DelveInfo.Function:			Function: resistance decrease

#CharmSpellHandler
CharmSpellHandler.DelveInfo.Function:			Function: {0}
CharmSpellHandler.Species.Humanoid:				humanoid
CharmSpellHandler.Species.Animal:				animal
CharmSpellHandler.Species.Insect:				insect
CharmSpellHandler.Species.Reptile:				reptile
CharmSpellHandler.Species.HumanoidAnimal:		humanoid and animal
CharmSpellHandler.Species.HumanoidAnimalInsect:					humanoid, animal and insect
CharmSpellHandler.Species.HumanoidAnimalInsectMagical:			humanoid, animal, insect and magical
CharmSpellHandler.Species.HumanoidAnimalInsectMagicalUndead:	humanoid, animal, insect, magical and undead

#IllusionSpell SpellHandler
IllusionSpell.Arrangement.Random:		randomly
IllusionSpell.Arrangement.Circle:		in a circle
IllusionSpell.Arrangement.Line:			in a line

# DamageAddAndShield
DamageAddAndShield.EventHandlerDA.DamageToYou:		{0} does {1} extra damage(s) to you!
DamageAddAndShield.EventHandlerDA.YouHitExtra:		You hit {0} for {1} extra damage(s)!
DamageAddAndShield.EventHandlerDA.YouHitFor:		You hit {0} for {1} extra damage(s)!
DamageAddAndShield.EventHandlerDA.YourHitFor:		Your {0} hit {1} for {2} extra damage(s)!
DamageAddAndShield.EventHandlerDS.DamageToYou:		{0} does {1} extra damage(s) to you!
DamageAddAndShield.EventHandlerDS.YouHitFor:		You hit {0} for {1} extra damage(s)!
DamageAddAndShield.EventHandlerDS.YourHitFor:		Your {0} hit {1} for {2} extra damage(s)!

# DirectDamageDebuffSpellHandler
DirectDamageDebuffSpellHandler.DelveInfo.Decrease:	Resist decrease ({0}): {1}%
DirectDamageDebuffSpellHandler.DelveInfo.Function:	Function: dmg w/resist decrease

# DoTSpellHandler
DoTSpellHandler.SendDamageMessages.YouHitFor:		You hit {0} for {1} damage(s)!
DoTSpellHandler.SendDamageMessages.YourCriticallyHits:	Your {0} critically hits {1} for an additional {2} damage(s)!
DoTSpellHandler.SendDamageMessages.YourHitsFor:		Your {0} hits {1} for {2} damage(s)!

# NearsightSpellHandler
NearsightSpellHandler.DelveInfo.Function:		Function: {0}

# ProcSpellHandler
ProcSpellHandler.DelveInfo.Function:			Function: {0}

Summon.CheckBeginCast.AlreadyHaveaPet:			You already have a charmed creature, release it first!

# SummonCommanderPet
SummonCommanderPet.CheckBeginCast.Text:			You already have summoned a commander, release it first!
SummonCommanderPet.DelveInfo.Text1:			Function: summon
SummonCommanderPet.DelveInfo.Text2:			Summons a pet to serve the caster.
SummonCommanderPet.DelveInfo.Text3:			Target: {0}
SummonCommanderPet.DelveInfo.Text4:			Power cost: {0}%
SummonCommanderPet.DelveInfo.Text5:			Casting time: {0}

#SummonMinionHandler
SummonMinionHandler.CheckBeginCast.Text1:		You must already have summoned a commander, to summon a follower into a group!
SummonMinionHandler.CheckBeginCast.Text2:		Your general already has as many followers as he can command!
SummonMinionHandler.DelveInfo.Text1:			Target: {0}
SummonMinionHandler.DelveInfo.Text2:			Power cost: {0}%
SummonMinionHandler.DelveInfo.Text3:			Casting time: {0}

#PetPBAOE
PetPBAOE.CheckBeginCast.NoPet:				You must cast this spell on a creature you are controlling.

#SummonAnimistFnF
SummonAnimistFnF.CheckBeginCast.NoGroundTarget:		You can't summon Turret without ground-target !
SummonAnimistFnF.CheckBeginCast.TurretAreaCap:		You can't summon anymore Turrets in this Area!
SummonAnimistFnF.CheckBeginCast.TurretPlayerCap:	You cannot control any more Turrets!

#SummonAnimistPet
SummonAnimistPet.CheckBeginCast.AlreadyHaveaPet:	You already have a charmed creature, release it first!
SummonAnimistPet.CheckBeginCast.GroundTargetNull:	You have to set a ground target for this Spell.
SummonAnimistPet.CheckBeginCast.GroundTargetNotInView:	Your ground target is not in view.
SummonAnimistPet.CheckBeginCast.GroundTargetNotInSpellRange:	You have to select a closer ground target.

#TurretsRelease
TurretsRelease.CheckBeginCast.NoSelectedTarget:		You must cast this spell on a creature you are controlling.
TurretsRelease.CheckBeginCast.TargetTooFarAway:		Your target is too far away.

#PetSpellHandler
PetSpellHandler.CheckBeginCast.NoControlledBrainForCast:	You must have a pet summoned to cast this spell!

#SummonNecromancerPet
SummonNecromancerPet.CheckBeginCast.ShadeEffectIsNotNull:	You are already a shade!
SummonNecromancerPet.DelveInfo.Function:			Function: Shade Summon
SummonNecromancerPet.DelveInfo.Description:			Summons an undead pet to serve the caster. The caster is transformed into a shade, and acts through the pet.
SummonNecromancerPet.DelveInfo.Target:				Target: {0}
SummonNecromancerPet.DelveInfo.Power:				Power cost: {0}%
SummonNecromancerPet.DelveInfo.CastingTime:			Casting time: {0}

#SavageEnduranceHeal
SavageEnduranceHeal.CheckBeginCast.InsuffiscientHealth:		You do not have enough health to cast that!

#AblativeArmorSpellHandler
AblativeArmor.Target:	Your ablative barrier absorbs {0} damage(s)!
AblativeArmor.Attacker:	A barrier absorbs {0} damage(s) of your attack!

#Amnesia
Amnesia.MessageToTarget:	Your mind goes blank and you forget what you were doing!

# Petrify
Petrify.Target.Absorbs:		{0} is petrified and absorbs {1} damage(s)!
Petrify.Target.Resist:		{0} is petrified and can't be effected by this Spell!
Petrify.Self.Message:		{0} is petrified.
Petrify.Self.Absorb:		You're petrified and absorb {0} damage(s)!
Petrify.Self.Unpetrify:		Your petrification fades.

# Damnation
Damnation.Self.Message:			The target is damned
Damnation.Self.Message2:		You may not realize it, but you're already dead!
Damnation.Target.Resist:		{0} is damned and can't be effected by this Spell!
Damnation.Self.Absorb:			You are damned and absorb {0} damage(s)!
Damnation.Target.Absorbs:		{0} is damned and absorbs {1} damage(s)!
Damnation.Self.SpellAbsorb:		You are damned and use your gear to absorb {0} spell damage(s)!
Damnation.Target.SpellAbsorbs:	{0} is damned and use his gear to absorb {1} spell damage(s)!
Damnation.Self.Resist:			You are damned and resist the effect!
Damnation.Target.Resist:		{0} is damned and resists the effect!
Damnation.Kill.SelfHeal:		You draw vitality from your enemy's corpse, gaining {0} health!
Damnation.Kill.DurationExtended:	Your accursed existence is extended by {0} seconds as you claim another soul, but the end still awaits.
Damnation.Self.CannotBeHealed:	You are damned and cannot be healed!

# Adrenaline
Adrenaline.Target.Immune:		{0}'s battle fever renders him/her immune to this effect!
Adrenaline.Target.Absorbs:		The target absorbs {0} damage(s) from the attack!
Adrenaline.Self.Immune:			Your battle fever makes you immune to the effect!
Adrenaline.Self.Absorb:			You absorb {0} damage(s) from the attack!

# DebuffImmunity
DebuffImmunity.You.Resisted:			You resist the effect with your Debuff Immunity!
DebuffImmunity.Target.Resisted:			{0} resists the effect with Debuff Immunity!

# HealDebuff
HealDebuffSpellHandler.EffectStart.Target:		Your ability to receive healing has been reduced due to {0}.
HealDebuffSpellHandler.EffectStart.Area:		{0}'s ability to receive healing has been reduced due to {1}.
HealDebuffSpellHandler.EffectExpires.Target:	Your ability to receive healing returns to normal.
HealDebuffSpellHandler.EffectExpires.Area:		{0}'s ability to receive healing returns to normal.

# NecroSummonWeapon
Spells.NecroSumonWeap.Icebrand.You:				You summon the Icebrand.
Spells.NecroSumonWeap.Icebrand.Target:			{0} summons the Icebrand.
Spells.NecroSumonWeap.Nethersbane.You:			You summon the Nethersbane.
Spells.NecroSumonWeap.Nethersbane.Target:		{0} summons the Nethersbane.

# StyleHandler
StyleHandler.StyleNotFound:						Style not found.
StyleHandler.UseStyle:							Use {0} style for melee combat.
StyleHandler.NeedsRequirement:					Needs {0} to execute the style.
StyleHandler.NeedsWeapon:						Needs a {0} to perform this style.
StyleHandler.AllWeaponTypes:					All weapon types can be used to perform this style.
StyleHandler.UnknownWeaponType:					Unknown weapon type requirement.
StyleHandler.StyleNotImplemented:				That style is not implemented!
StyleHandler.Opening.DefensiveActionUsing:		a defensive action using {0}
StyleHandler.Opening.DefensiveAction:			a defensive action
StyleHandler.Opening.Positional.Back:			to be on the back position from the enemy
StyleHandler.Opening.Positional.Side:			to be on the side position from the enemy
StyleHandler.Opening.Positional.Front:			to be on the front position from the enemy
StyleHandler.Opening.Positional.Specific:		a specific position relative to the enemy
StyleHandler.Opening.Default:					a specific opening requirement
