# DelveInfo
DelveInfo.CastingTime:          Timp de incantare: {0}
SpellDescription.Convoker.PrescienceNode.MainDescription1:		Rună de sol (rază 1000) care detectează inamici ascunși fără a le rupe invizibilitatea.
SpellDescription.Convoker.PrescienceNode.MainDescription2:		Runa poate fi atacată și are {0} viață.
SpellDescription.Convoker.Prescience.MainDescription1:			O Rună a Prezenței te-a detectat!
SpellDescription.Convoker.Prescience.MainDescription2:			Acordă presentiment pentru a anticipa mișcările inamicilor.
SpellDescription.Convoker.PowerTrap.MainDescription:			Plasează o rună care la detonare drenează 20% mană de la inamici (doar cei cu mană).
SpellDescription.Convoker.SpeedWrap.MainDescription:			Rună care anulează buffurile de viteză ale inamicilor ce trec prin ea. 6 s după părăsire nu pot primi vrăji de viteză.
SpellDescription.Convoker.SummonWarcrystal.MainDescription:		Chemează muniție de asediu (alice, bile, gheață sau pietre) în inventarul tău.
SpellDescription.Convoker.Battlewarder.MainDescription1:		Chemează un Gardian de Bătălie care interceptează atacurile inamice. Stă pe loc și consumă mană cât timp e activ.
SpellDescription.Convoker.Battlewarder.MainDescription2:		Țintă de sol. Poate coexista cu alte pet-uri; pot fi chemați mai mulți gardieni.
SpellDescription.Convoker.DissonanceTrap.MainDescription:		Plasează o rună care la detonare provoacă {0} {1}.
SpellDescription.Convoker.BrittleGuard.MainDescription1:		Chemează un „Străjer Fragil” care îți poate bloca o singură lovitură melee.
SpellDescription.Convoker.BrittleGuard.MainDescription2:		Are o singură viață și moare după o lovitură. Doar unul activ.
SpellDescription.Convoker.SummonMastery.MainDescription:		Creste nivelul efectiv al pet-urilor și le îmbunătățește daunele și absorbția.
SpellDescription.Convoker.SummonTitan.MainDescription1:			Chemează un Titan care crește în dimensiune și putere și lovește năprasnic.
SpellDescription.Convoker.SummonTitan.MainDescription2:			Stă pe loc și atacă doar inamicii în raza melee.
SpellDescription.Spymaster.Decoy.MainDescription:				Chemează un aliat momeală cu echipament epic, 1 viață și fără abilități ofensive pentru a deruta.
SpellDescription.Spymaster.Sabotage.MainDescription:			Sabotează o țintă (rună sau mașină de asediu) făcând-o inutilizabilă.
SpellDescription.Spymaster.TangleSnare.MainDescription:			Plasează o rună care la detonare încetinește inamicii din rază cu {0}%. Folosirea rupe stealth-ul.
SpellDescription.Spymaster.PoisonSpike.MainDescription:			Plasează o rună otrăvită care provoacă {0} {1} inamicilor apropiați. Rupe stealth-ul.
SpellDescription.Spymaster.Loockout.MainDescription1:			Un observator staționar detectează dușmani furiși în {0}. Rămâne ascuns dacă nu se mișcă.
SpellDescription.Spymaster.Loockout.MainDescription2:			Ținta trebuie să stea jos și nemișcată; la mișcare efectul se încheie.
SpellDescription.Spymaster.SiegeWrecker.MainDescription1:		Rună care provoacă daune mari mașinilor de asediu.
SpellDescription.Spymaster.SiegeWrecker.MainDescription2:		Provoacă {0} daune la activare.
SpellDescription.Spymaster.EssenceFlare.MainDescription:		Aplică otravă care lasă inamicii 15 s în amurg.
SpellDescription.Spymaster.BlanketOfCamouflage.MainDescription:	Ascunde grupul tău. Mișcarea, vrăjile sau cântatul îndepărtează efectul pentru non-furtivi.
SpellDescription.Battlemaster.MLEndudrain.MainDescription:		Drenează {0} anduranță de la inamicii apropiați.
SpellDescription.Battlemaster.KeepDamageBuff.MainDescription:	Acordă {0}% daune bonus împotriva mașinilor de asediu și structurilor.
SpellDescription.Battlemaster.MLManadrain.MainDescription:		Drenează {0} mană de la inamicii apropiați.
SpellDescription.Battlemaster.Grapple.MainDescription1:			Efect cu rază scurtă ce imobilizează {0} s și curăță efecte.
SpellDescription.Battlemaster.Grapple.MainDescription2:			Înfășoară ținta; nu se poate mișca sau lovi melee, dar poate 10 s lansa/cânta.
SpellDescription.Battlemaster.Grapple.MainDescription3:			O țintă prinsă nu poate fi lovită melee.
SpellDescription.Battlemaster.EssenceFlamesProc.MainDescription:	{0}% șansă să activezi daune suplimentare de Esență cu atacuri melee.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription1:		Atac la distanță ce folosește formule de daune melee.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription2:		Atacurile melee sunt dezactivate 10 s după folosire.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription1:	Reduce rezistența la Esență a inamicilor apropiați cu {0}%.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription2:	Reduce rezistența la Esență a țintei cu {0}%.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription1:	Protejează un aliat apropiat de atacurile melee. Cât timp protectorul trăiește sau e în rază, aliatul nu poate fi țintit.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription2:	Efectul se menține doar dacă protejatul stă nemișcat.
SpellDescription.Battlemaster.EssenceDampenHandler.MainDescription:	Reduce mobilitatea țintei cu {0}%.
SpellDescription.Banelord.CastingSpeedDebuff.MainDescription:		Reduce viteza de incantare a dușmanilor cu {0}%.
SpellDescription.Banelord.PBAEDamage.ML2.MainDescription:		Reduce mana, viața și anduranța dușmanilor din zonă cu {0}%.
SpellDescription.Banelord.PBAEDamage.ML8.MainDescription:		Reduce resursele în zonă cu {0}% și te costă {1}% din viața ta.
SpellDescription.Banelord.Oppression.MainDescription:			Reduce capacitatea maximă de încărcare a inamicilor apropiați cu {0}%.
SpellDescription.Banelord.FatDebuff.MainDescription:			Creste consumul de anduranță al atacurilor inamice cu {0}%.
SpellDescription.Banelord.MissHit.MainDescription:				Reduce șansa de lovire a inamicilor apropiați cu {0}%.
SpellDescription.Banelord.MLUnbreakableSnare.MainDescription:	Zonă scurtă care încetinește cu {0}% și îl amețește pe incantator.
SpellDescription.Banelord.UnrresistableNonImunityStun.MainDescription:	Amețește {0} s și împiedică acțiunea.
SpellDescription.Banelord.ToHitBuff.MainDescription:			Creste șansa de lovire a aliaților apropiați cu {0}%.
SpellDescription.Banelord.EffectivenessDeBuff.MainDescription:	Reduce eficiența dușmanilor (vrăji și melee) cu {0}%.
SpellDescription.Banelord.Banespike.MainDescription:			Creste daunele aliaților apropiați cu {0}%.
SpellDescription.Banelord.NbTargetAffected.MainDescription:		Până la {0} inamici pot fi afectați.
SpellDescription.Perfector.FOH.MainDescription1:				Crează o sferă la picioarele tale care vindecă în timp {0} viață aliaților (până la 40).
SpellDescription.Perfector.FOH.MainDescription2:				În PvE atrage atenția inamicilor către incantator.
SpellDescription.Perfector.FOP.MainDescription1:				Crează o sferă la picioarele tale care regenerează în timp {0} mană aliaților (până la 40).
SpellDescription.Perfector.FOP.MainDescription2:				Aliații care au luptat în ultimele 10 s în PvE nu beneficiază.
SpellDescription.Perfector.FOR.MainDescription:					Rună care scurtează durata controlului pe aliații apropiați cu {0}%.
SpellDescription.Perfector.SickHeal.MainDescription:			Îți permite să depășești efectele asociate reînvierii.
SpellDescription.Perfector.FOD.MainDescription:					Rună defensivă care drenează {0}% mana inamicilor din rază.
SpellDescription.Perfector.PoT.MainDescription:					Regen menținut care crește mana pe tick cu {0}%.
SpellDescription.Perfector.CCResist.MainDescription:			Creste rezistența ta la control timp de {0} s.
SpellDescription.Warlord.PBAEHeal.ML2.MainDescription:			Zonă care regenerează {0}% viață, mană și anduranță aliaților apropiați.
SpellDescription.Warlord.PBAEHeal.ML8.MainDescription:			Vindecă 1000 viață țintei la costul a {0}% din viața ta.
SpellDescription.Warlord.CoweringBellow.MainDescription:		Însuflă frică pet-urilor controlate de jucători în {0} și le reduce eficiența.
SpellDescription.Warlord.Critical.MainDescription1:				Creste șansa de critic a aliaților din {0} cu {1}% pentru următorul atac.
SpellDescription.Warlord.Critical.MainDescription2:				Creste șansa de critic a țintei cu {0}% pentru următorul atac.
SpellDescription.Warlord.CleansingAura.MainDescription1:		Reduce eficiența DoT-urilor pe aliații din {0} cu {1}%. Când daunele ajung la zero, efectul se încheie.
SpellDescription.Warlord.CleansingAura.MainDescription2:		Reduce eficiența DoT-urilor pe țintă cu {0}%. Se încheie la zero daune.
SpellDescription.Warlord.EffectivenessBuff.MainDescription1:	Creste eficiența aliaților din {0} cu {1}% (vrăji și melee).
SpellDescription.Warlord.EffectivenessBuff.MainDescription2:	Creste eficiența țintei cu {1}% (vrăji și melee).
SpellDescription.Warlord.MLABSBuff.MainDescription1:			Creste absorbția armurii aliaților din {0} cu {1}%.
SpellDescription.Warlord.MLABSBuff.MainDescription2:			Creste absorbția armurii țintei cu {1}%.
SpellDescription.Sojourner.UnmakeCrystalseed.MainDescription:	Distruge runa țintă și runele apropiate în {0}.
SpellDescription.Sojourner.AncientTransmuter.MainDescription:	Chemează un negustor pentru cumpărarea/vânzarea proviziilor de bază.
SpellDescription.Sojourner.Port.MainDescription1:				Te teleportează la piatra sufletului tău. Nu funcționează în luptă sau RvR.
SpellDescription.Sojourner.Port.MainDescription2:				Teleportează {0} jucători în {1} la pietrele lor. Nu în luptă/RvR.
SpellDescription.Sojourner.EssenceResist.MainDescription:		Creste rezistența la daune naturale (Esență) cu {0}%.
SpellDescription.Sojourner.Zephyr.MainDescription1:				Chemează un zefir care poartă un inamic într-o direcție aleatoare și îl face invulnerabil pe durata efectului.
SpellDescription.Sojourner.Zephyr.MainDescription2:				Un jucător afectat de Zefir este imun {0} min la următorul.
SpellDescription.Sojourner.Phaseshift.MainDescription:			Buff personal care te face aproape invulnerabil la vrăji și melee pentru {0} s.
SpellDescription.Sojourner.Groupport.MainDescription:			Aduce întregul tău grup înapoi la piatra sufletului tău. Eșuează dacă cineva este în luptă.
SpellDescription.Stormlord.DazzlingArray.MainDescription1:		Aplică un efect care reduce șansa de lovire a inamicilor din zonă cu {0}%.
SpellDescription.Stormlord.DazzlingArray.MainDescription2:		Numai pentru vrăji de stun; exclude RA și stilurile.
SpellDescription.Stormlord.StormMissHit.MainDescription:		Reduce acuratețea țintei cu {0}%.
SpellDescription.Stormlord.VacuumVortex.MainDescription:		Țintă de sol care mută furtunile apropiate într-un punct aleator de pe margine.
SpellDescription.Stormlord.EnervatingGas.MainDescription:		Eliberează gaz care scade anduranța inamicilor cu {0}%.
SpellDescription.Stormlord.StormEndudrain.MainDescription:		Furtună care drenează {0} anduranță inamicilor din interior.
SpellDescription.Stormlord.InebriatingFumes.MainDescription:	Scade treptat Dexteritatea și Viteza cu {0}% celor ce rămân în interior.
SpellDescription.Stormlord.StormDexQuickDebuff.MainDescription:	Reduce Dexteritatea și Viteza țintei cu {0}%.
SpellDescription.Stormlord.MentalSiphon.MainDescription:		Furtună care drenează {0} mană inamicilor din interior.
SpellDescription.Stormlord.PowerDrainStorm.MainDescription:		Drenează {0} mană țintei.
SpellDescription.Stormlord.FocusingWinds.MainDescription:		Creează o furtună aliată și o fixează. Se termină dacă te miști.
SpellDescription.Stormlord.ChokingVapors.MainDescription:		Scade treptat Forța și Constituția cu {0}% celor ce rămân în interior.
SpellDescription.Stormlord.StormStrConstDebuff.MainDescription:	Reduce Forța și Constituția țintei cu {0}%.
SpellDescription.Stormlord.SenseDullingCloud.MainDescription:	Furtună care tocește simțurile și reduce Acuitatea cu {0}%.
SpellDescription.Stormlord.StormAcuityDebuff.MainDescription:	Reduce Acuitatea țintei cu {0}%.
SpellDescription.Stormlord.EnergyTempest.MainDescription:		Furtună care provoacă daune de Esență inamicilor din interior.
SpellDescription.Stormlord.StormEnergyTempest.MainDescription:	Provoacă {0} {1} timp de {2} s inamicilor din interior.
SpellDescription.MLBase.TargetModifier.MainDescription:			Buff personal care permite modificarea sau extinderea razei următoarei vrăji (țintă unică sau zonă).
SpellDescription.MLBase.BanelordSnare.MainDescription:			Zonă scurtă care încetinește cu {0}% și îl amețește pe incantator.

# AblativeArmor
AblativeArmor.DelveInfo.Function:			Funcție: amortizor împotriva loviturilor melee
AblativeArmor.DelveInfo.Absorption1:			Absorbție: {0}%
AblativeArmor.DelveInfo.Absorption2:			Absorbție: 100%
AblativeArmor.DelveInfo.Absorption3:			Absorbție: 25%
AblativeArmor.DelveInfo.CastingTime:			Instant

# DamageSpeedDecrease
DamageSpeedDecrease.DelveInfo.Decrease:			Scădere viteză: {0}%
DamageSpeedDecrease.DelveInfo.Function:			Funcție: Scădere viteză + daune

# ResistDebuff
ResistDebuff.DelveInfo.Decrease:			Scădere rezistență {0}: {1}
ResistDebuff.DelveInfo.Function:			Funcție: Reducere rezistențe

#CharmSpellHandler
CharmSpellHandler.DelveInfo.Function:			Funcție: {0}
CharmSpellHandler.Species.Humanoid:				Umanoid
CharmSpellHandler.Species.Animal:				Animal
CharmSpellHandler.Species.Insect:				Insectă
CharmSpellHandler.Species.Reptile:				Reptilă
CharmSpellHandler.Species.HumanoidAnimal:		Umanoid sau Animal
CharmSpellHandler.Species.HumanoidAnimalInsect:					Umanoid, Animal și Insectă
CharmSpellHandler.Species.HumanoidAnimalInsectMagical:			Umanoid, Animal, Insectă și Magic
CharmSpellHandler.Species.HumanoidAnimalInsectMagicalUndead:	Umanoid, Animal, Insectă, Magic și Mort-Viu

#IllusionSpell SpellHandler
IllusionSpell.Arrangement.Random:		aleator
IllusionSpell.Arrangement.Circle:		în cerc
IllusionSpell.Arrangement.Line:			în linie

#WarlockSpeedDecrease SpellHandler Appearances
WarlockSpeedDecrease.Appearance.Frog:			Broască
WarlockSpeedDecrease.Appearance.Worm:			Vierme
WarlockSpeedDecrease.Appearance.Lizard:			Șopârlă
WarlockSpeedDecrease.Appearance.Wisp:			Will-o'-the-wisp
WarlockSpeedDecrease.Appearance.Fairy:			Zână
WarlockSpeedDecrease.Appearance.Scarab:			Scarab
WarlockSpeedDecrease.Appearance.Spider:			Păianjen
WarlockSpeedDecrease.Appearance.Cyclop:			Ciclop
WarlockSpeedDecrease.Appearance.Mantis:			Călugăriță
WarlockSpeedDecrease.Appearance.Flame:			Flăcăruie
WarlockSpeedDecrease.Appearance.Bird:			Rândunică
WarlockSpeedDecrease.Appearance.Simulacrum:		Simulacru

# DamageAddAndShield
DamageAddAndShield.EventHandlerDA.DamageToYou:		{0} te lovește pentru {1} daune suplimentare!
DamageAddAndShield.EventHandlerDA.YouHitExtra:		Îl lovești pe {0} pentru {1} daune suplimentare!
DamageAddAndShield.EventHandlerDA.YouHitFor:		Îl lovești pe {0} pentru {1} daune suplimentare!
DamageAddAndShield.EventHandlerDA.YourHitFor:		{0}-ul tău lovește {1} pentru {2} daune suplimentare!
DamageAddAndShield.EventHandlerDS.DamageToYou:		{0} te lovește pentru {1} daune suplimentare!
DamageAddAndShield.EventHandlerDS.YouHitFor:		Îl lovești pe {0} pentru {1} daune suplimentare!
DamageAddAndShield.EventHandlerDS.YourHitFor:		{0}-ul tău lovește {1} pentru {2} daune suplimentare!

# DirectDamageDebuffSpellHandler
DirectDamageDebuffSpellHandler.DelveInfo.Decrease:	Reducere rezistență ({0}): {1}%
DirectDamageDebuffSpellHandler.DelveInfo.Function:	Funcție: Daune/Reducere rezistență

# DoTSpellHandler
DoTSpellHandler.SendDamageMessages.YouHitFor:		Îl lovești pe {0} pentru {1} daune!
DoTSpellHandler.SendDamageMessages.YourCriticallyHits:	{0}-ul tău îl lovește critic pe {1} și provoacă {2} daune suplimentare!
DoTSpellHandler.SendDamageMessages.YourHitsFor:		{0}-ul tău îl lovește pe {1} pentru {2} daune!

# NearsightSpellHandler
NearsightSpellHandler.DelveInfo.Function:		Funcție: Reducere rază {0}

# ProcSpellHandler
ProcSpellHandler.DelveInfo.Function:			Funcție: {0}

Summon.CheckBeginCast.AlreadyHaveaPet:			Controlezi deja o creatură.

# SummonCommanderPet
SummonCommanderPet.CheckBeginCast.Text:			Controlezi deja un Comandant!
SummonCommanderPet.DelveInfo.Text1:			Funcție: Chemare
SummonCommanderPet.DelveInfo.Text2:			Chemează un pet Comandant.
SummonCommanderPet.DelveInfo.Text3:			Țintă: {0}
SummonCommanderPet.DelveInfo.Text4:			Cost mană: {0}%
SummonCommanderPet.DelveInfo.Text5:			Timp de incantare: {0}

#SummonMinionHandler
SummonMinionHandler.CheckBeginCast.Text1:		Trebuie să controlezi deja un Comandant pentru a chema un slujitor de grup!
SummonMinionHandler.CheckBeginCast.Text2:		Comandantul tău controlează deja numărul maxim de slujitori!
SummonMinionHandler.DelveInfo.Text1:			Țintă: {0}
SummonMinionHandler.DelveInfo.Text2:			Cost mană: {0}%
SummonMinionHandler.DelveInfo.Text3:			Timp de incantare: {0}

#PetPBAOE
PetPBAOE.CheckBeginCast.NoPet:				Nu poți lansa această vrajă pe o creatură pe care nu o controlezi.

#SummonAnimistFnF
SummonAnimistFnF.CheckBeginCast.NoGroundTarget:		Trebuie să setezi o țintă de sol pentru această vrajă!
SummonAnimistFnF.CheckBeginCast.TurretAreaCap:		Nu poți controla mai multe turele în această zonă!
SummonAnimistFnF.CheckBeginCast.TurretPlayerCap:	Nu poți controla turele suplimentare!

#SummonAnimistPet
SummonAnimistPet.CheckBeginCast.AlreadyHaveaPet:	Controlezi deja o creatură!
SummonAnimistPet.CheckBeginCast.GroundTargetNull:	Trebuie să setezi o țintă de sol pentru această vrajă!
SummonAnimistPet.CheckBeginCast.GroundTargetNotInView:	Nu ai ținta de sol în câmpul vizual.
SummonAnimistPet.CheckBeginCast.GroundTargetNotInSpellRange:	Alege o țintă de sol mai aproape.

#TurretsRelease
TurretsRelease.CheckBeginCast.NoSelectedTarget:		Poți lansa această vrajă doar pe o creatură pe care o controlezi.
TurretsRelease.CheckBeginCast.TargetTooFarAway:		Ținta ta este prea departe.

#PetSpellHandler
PetSpellHandler.CheckBeginCast.NoControlledBrainForCast:	Îți trebuie un pet pentru a lansa această vrajă!

#SummonNecromancerPet
SummonNecromancerPet.CheckBeginCast.ShadeEffectIsNotNull:	Ești deja în Formă de Umbră!
SummonNecromancerPet.DelveInfo.Function:			Funcție: Chemare pet
SummonNecromancerPet.DelveInfo.Description:			Chemează un pet nemort care îl servește pe incantator. Incantatorul ia Forma de Umbră și acționează prin pet.
SummonNecromancerPet.DelveInfo.Target:				Țintă: {0}
SummonNecromancerPet.DelveInfo.Power:				Cost mană: {0}%
SummonNecromancerPet.DelveInfo.CastingTime:			Timp de incantare: {0}

#SavageEnduranceHeal
SavageEnduranceHeal.CheckBeginCast.InsuffiscientHealth:		Nu ai suficientă viață pentru a lansa această vrajă!

#AblativeArmorSpellHandler
AblativeArmor.Target:		Scutul tău absoarbe {0} daune.
AblativeArmor.Attacker:		Un scut absoarbe {0} din daunele tale!

#Amnesia
Amnesia.MessageToTarget:	Mintea ți se încurcă și uiți ce făceai!

# Petrify
Petrify.Target.Absorbs:		{0} este pietrificat și absoarbe {1} daune.
Petrify.Target.Resist:		{0} este pietrificat și imun la această vrajă.
Petrify.Self.Message:		{0} este pietrificat.
Petrify.Self.Absorb:		Ești pietrificat și absoarbe {0} daune.
Petrify.Self.Unpetrify:		Revii la starea normală.

# Damnation
Damnation.Self.Message:			Ținta ta este osândită.
Damnation.Self.Message2:		Încă nu știi, dar ești deja mort!
Damnation.Target.Resist:		{0} este osândit și imun la această vrajă.
Damnation.Self.Absorb:			Ești osândit și absoarbe {0} daune!
Damnation.Target.Absorbs:		{0} este osândit și absoarbe {1} daune.
Damnation.Self.SpellAbsorb:		Osânda ta îți permite să absorbi {0} daune magice datorită echipamentului.
Damnation.Target.SpellAbsorbs:	Osânda lui {0} absoarbe {1} daune magice datorită echipamentului.
Damnation.Self.Resist:			Ești osândit și reziști vrăjii.
Damnation.Target.Resist:		{0} este osândit și reziști vrăjii.
Damnation.Kill.SelfHeal:		Cadavrul inamicului te revitalizează cu {0} viață!
Damnation.Kill.DurationExtended:	Existența ta osândită este extinsă cu {0} s luând o altă suflet, dar sfârșitul este inevitabil.
Damnation.Self.CannotBeHealed:	Ești osândit și nu poți fi vindecat!

# Adrenaline
Adrenaline.Target.Immune:		{0} este în Febra de Luptă și rezistă complet!
Adrenaline.Target.Absorbs:		Ținta ta absoarbe {0} daune din atacul tău.
Adrenaline.Self.Immune:			Febra ta de Luptă te protejează de această vrajă!
Adrenaline.Self.Absorb:			Absoarbe {0} daune din vrajă!

# DebuffImmunity
DebuffImmunity.You.Resisted:			Reziști datorită imunității la debuff-uri!
DebuffImmunity.Target.Resisted:			{0} reziști datorită imunității la debuff-uri!

# HealDebuff
HealDebuffSpellHandler.EffectStart.Target:		Eficiența vindecărilor primite este redusă din cauza {0}.
HealDebuffSpellHandler.EffectStart.Area:		Eficiența vindecărilor primite de {0} este redusă din cauza {1}.
HealDebuffSpellHandler.EffectExpires.Target:	Eficiența vindecărilor revine la normal.
HealDebuffSpellHandler.EffectExpires.Area:		Eficiența vindecărilor lui {0} revine la normal.

# NecroSummonWeapon
Spells.NecroSumonWeap.Icebrand.You:				Chemezi sabia Icebrand.
Spells.NecroSumonWeap.Icebrand.Target:			{0} cheamă sabia Icebrand.
Spells.NecroSumonWeap.Nethersbane.You:			Chemezi sabia Nethersbane.
Spells.NecroSumonWeap.Nethersbane.Target:		{0} cheamă sabia Nethersbane.

# StyleHandler
StyleHandler.StyleNotFound:						Stil de luptă negăsit.
StyleHandler.UseStyle:							Folosești stilul {0} pentru atacurile tale.
StyleHandler.NeedsRequirement:					Necesită {0} pentru a executa acest stil.
StyleHandler.NeedsWeapon:						Ai nevoie de {0} pentru a executa acest stil.
StyleHandler.AllWeaponTypes:					Toate tipurile de arme sunt compatibile cu acest stil.
StyleHandler.UnknownWeaponType:					Tip de armă necesar necunoscut.
StyleHandler.StyleNotImplemented:				Acest stil nu este încă implementat!
StyleHandler.Opening.DefensiveActionUsing:		o acțiune defensivă folosind {0}
StyleHandler.Opening.DefensiveAction:			o acțiune defensivă
StyleHandler.Opening.Positional.Back:			să fii în spatele inamicului
StyleHandler.Opening.Positional.Side:			să fii în lateralul inamicului
StyleHandler.Opening.Positional.Front:			să fii în fața inamicului
StyleHandler.Opening.Positional.Specific:		o poziție specifică față de inamic
StyleHandler.Opening.Default:					o condiție specială de deschidere

