# DelveInfo
DelveInfo.CastingTime:					Zauberzeit: {0}
SpellDescription.BainsheePulseDmg.AreaDescription:		Der Zauber betrifft alle Feinde im unmittelbaren Radius des Zaubernden.
SpellDescription.BainsheePulseDmg.SecondaryDescription:	Erneutes Wirken während der Wirkung hebt diese auf. Sie endet, wenn sich der Zaubernde bewegt.
SpellDescription.BeFriend.MainDescriptionArea:			Bezaubert Monster im Radius des Zaubernden vorübergehend (bis Stufe {0}), macht sie freundlich und lässt sie als Verbündete handeln.
SpellDescription.BeFriend.MainDescriptionSingle:		Bezaubert das anvisierte Monster vorübergehend (bis Stufe {0}), macht es freundlich und lässt es als Verbündeten handeln.
SpellDescription.VampiirStealthDetection.MainDescription:	Erhöht die Fähigkeit des Ziels, getarnte Feinde zu entdecken, um {0}%.
SpellDescription.VampiirSkillBonusDeBuff.MainDescription:	Schwächt die Fertigkeitsboni des Ziels vorübergehend um {0}%.
SpellDescription.VampiirMeleeResistance.MainDescription:	Erhöht die Nahkampfresistenzen des Ziels um {0}%.
SpellDescription.VampiirMagicResistance.MainDescription:	Erhöht die Widerstandschance des Ziels gegen magischen Schaden um {0}%.
SpellDescription.VampiirEffectivenessDeBuff.MainDescription:	Verringert die Effektivität des Ziels vorübergehend um {0}%.
SpellDescription.VampiirEffectivenessDeBuff.CombatCastable:		Im Kampf wirkbar.
SpellDescription.VampiirArmorDebuff.MainDescription:		Verringert vorübergehend die Absorption und den Rüstungsfaktor eines zufälligen Rüstungsteils des Ziels um {0}%.
SpellDescription.VampiirArmorDebuff.AdditionalInfo:			Betroffen sind nur Helm, Torso oder Beine des Ziels.
SpellDescription.VampiirBolt.MainDescription:			Saugt {0}% des Manas des Ziels ab und gibt es an den Zaubernden zurück.
SpellDescription.VampiirBolt.MainDescription2:			Wirkt nicht auf Gegner über Stufe {0}.
SpellDescription.IllusionBlade.Part1:					Beschwört eine spektrale Waffe, die kurzzeitig an eurer Seite kämpft, bevor sie verschwindet.
SpellDescription.IllusionBlade.Part2:					Die Klinge agiert eigenständig und kann nicht kontrolliert, freigelassen oder geheilt werden.
SpellDescription.RangeShield.MainDescription:			Schützt die Gruppe des Zaubernden vor physischen Bogenschützenangriffen.
SpellDescription.PetSpell.MainDescription1:				Begleiterzauber:
SpellDescription.PetSpell.MainDescription2:				Erhöht die aufgelisteten Werte des Ziels.
SpellDescription.Ascendance.MainDescription:			Erhöht die Wirksamkeit eurer Zauber und Fähigkeiten erheblich um {0}%.
SpellDescription.Ascendance.Restrictions:				Solange „Aufstieg“ aktiv ist, könnt ihr keine Heil‑ oder Wiederbelebungszauber wirken.
SpellDescription.Ascendance.Interaction:				Die Nutzung von „Meister der Konzentration“ hebt „Aufstieg“ auf und umgekehrt.  
SpellDescription.Occultist.ConditionDescription1:		Nicht in der Chthonischen Form wirkbar.
SpellDescription.Occultist.ConditionDescription2:		Nicht in der Geist‑ oder Derangierten Form wirkbar.
SpellDescription.Occultist.Summon.UmbralAegis1:			Ruft einen Gepanzerten Ägide zu euren Diensten. Dieser Dämon glänzt im Provozieren und Einstecken von Schaden.
SpellDescription.Occultist.Summon.UmbralAegis2:			Geist‑Form: Die Geist‑Ägide erhält einen Direktschaden‑Effekt im 200‑Radius, verstärkte Rüstung, magische Absorption und erhöhte Kampfgeschwindigkeit.
SpellDescription.Occultist.Summon.Soultorn1:			Ruft eine Zerrissene Seele zu euren Diensten. Dieser Diener verursacht mit Materiemagie Schaden, ist aber sehr anfällig für magische und physische Angriffe.
SpellDescription.Occultist.Summon.Soultorn2:			Geist‑Form: Die Zerrissene Seele wirkt zusätzlich Materie‑Debuff und Krankheiten.
SpellDescription.Occultist.Summon.UmbralHulk1:			Lässt einen Gepanzerten Unhold zu euren Diensten erscheinen. Dieser Dämon ist auf physische Angriffe spezialisiert.
SpellDescription.Occultist.Summon.UmbralHulk2:			Geist‑Form: Der Gepanzerte Koloss erhält eine 5‑Sekunden‑Sturmangriff, einen 3‑Sekunden‑Rücken‑Betäubungsangriff und eine erhöhte Chance, mit der Nebenhand zu treffen.
SpellDescription.Occultist.Summon.ImageOfArawn1:		Ruft einen ergebenen Priester Arawns zu euren Diensten. Dieser passive Diener unterstützt die Gruppe seines Meisters mit Einzelheilungen von 12%.
SpellDescription.Occultist.Summon.ImageOfArawn2:		Geist‑Form: Das Abbild Arawns erhält zusätzliche Zauber, um Gift, Krankheiten und Wiederbelebungskrankheit zu heilen und kann Kurzsichtigkeit bannen.  
SpellDescription.Occultist.Summon.SuccubusArchDemon1:	Ruft eine dämonische Sukkubus zu euren Diensten. Die Sukkubus hypnotisiert ihr Ziel.
SpellDescription.Occultist.Summon.SuccubusArchDemon2:	Geist‑Form: Der Erz‑Dämon erhält einen starken Dex/Qui‑Debuff und kann Kurzsichtigkeit bannen.
SpellDescription.Occultist.SpiritShapeShift1:			Nehmt die Form eines geisterhaften Wesens an. {0}% des erlittenen Schadens werden absorbiert und in Mana umgewandelt.
SpellDescription.Occultist.SpiritShapeShift2:			Eure Manaregeneration steigt pro Stufe um {0}, während eure Entdeckung getarnter Feinde um {1}% zunimmt.
SpellDescription.Occultist.SpiritShapeShift3:			Eure Diener werden ebenfalls robuster und erhalten zusätzliche Fähigkeiten.
SpellDescription.Occultist.ChtonicShapeShift1:			Verkörpert einen Chthonischen Ritter. Euer Rüstungsfaktor steigt pro Stufe um {0}. Eure Gesundheit, euer Rüstungsfaktor und eure Waffenfertigkeiten erhöhen sich jeweils um {1}%, eure Nahkampfabsorption um {2}% und eure sekundären magischen Resistenzen um {3}%.  
SpellDescription.Occultist.ChtonicShapeShift2:			Ihr erhaltet außerdem die Fähigkeit, Angriffe zu parieren.
SpellDescription.Occultist.DecrepitShapeShift1:			Verkörpert einen Verfallenen Magier. Euer Magieschaden ist um {0}% erhöht.
SpellDescription.Occultist.DecrepitShapeShift2:			Eure Rüstungsabsorption ist um {0}% erhöht.
SpellDescription.Occultist.DecrepitShapeShift3:			Nahkampfangreifer haben {0}% Chance, bei einem Treffer mit Krankheit belegt zu werden, und euer verrottendes Fleisch regeneriert sich, wodurch die Lebensregeneration um {1} steigt.
SpellDescription.Occultist.BringerOfDeath1:				Verkörpert den Todesbringer. Eure Zauber können nicht unterbrochen werden, erreichen jedoch nur {0}% ihrer Stärke, und ihr erleidet {1}% weniger Schaden, egal ob magisch oder physisch.
SpellDescription.Occultist.BringerOfDeath2:				Eure Bewegungsgeschwindigkeit erhöht sich um {0}%, auch in Speedwarps oder im Kampf. Zusätzlich sind alle Regenerationsboni und der Krankheits‑Effekt der Verfallenen Form aktiv.
SpellDescription.DamageReturn.MainDescription:			Leitet {0}% direkten Magieschaden (außer DoTs), Nahkampf‑ und Bogenschadens in {1} auf den Angreifer zurück, solange der Effekt aktiv ist.
SpellDescription.OffProcShear.Main1:					Entfernt aktive Offensiv‑Procs vom Ziel.
SpellDescription.OffProcShear.Main2:					Wendet einen verfluchten Ersatz‑Proc an, dessen Unterzauber die Feinde des Ziels bei deren Treffern heilt.
SpellDescription.OffProcShear.ReplacementHeader:		Ersatz‑Proc:


# ML Spells ShortDescriptions
SpellDescription.Convoker.SummonWood.MainDescription:			Beschwört und erzeugt zufällig 100 Holzbretter zur Verbesserung und Reparatur von Burgtoren und -mauern.
SpellDescription.Convoker.PrescienceNode.MainDescription1:		Am Boden platzierte Rune (Radius 1000), die getarnte Feinde aufdeckt, ohne ihre Unsichtbarkeit aufzuheben.
SpellDescription.Convoker.PrescienceNode.MainDescription2:		Die Präsenz‑Rune kann angegriffen werden und besitzt {0} Lebenspunkte.
SpellDescription.Convoker.Prescience.MainDescription1:			Ihr wurdet von einer Präsenz‑Rune entdeckt!
SpellDescription.Convoker.Prescience.MainDescription2:			Gewährt euch präkognitive Fähigkeiten, um feindliche Bewegungen besser vorherzusehen.
SpellDescription.Convoker.PowerTrap.MainDescription:			Setzt eine Rune, die bei Detonation 20% des Manas von Feinden entzieht (wirkt nur auf Feinde mit Manavorrat).
SpellDescription.Convoker.SpeedWrap.MainDescription:			Am Boden platzierte Rune, die die Effekte von Geschwindigkeitssteigerungen für Feinde aufhebt, die sie durchqueren. Betroffene können 6 Sekunden nach Verlassen des Leuchtfeuerradius keine Geschwindigkeitszauber erhalten.
SpellDescription.Convoker.SummonWarcrystal.MainDescription:		Beschwört und legt mächtige Belagerungsmunition (Schrot, Kugeln, Eis oder Katapultsteine) ins Inventar.
SpellDescription.Convoker.Battlewarder.MainDescription1:		Ein Schlachtwächter wird beschworen, um feindliche Angriffe abzufangen. Bleibt unbeweglich und verbraucht Mana, solange er aktiv ist.
SpellDescription.Convoker.Battlewarder.MainDescription2:		Bodenziel‑Zauber. Mehrere Schlachtwächter können gleichzeitig mit anderen Begleitern aktiv sein; es können mehrere Wächter zugleich beschworen werden.
SpellDescription.Convoker.DissonanceTrap.MainDescription:		Setzt eine Dissonanz‑Rune, die bei Detonation {0} {1} an Feinden verursacht.
SpellDescription.Convoker.BrittleGuard.MainDescription1:		Erscheinen lässt einen „Zerbrechlichen Wächter“, der einen Nahkampfangriff für euch blockieren kann.
SpellDescription.Convoker.BrittleGuard.MainDescription2:		Der Zerbrechliche Wächter hat nur einen Lebenspunkt und stirbt nach dem Abfangen eines Treffers. Es kann nur einer gleichzeitig aktiv sein.
SpellDescription.Convoker.SummonMastery.MainDescription:		Erhöht die effektive Stufe eurer Begleiter und verbessert ihren Nahkampfschaden sowie ihre Rüstungsabsorption.
SpellDescription.Convoker.SummonTitan.MainDescription1:			Beschwört einen Titanen, der an Größe und Macht zunimmt und Feinde mit kolossaler Kraft trifft.
SpellDescription.Convoker.SummonTitan.MainDescription2:			Der Titan bleibt unbeweglich und greift nur Feinde in Nahkampfreichweite an.
SpellDescription.Spymaster.Decoy.MainDescription:				Beschwört einen Verbündeten in epischer Kleidung mit einem einzigen Lebenspunkt und ohne offensive Fähigkeiten, um Feinde abzulenken.
SpellDescription.Spymaster.Sabotage.MainDescription:			Sabotiert ein Ziel, sei es eine Rune oder ein Belagerungsgerät, und macht es unbrauchbar.
SpellDescription.Spymaster.TangleSnare.MainDescription:			Setzt eine Rune, die Feinde in ihrem Radius bei Detonation um {0}% verlangsamt. Bricht die Tarnung, wenn verwendet.
SpellDescription.Spymaster.PoisonSpike.MainDescription:			Setzt eine giftige Rune, die bei Detonation {0} {1} an nahen Feinden verursacht. Bricht die Tarnung.
SpellDescription.Spymaster.Loockout.MainDescription1:			Ein stationärer Späher deckt getarnte Feinde in einem Radius von {0} auf. Er selbst bleibt verborgen, solange er sich nicht bewegt.
SpellDescription.Spymaster.Loockout.MainDescription2:			Das Ziel des Spähers muss sitzend und unbeweglich sein. Bewegt es sich, endet der Effekt und die normale Tarnentdeckung gilt.
SpellDescription.Spymaster.SiegeWrecker.MainDescription1:		Rune, die bei Detonation massiven Schaden an Belagerungsgeräten verursacht.
SpellDescription.Spymaster.SiegeWrecker.MainDescription2:		Die Rune verursacht bei Aktivierung {0} Schaden.
SpellDescription.Spymaster.EssenceFlare.MainDescription:		Träufelt ein Gift auf, das Feinde 15 Sekunden in einen Dämmerzustand versetzt.
SpellDescription.Spymaster.BlanketOfCamouflage.MainDescription:	Tarnt eure Gruppe. Bewegung, Zaubern oder Singen hebt den Effekt für nicht‑getarnte Mitglieder auf.
SpellDescription.Battlemaster.MLEndudrain.MainDescription:		Entzieht nahen Feinden {0} Ausdauer.
SpellDescription.Battlemaster.KeepDamageBuff.MainDescription:	Gewährt {0}% Bonusschaden gegen Belagerungsgeräte und Festungsstrukturen.
SpellDescription.Battlemaster.MLManadrain.MainDescription:		Entzieht nahen Feinden {0} Mana.
SpellDescription.Battlemaster.Grapple.MainDescription1:			Kurzreichweiten‑Effekt auf einen Feind, der ihn {0} Sekunden bindet und alle Effekte annulliert.
SpellDescription.Battlemaster.Grapple.MainDescription2:			Fixiert das Ziel; es kann sich nicht bewegen oder Nahkampfangriffe nutzen, aber 10 Sekunden lang weiterhin zaubern und singen.
SpellDescription.Battlemaster.Grapple.MainDescription3:			Das fixierte Ziel kann nicht im Nahkampf angegriffen werden.
SpellDescription.Battlemaster.EssenceFlamesProc.MainDescription:	Gewährt {0}% Chance, bei Nahkampfangriffen zusätzlichen Essenzschaden auszulösen.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription1:		Fernangriff, der Nahkampfschadensformeln verwendet.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription2:		Nahkampfangriffe sind 10 Sekunden nach diesem Zauber deaktiviert.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription1:	Verringert die Resistenz naher Feinde gegen Essenzschaden um {0}%.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription2:	Verringert die Resistenz des Ziels gegen Essenzschaden um {0}%.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription1:	Schützt einen nahen Verbündeten vor Nahkampfangriffen. Der Verbündete kann nicht anvisiert werden, solange der Beschützer lebt oder in Reichweite bleibt.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription2:	Der Schutz bleibt nur aktiv, wenn das geschützte Ziel unbeweglich bleibt.
SpellDescription.Battlemaster.EssenceDampenHandler.MainDescription:	Verringert die Beweglichkeit des Ziels um {0}%.
SpellDescription.Banelord.CastingSpeedDebuff.MainDescription:		Verringert die Zaubergeschwindigkeit der Feinde um {0}%.
SpellDescription.Banelord.PBAEDamage.ML2.MainDescription:		Verringert Mana, Gesundheit und Ausdauer der Feinde im Wirkungsbereich um {0}%.
SpellDescription.Banelord.PBAEDamage.ML8.MainDescription:		Verringert Mana, Gesundheit und Ausdauer der Feinde im Wirkungsbereich um {0}%, kostet euch jedoch {1}% eurer eigenen Gesundheit.
SpellDescription.Banelord.Oppression.MainDescription:			Verringert die maximale Traglast naher Feinde um {0}%.
SpellDescription.Banelord.FatDebuff.MainDescription:			Erhöht den Ausdauerverbrauch feindlicher Angriffe um {0}%.
SpellDescription.Banelord.MissHit.MainDescription:				Verringert die Trefferchance naher Feinde um {0}%.
SpellDescription.Banelord.MLUnbreakableSnare.MainDescription:	Flächenverlangsamung mit kurzer Reichweite, die Feinde um {0}% verlangsamt, aber auch den Anwender betäubt.
SpellDescription.Banelord.UnrresistableNonImunityStun.MainDescription:		Das Ziel ist {0} Sekunden betäubt und kann keine Aktionen ausführen.
SpellDescription.Banelord.ToHitBuff.MainDescription:			Flächeneffekt, der die Trefferchance von Verbündeten um {0}% erhöht.
SpellDescription.Banelord.EffectivenessDeBuff.MainDescription:	Flächeneffekt, der die Effektivität der Feinde zur Bestimmung der Schadensvarianz von Zaubern und Nahkampf um {0}% senkt.
SpellDescription.Banelord.Banespike.MainDescription:			Erhöht den Schaden naher Verbündeter um {0}%.
SpellDescription.Banelord.NbTargetAffected.MainDescription:		Bis zu {0} Feinde können getroffen werden.
SpellDescription.Perfector.FOH.MainDescription1:				Erschafft eine Sphäre zu Füßen des Zaubernden, die die Gesundheit von Verbündeten um {0} über Zeit wiederherstellt. Bis zu 40 nahe Verbündete können gleichzeitig geheilt werden.
SpellDescription.Perfector.FOH.MainDescription2:				Im PvE zieht die Heilsphäre die Aufmerksamkeit der Feinde auf den Zaubernden.
SpellDescription.Perfector.FOP.MainDescription1:				Erschafft eine Sphäre zu Füßen des Zaubernden, die die Mana von Verbündeten um {0} über Zeit regeneriert. Bis zu 40 nahe Verbündete können gleichzeitig regeneriert werden.
SpellDescription.Perfector.FOP.MainDescription2:				Verbündete, die in den letzten 10 Sekunden im PvE gekämpft haben, werden nicht von der Sphäre betroffen.
SpellDescription.Perfector.FOR.MainDescription:					Rune, die die Wirkung von Kontrollzaubern auf nahe Verbündete um {0}% reduziert.
SpellDescription.Perfector.SickHeal.MainDescription:			Erlaubt dem Ziel, Effekte im Zusammenhang mit der Wiederbelebung zu überwinden.
SpellDescription.Perfector.FOD.MainDescription:					Schutzrune, die {0}% Mana von Feinden in ihrem Radius entzieht.
SpellDescription.Perfector.PoT.MainDescription:					Anhaltende Regeneration, die das pro Tick gewährte Mana um {0}% erhöht.
SpellDescription.Perfector.CCResist.MainDescription:			Erhöht euren Widerstand gegen Kontroll­effekte um {0} Sekunden.
SpellDescription.Warlord.PBAEHeal.ML2.MainDescription:			Flächeneffekt, der Gesundheit, Mana und Ausdauer naher Verbündeter um {0}% ihres Maximums regeneriert.
SpellDescription.Warlord.PBAEHeal.ML8.MainDescription:			Heilt das Ziel um 1000 Lebenspunkte auf Kosten von {0}% der Gesundheit des Zaubernden.
SpellDescription.Warlord.CoweringBellow.MainDescription:		Schreckt alle kontrollierten feindlichen Begleiter in einem Radius von {0} und verringert ihre Kampfeffektivität.
SpellDescription.Warlord.Critical.MainDescription1:				Erhöht für die nächste Attacke die Kritchance der Verbündeten eurer {0} um {1}%.
SpellDescription.Warlord.Critical.MainDescription2:				Erhöht die Kritchance des Ziels für seine nächste Attacke um {0}%.
SpellDescription.Warlord.CleansingAura.MainDescription1:		Verringert die Wirksamkeit von DoTs auf Verbündete in einem Radius von {0} um {1}%. Fällt der Schaden auf null, wird der Effekt aufgehoben.
SpellDescription.Warlord.CleansingAura.MainDescription2:		Verringert die Wirksamkeit von DoTs auf dem Ziel um {0}%. Fällt der Schaden auf null, wird der Effekt aufgehoben.
SpellDescription.Warlord.EffectivenessBuff.MainDescription1:	Erhöht die Effektivität von Verbündeten in {0} Reichweite um {1}% für Zauberschaden und Nahkampfangriffe.
SpellDescription.Warlord.EffectivenessBuff.MainDescription2:	Erhöht die Effektivität des Ziels um {1}% für Zauberschaden und Nahkampfangriffe.
SpellDescription.Warlord.MLABSBuff.MainDescription1:			Erhöht die Rüstungsabsorption von Verbündeten in einem Radius von {0} um {1}%.
SpellDescription.Warlord.MLABSBuff.MainDescription2:			Erhöht die Rüstungsabsorption des Ziels um {1}%.
SpellDescription.Sojourner.UnmakeCrystalseed.MainDescription:	Zerstört die anvisierte Rune und benachbarte Runen im Radius von {0}.
SpellDescription.Sojourner.AncientTransmuter.MainDescription:	Beschwört einen Händler, bei dem man grundlegende Vorräte kaufen und verkaufen kann.
SpellDescription.Sojourner.Port.MainDescription1:				Teleportiert zu eurem Seelenstein. Funktioniert nicht im Kampf oder in RvR‑Zonen.
SpellDescription.Sojourner.Port.MainDescription2:				Teleportiert {0} Spieler in einem Radius von {1} zu ihrem Seelenstein. Funktioniert nicht im Kampf oder in RvR.
SpellDescription.Sojourner.EssenceResist.MainDescription:		Erhöht die Resistenz des Ziels gegen natürlichen (Essenz‑)Schaden um {0}%.
SpellDescription.Sojourner.Zephyr.MainDescription1:				Beschwört einen Windstoß, der einen gewählten Feind in eine zufällige Richtung trägt und ihn währenddessen unverwundbar macht.
SpellDescription.Sojourner.Zephyr.MainDescription2:				Ein vom Zephyr erfasster Spieler ist für die nächsten {0} Minuten gegen diesen Effekt immun.
SpellDescription.Sojourner.Phaseshift.MainDescription:			Persönliche Verbesserung, die euch für {0} Sekunden nahezu unverwundbar gegen Zauber und Nahkampf macht.
SpellDescription.Sojourner.Groupport.MainDescription:			Bringt eure gesamte Gruppe zu eurem Seelenstein zurück. Befindet sich ein Gruppenmitglied im Kampf, schlägt der Zauber fehl.
SpellDescription.Stormlord.DazzlingArray.MainDescription1:		Wendet einen Effekt an, der die Trefferchance der Feinde in der Zone um {0}% verringert.
SpellDescription.Stormlord.DazzlingArray.MainDescription2:		Gilt nur für Betäubungszauber und schließt Reichsfähigkeiten sowie Nahkampf‑Stile aus.
SpellDescription.Stormlord.StormMissHit.MainDescription:		Verringert die Genauigkeit des Ziels um {0}%.
SpellDescription.Stormlord.VacuumVortex.MainDescription:		Zielgerichteter Bodeneffekt, der nahe Stürme zu einem zufälligen Punkt am Rand des Wirbels versetzt.
SpellDescription.Stormlord.EnervatingGas.MainDescription:		Emittiert ein Gas, das die Ausdauer der Feinde in seinem Wirkungsbereich um {0}% verringert.
SpellDescription.Stormlord.StormEndudrain.MainDescription:		Sturm, der {0} Ausdauer von Feinden entzieht, die sich darin aufhalten.
SpellDescription.Stormlord.InebriatingFumes.MainDescription:	Verringert schrittweise Geschicklichkeit und Schnelligkeit der im Rauch befindlichen Feinde um {0}%.
SpellDescription.Stormlord.StormDexQuickDebuff.MainDescription:	Verringert die Geschicklichkeit und Schnelligkeit des Ziels um {0}%.
SpellDescription.Stormlord.MentalSiphon.MainDescription:		Sturm, der {0} Mana von Feinden absaugt, die darin stehen.
SpellDescription.Stormlord.PowerDrainStorm.MainDescription:		Entzieht dem Ziel {0} Mana.
SpellDescription.Stormlord.FocusingWinds.MainDescription:		Lässt einen befreundeten Sturm entstehen und fixiert ihn. Der Effekt endet, wenn ihr euch bewegt.
SpellDescription.Stormlord.ChokingVapors.MainDescription:		Verringert schrittweise Stärke und Konstitution der im Rauch befindlichen Feinde um {0}%.
SpellDescription.Stormlord.StormStrConstDebuff.MainDescription:	Verringert die Stärke und Konstitution des Ziels um {0}%.
SpellDescription.Stormlord.SenseDullingCloud.MainDescription:	Sturm, der Dämpfe freisetzt und die Klarsicht von Feinden darin um {0}% reduziert.
SpellDescription.Stormlord.StormAcuityDebuff.MainDescription:	Verringert die Klarsicht des Ziels um {0}%.
SpellDescription.Stormlord.EnergyTempest.MainDescription:		Sturm, der Essenzschaden an Feinden verursacht, die sich darin aufhalten.
SpellDescription.Stormlord.StormEnergyTempest.MainDescription:	Verursacht einen Sturm, der über {2} Sekunden {0} {1} an Feinden verursacht.
SpellDescription.MLBase.TargetModifier.MainDescription:			Persönliche Verbesserung, die es erlaubt, den Radius eures nächsten Einzel‑ oder Flächenzaubers zu modifizieren oder zu erweitern.
SpellDescription.MLBase.BanelordSnare.MainDescription:			Flächenverlangsamung mit kurzer Reichweite, die nahe Feinde um {0}% verlangsamt, den Anwender jedoch betäubt.

# AblativeArmor
AblativeArmor.DelveInfo.Function:			Wirkung: Nahkampf-Trefferpunktpuffer
AblativeArmor.DelveInfo.Absorption1:			Absorption: {0}%
AblativeArmor.DelveInfo.Absorption2:			Absorption: 100%
AblativeArmor.DelveInfo.Absorption3:			Absorption: 25%
AblativeArmor.DelveInfo.CastingTime:			Sofort

# DamageSpeedDecrease
DamageSpeedDecrease.DelveInfo.Decrease:			Geschwindigkeitsabzug: {0}%
DamageSpeedDecrease.DelveInfo.Function:			Wirkung: Schaden/Verringert Geschwindigkeit

# ResistDebuff
ResistDebuff.DelveInfo.Decrease:			Resistenz herabgesetzt ({0}): {1}
ResistDebuff.DelveInfo.Function:			Wirkung: Weniger Resistenz

#CharmSpellHandler
CharmSpellHandler.DelveInfo.Function:			Wirkung: {0}
CharmSpellHandler.Species.Humanoid:				Humanoid
CharmSpellHandler.Species.Animal:				Tierisch
CharmSpellHandler.Species.Insect:				Insektoid
CharmSpellHandler.Species.Reptile:				Reptil
CharmSpellHandler.Species.HumanoidAnimal:		Humanoid oder Tierisch
CharmSpellHandler.Species.HumanoidAnimalInsect:					Humanoid, Tierisch und Insektoid
CharmSpellHandler.Species.HumanoidAnimalInsectMagical:			Humanoid, Tierisch, Insektoid und Magisch
CharmSpellHandler.Species.HumanoidAnimalInsectMagicalUndead:	Humanoid, Tierisch, Insektoid, Magisch und Untot

#IllusionSpell SpellHandler
IllusionSpell.Arrangement.Random:		zufällig
IllusionSpell.Arrangement.Circle:		im Kreis
IllusionSpell.Arrangement.Line:			in einer Linie

#WarlockSpeedDecrease SpellHandler Appearances
WarlockSpeedDecrease.Appearance.Frog:			Frosch
WarlockSpeedDecrease.Appearance.Worm:			Wurm
WarlockSpeedDecrease.Appearance.Lizard:			Eidechse
WarlockSpeedDecrease.Appearance.Wisp:			Geisterlicht
WarlockSpeedDecrease.Appearance.Fairy:			Fee
WarlockSpeedDecrease.Appearance.Scarab:			Skarabäus
WarlockSpeedDecrease.Appearance.Spider:			Spinne
WarlockSpeedDecrease.Appearance.Cyclop:			Zyklop
WarlockSpeedDecrease.Appearance.Mantis:			Gottesanbeterin
WarlockSpeedDecrease.Appearance.Flame:			Irrlicht
WarlockSpeedDecrease.Appearance.Bird:			Schwalbe
WarlockSpeedDecrease.Appearance.Simulacrum:		Trugbild

# DamageAddAndShield
DamageAddAndShield.EventHandlerDA.DamageToYou:		{0} fügt Euch {1} Punkte zusätzlichen Schaden zu!
DamageAddAndShield.EventHandlerDA.YouHitExtra:		Ihr treff und {0} erleidet {1} Punkte zusätzlichen Schaden!
DamageAddAndShield.EventHandlerDA.YouHitFor:		Ihr trefft und {0} erleidet {1} Punkte Schaden!
DamageAddAndShield.EventHandlerDA.YourHitFor:		{0} trifft und {1} erleidet {2} Punkte Schaden!
DamageAddAndShield.EventHandlerDS.DamageToYou:		{0} fügt Euch {1} Punkte zusätzlichen Schaden zu!
DamageAddAndShield.EventHandlerDS.YouHitFor:		Ihr trefft und {0} erleidet {1} Punkte Schaden!
DamageAddAndShield.EventHandlerDS.YourHitFor:		{0} trifft und {1} erleidet {2} Punkte Schaden!

# DirectDamageDebuffSpellHandler
DirectDamageDebuffSpellHandler.DelveInfo.Decrease:	Resistenz vermindert ({0}): {1}%
DirectDamageDebuffSpellHandler.DelveInfo.Function:	Wirkung: dmg w/resist decrease

# DoTSpellHandler
DoTSpellHandler.SendDamageMessages.YouHitFor:		Ihr trefft und {0} erleidet {1} Punkte Schaden!
DoTSpellHandler.SendDamageMessages.YourCriticallyHits:	{0} trifft kritisch und {1} erleidet {2} Punkte zusätzlichen Schaden!
DoTSpellHandler.SendDamageMessages.YourHitsFor:		{0} trifft und {1} erleidet {2} Punkte zusätzlichen Schaden!

# NearsightSpellHandler
NearsightSpellHandler.DelveInfo.Function:		Wirkung: {0}

# ProcSpellHandler
ProcSpellHandler.DelveInfo.Function:			Wirkung: {0}

Summon.CheckBeginCast.AlreadyHaveaPet:			Ihr habt doch schon ein Wesen unter Eurer Kontrolle ... lasst das erst frei!

# SummonCommanderPet
SummonCommanderPet.CheckBeginCast.Text:			Ihr seid schon ein Schatten!
SummonCommanderPet.DelveInfo.Text1:			Funktion: Schatten herbei rufen
SummonCommanderPet.DelveInfo.Text2:			Ruft ein untotes Wesen herbei, um den Zauberer zu beschützen. Der Zauberer verwandelt sich in einen Schatten und agiert nur noch durch das Wesen.
SummonCommanderPet.DelveInfo.Text3:			Ziel: {0}
SummonCommanderPet.DelveInfo.Text4:			Manakosten: {0}%
SummonCommanderPet.DelveInfo.Text5:			Zauberzeit: {0}

#SummonMinionHandler
SummonMinionHandler.CheckBeginCast.Text1:		Ihr müsst eines der Anführer-Monster kontrollieren, um der Gruppe weitere Monster hinzuzufügen!
SummonMinionHandler.CheckBeginCast.Text2:		Euer Anführer hat schon seine maximale Anzahl an Gefolgsleuten erreicht!
SummonMinionHandler.DelveInfo.Text1:			Ziel: {0}
SummonMinionHandler.DelveInfo.Text2:			Magiekraftkosten: {0}%
SummonMinionHandler.DelveInfo.Text3:			Zauberzeit: {0}

#PetPBAOE
PetPBAOE.CheckBeginCast.NoPet:				Dieser Zauberspruch kann nur auf ein kontrolliertes Wesen angewendet werden!

#SummonAnimistFnF
SummonAnimistFnF.CheckBeginCast.NoGroundTarget:			Ihr könnt keinen Hauptpilz rufen ohne vorher ein Bodenziel gesetzt zu haben!
SummonAnimistFnF.CheckBeginCast.TurretAreaCap:			Ihr könnt in diesem Bereich nicht noch mehr Pilze beschwören!
SummonAnimistFnF.CheckBeginCast.TurretPlayerCap:		Ihr könnt keine weiteren Pilze kontrollieren!

#SummonAnimistPet
SummonAnimistPet.CheckBeginCast.AlreadyHaveaPet:		Ihr habt doch schon ein Wesen unter Eurer Kontrolle ... lasst das erst frei!
SummonAnimistPet.CheckBeginCast.GroundTargetNull:		Ihr habt ein Bodenziel für diesen Zauberspruch gesetzt.
