# DelveInfo
DelveInfo.CastingTime:          Tiempo de lanzamiento: {0}
SpellDescription.Occultist.BringerOfDeath1:				Encarnas al Portador de la Muerte. Tus hechizos no se interrumpen pero funcionan al {0}% y recibes {1}% menos daño mágico y físico.
SpellDescription.Occultist.BringerOfDeath2:				Te mueves un {0}% más rápido, incluso en warps de velocidad o en combate. También están activos los bonos de regeneración y la enfermedad de la forma Decrépita.
SpellDescription.ArawnsLegion.MainDescription1:			Invoca a Arawn para conjurar su ejército maligno en el campo de batalla.
SpellDescription.ArawnsLegion.MainDescription2:			La legión ataca a todos los objetivos enemigos dentro del alcance (radio de {0}) durante {1} segundos.
SpellDescription.ArawnsLegion.MainDescription3:			Solo puedes controlar sirvientes en forma humana, en Forma Decrepit o en Forma Spirit.
SpellDescription.SummonMultiTemplatePets.MainDescription1:		Invoca una legión de sirvientes para ayudarte en el campo de batalla.
SpellDescription.DamageReturn.MainDescription:			Devuelve {0}% del daño directo mágico (no DoT), cuerpo a cuerpo y de proyectiles en {1} al atacante mientras dure.
SpellDescription.OffProcShear.Main1:					Elimina procs ofensivos activos del objetivo.
SpellDescription.OffProcShear.Main2:					Aplica un proc maldito de reemplazo cuyos subhechizos curan a los enemigos del objetivo cuando estos golpean.
SpellDescription.OffProcShear.ReplacementHeader:		Proc de reemplazo:


# ML Spells ShortDescriptions
SpellDescription.Convoker.SummonWood.MainDescription:			Invoca aleatoriamente 100 tablones para reforzar y reparar puertas y muros de fortalezas.
SpellDescription.Convoker.PrescienceNode.MainDescription1:		Runa colocada en el suelo (radio 1000) que detecta enemigos ocultos sin romper su invisibilidad.
SpellDescription.Convoker.PrescienceNode.MainDescription2:		La runa puede ser atacada y tiene {0} de salud.
SpellDescription.Convoker.Prescience.MainDescription1:			¡Una runa de presencia te ha detectado!
SpellDescription.Convoker.Prescience.MainDescription2:			Te otorga pre‑cognición para anticipar movimientos enemigos.
SpellDescription.Convoker.PowerTrap.MainDescription:			Coloca una runa que al detonar drena 20% del maná de los enemigos (solo a quienes tengan maná).
SpellDescription.Convoker.SpeedWrap.MainDescription:			Runa que anula aumentos de velocidad a los enemigos que la atraviesen. Durante 6 s tras salir del radio no pueden recibir hechizos de velocidad.
SpellDescription.Convoker.SummonWarcrystal.MainDescription:		Invoca y coloca munición de asedio (perdigones, bolas, hielo o rocas) en tu inventario.
SpellDescription.Convoker.Battlewarder.MainDescription1:		Invoca un Guardián de Batalla para interceptar ataques enemigos. Permanece inmóvil y consume maná mientras esté activo.
SpellDescription.Convoker.Battlewarder.MainDescription2:		Objetivo de suelo. Puede coexistir con otras mascotas; se pueden invocar varios guardianes.
SpellDescription.Convoker.DissonanceTrap.MainDescription:		Coloca una runa que al detonar inflige {0} de {1}.
SpellDescription.Convoker.BrittleGuard.MainDescription1:		Invoca un “Guardián Quebradizo” que puede bloquear un golpe cuerpo a cuerpo por ti.
SpellDescription.Convoker.BrittleGuard.MainDescription2:		Tiene un punto de vida y muere tras interceptar un golpe. Solo uno activo a la vez.
SpellDescription.Convoker.SummonMastery.MainDescription:		Aumenta el nivel efectivo de tus mascotas y mejora su daño y absorción.
SpellDescription.Convoker.SummonTitan.MainDescription1:			Invoca un Titán que crece en tamaño y poder y golpea con fuerza colosal.
SpellDescription.Convoker.SummonTitan.MainDescription2:			Permanecerá inmóvil y atacará solo a enemigos en alcance cuerpo a cuerpo.
SpellDescription.Spymaster.Decoy.MainDescription:				Invoca un aliado señuelo con equipo épico, 1 punto de vida y sin capacidades ofensivas para distraer.
SpellDescription.Spymaster.Sabotage.MainDescription:			Sabotea un objetivo (runa o máquina de asedio) dejándolo inutilizable.
SpellDescription.Spymaster.TangleSnare.MainDescription:			Coloca una runa que ralentiza a enemigos en su radio un {0}% al detonar. Rompe el sigilo al usarla.
SpellDescription.Spymaster.PoisonSpike.MainDescription:			Coloca una runa venenosa que inflige {0} de {1} a enemigos cercanos. Rompe el sigilo.
SpellDescription.Spymaster.Loockout.MainDescription1:			Un vigía estacionario detecta enemigos ocultos en {0} de radio. Permanece oculto si no se mueve.
SpellDescription.Spymaster.Loockout.MainDescription2:			El objetivo debe estar sentado e inmóvil; si se mueve, el efecto termina.
SpellDescription.Spymaster.SiegeWrecker.MainDescription1:		Runa que inflige gran daño a máquinas de asedio.
SpellDescription.Spymaster.SiegeWrecker.MainDescription2:		Inflige {0} de daño al activarse.
SpellDescription.Spymaster.EssenceFlare.MainDescription:		Aplica un veneno que deja a enemigos en penumbra 15 s.
SpellDescription.Spymaster.BlanketOfCamouflage.MainDescription:	Oculta a tu grupo. Moverse, lanzar o cantar cancela el efecto para miembros no ocultos.
SpellDescription.Battlemaster.MLEndudrain.MainDescription:		Drana {0} de aguante a enemigos cercanos.
SpellDescription.Battlemaster.KeepDamageBuff.MainDescription:	Otorga {0}% de daño extra a máquinas de asedio y estructuras.
SpellDescription.Battlemaster.MLManadrain.MainDescription:		Drana {0} de maná a enemigos cercanos.
SpellDescription.Battlemaster.Grapple.MainDescription1:			Efecto de corto alcance que inmoviliza {0} s y anula efectos.
SpellDescription.Battlemaster.Grapple.MainDescription2:			Fija al objetivo; no puede moverse ni usar ataques cuerpo a cuerpo, pero puede lanzar y cantar durante 10 s.
SpellDescription.Battlemaster.Grapple.MainDescription3:			Un objetivo fijado no puede ser atacado cuerpo a cuerpo.
SpellDescription.Battlemaster.EssenceFlamesProc.MainDescription:	Otorga {0}% de activar daño de esencia extra con ataques cuerpo a cuerpo.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription1:		Ataque a distancia que usa fórmulas de daño cuerpo a cuerpo.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription2:		Los ataques cuerpo a cuerpo quedan deshabilitados 10 s después.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription1:	Reduce la resistencia a esencia de enemigos cercanos un {0}%.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription2:	Reduce la resistencia a esencia del objetivo un {0}%.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription1:	Protege a un aliado cercano frente a ataques cuerpo a cuerpo. Mientras viva o esté en alcance, el aliado no puede ser fijado como objetivo.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription2:	El efecto solo se mantiene si el protegido permanece inmóvil.
SpellDescription.Battlemaster.EssenceDampenHandler.MainDescription:	Reduce la movilidad del objetivo un {0}%.
SpellDescription.Banelord.CastingSpeedDebuff.MainDescription:		Reduce la velocidad de lanzamiento de enemigos un {0}%.
SpellDescription.Banelord.PBAEDamage.ML2.MainDescription:		Reduce maná, salud y aguante de enemigos en área un {0}%.
SpellDescription.Banelord.PBAEDamage.ML8.MainDescription:		Reduce los recursos en área un {0}% y te cuesta {1}% de tu salud.
SpellDescription.Banelord.Oppression.MainDescription:			Reduce la capacidad de carga máxima de enemigos cercanos un {0}%.
SpellDescription.Banelord.FatDebuff.MainDescription:			Aumenta el consumo de aguante de ataques enemigos un {0}%.
SpellDescription.Banelord.MissHit.MainDescription:				Reduce la probabilidad de acierto de enemigos cercanos un {0}%.
SpellDescription.Banelord.MLUnbreakableSnare.MainDescription:	Área de corta distancia que ralentiza un {0}% y aturde al lanzador.
SpellDescription.Banelord.UnrresistableNonImunityStun.MainDescription:	Aturde {0} s e impide actuar.
SpellDescription.Banelord.ToHitBuff.MainDescription:			Aumenta la probabilidad de acierto de aliados cercanos un {0}%.
SpellDescription.Banelord.EffectivenessDeBuff.MainDescription:	Reduce la efectividad de enemigos (hechizos y cuerpo a cuerpo) un {0}%.
SpellDescription.Banelord.Banespike.MainDescription:			Aumenta el daño de aliados cercanos un {0}%.
SpellDescription.Banelord.NbTargetAffected.MainDescription:		Hasta {0} enemigos pueden verse afectados.
SpellDescription.Perfector.FOH.MainDescription1:				Crea una esfera a tus pies que restaura {0} de salud con el tiempo a aliados (hasta 40).
SpellDescription.Perfector.FOH.MainDescription2:				En PvE, atrae la atención de los enemigos hacia el lanzador.
SpellDescription.Perfector.FOP.MainDescription1:				Crea una esfera a tus pies que regenera {0} de maná con el tiempo a aliados (hasta 40).
SpellDescription.Perfector.FOP.MainDescription2:				Aliados que combatieron en los últimos 10 s en PvE no se benefician.
SpellDescription.Perfector.FOR.MainDescription:					Runa que reduce la duración de control sobre aliados cercanos un {0}%.
SpellDescription.Perfector.SickHeal.MainDescription:			Permite superar efectos relacionados con la resurrección.
SpellDescription.Perfector.FOD.MainDescription:					Runa defensiva que drena {0}% de maná a enemigos en su radio.
SpellDescription.Perfector.PoT.MainDescription:					Regeneración mantenida que aumenta el maná por tic en {0}%.
SpellDescription.Perfector.CCResist.MainDescription:			Aumenta tu resistencia a control durante {0} s.
SpellDescription.Warlord.PBAEHeal.ML2.MainDescription:			Área que regenera {0}% de salud, maná y aguante de aliados cercanos.
SpellDescription.Warlord.PBAEHeal.ML8.MainDescription:			Cura 1000 de salud al objetivo a costa de {0}% de tu vida.
SpellDescription.Warlord.CoweringBellow.MainDescription:		Asusta a mascotas enemigas controladas en {0} de radio y reduce su eficacia.
SpellDescription.Warlord.Critical.MainDescription1:				Aumenta en {1}% la probabilidad de crítico de los aliados de tu {0} para su siguiente ataque.
SpellDescription.Warlord.Critical.MainDescription2:				Aumenta en {0}% la probabilidad de crítico del objetivo para su siguiente ataque.
SpellDescription.Warlord.CleansingAura.MainDescription1:		Reduce la eficacia de DoTs en aliados en {0} de radio un {1}%. Si el daño llega a cero, el efecto termina.
SpellDescription.Warlord.CleansingAura.MainDescription2:		Reduce la eficacia de DoTs en el objetivo un {0}%. Si el daño llega a cero, termina.
SpellDescription.Warlord.EffectivenessBuff.MainDescription1:	Aumenta la efectividad de aliados en {0} de alcance un {1}% (hechizos y cuerpo a cuerpo).
SpellDescription.Warlord.EffectivenessBuff.MainDescription2:	Aumenta la efectividad del objetivo un {1}% (hechizos y cuerpo a cuerpo).
SpellDescription.Warlord.MLABSBuff.MainDescription1:			Aumenta la absorción de armadura de aliados en {0} de radio un {1}%.
SpellDescription.Warlord.MLABSBuff.MainDescription2:			Aumenta la absorción de armadura del objetivo un {1}%.
SpellDescription.Sojourner.UnmakeCrystalseed.MainDescription:	Destruye la runa objetivo y las cercanas en un radio de {0}.
SpellDescription.Sojourner.AncientTransmuter.MainDescription:	Invoca a un mercader para comprar/vender suministros básicos.
SpellDescription.Sojourner.Port.MainDescription1:				Te teletransporta a tu piedra de alma. No funciona en combate ni en RvR.
SpellDescription.Sojourner.Port.MainDescription2:				Teletransporta a {0} jugadores en {1} de radio a su piedra de alma. No en combate ni en RvR.
SpellDescription.Sojourner.EssenceResist.MainDescription:		Aumenta la resistencia al daño natural (esencia) un {0}%.
SpellDescription.Sojourner.Zephyr.MainDescription1:				Invoca una ráfaga que arrastra a un enemigo en dirección aleatoria haciéndolo invulnerable mientras dura.
SpellDescription.Sojourner.Zephyr.MainDescription2:				El jugador afectado por un Céfiro es inmune a otro durante {0} min.
SpellDescription.Sojourner.Phaseshift.MainDescription:			Mejora personal que te hace casi invulnerable a hechizos y cuerpo a cuerpo durante {0} s.
SpellDescription.Sojourner.Groupport.MainDescription:			Devuelve a todo tu grupo a tu piedra de alma. Si alguien está en combate, falla.
SpellDescription.Stormlord.DazzlingArray.MainDescription1:		Aplica un efecto que reduce la probabilidad de acierto de enemigos en la zona un {0}%.
SpellDescription.Stormlord.DazzlingArray.MainDescription2:		Solo aplica a hechizos de aturdimiento; excluye RA y estilos.
SpellDescription.Stormlord.StormMissHit.MainDescription:		Reduce la precisión del objetivo un {0}%.
SpellDescription.Stormlord.VacuumVortex.MainDescription:		Objetivo de suelo que desplaza tormentas cercanas a un punto aleatorio del borde.
SpellDescription.Stormlord.EnervatingGas.MainDescription:		Emite gas que reduce el aguante de enemigos en {0}%.
SpellDescription.Stormlord.StormEndudrain.MainDescription:		Tormenta que drena {0} de aguante a enemigos dentro.
SpellDescription.Stormlord.InebriatingFumes.MainDescription:	Reduce gradualmente Destreza y Rapidez un {0}% a quienes permanezcan dentro.
SpellDescription.Stormlord.StormDexQuickDebuff.MainDescription:	Reduce Destreza y Rapidez del objetivo un {0}%.
SpellDescription.Stormlord.MentalSiphon.MainDescription:		Tormenta que drena {0} de maná a enemigos dentro.
SpellDescription.Stormlord.PowerDrainStorm.MainDescription:		Drena {0} de maná al objetivo.
SpellDescription.Stormlord.FocusingWinds.MainDescription:		Crea una tormenta aliada y la fija. Termina si te mueves.
SpellDescription.Stormlord.ChokingVapors.MainDescription:		Reduce gradualmente Fuerza y Constitución un {0}% a quienes permanezcan dentro.
SpellDescription.Stormlord.StormStrConstDebuff.MainDescription:	Reduce Fuerza y Constitución del objetivo un {0}%.
SpellDescription.Stormlord.SenseDullingCloud.MainDescription:	Tormenta que embota los sentidos reduciendo la Lucidez un {0}%.
SpellDescription.Stormlord.StormAcuityDebuff.MainDescription:	Reduce la Lucidez del objetivo un {0}%.
SpellDescription.Stormlord.EnergyTempest.MainDescription:		Tormenta que inflige daño de Esencia a enemigos dentro.
SpellDescription.Stormlord.StormEnergyTempest.MainDescription:	Inflige {0} de {1} durante {2} s a enemigos dentro.
SpellDescription.MLBase.TargetModifier.MainDescription:			Mejora personal que permite modificar o ampliar el radio del próximo hechizo (único o de área).
SpellDescription.MLBase.BanelordSnare.MainDescription:			Área de corta distancia que ralentiza un {0}% y aturde al lanzador.

# AblativeArmor
AblativeArmor.DelveInfo.Function:			Función: amortiguador de golpes cuerpo a cuerpo
AblativeArmor.DelveInfo.Absorption1:			Absorción: {0}%
AblativeArmor.DelveInfo.Absorption2:			Absorción: 100%
AblativeArmor.DelveInfo.Absorption3:			Absorción: 25%
AblativeArmor.DelveInfo.CastingTime:			Instantáneo

# DamageSpeedDecrease
DamageSpeedDecrease.DelveInfo.Decrease:			Reducción de velocidad: {0}%
DamageSpeedDecrease.DelveInfo.Function:			Función: Reducción de velocidad + daño

# ResistDebuff
ResistDebuff.DelveInfo.Decrease:			Reduce resistencia a {0}: {1}
ResistDebuff.DelveInfo.Function:			Función: Reducción de resistencias

#CharmSpellHandler
CharmSpellHandler.DelveInfo.Function:			Función: {0}
CharmSpellHandler.Species.Humanoid:				Humanoide
CharmSpellHandler.Species.Animal:				Animal
CharmSpellHandler.Species.Insect:				Insecto
CharmSpellHandler.Species.Reptile:				Reptil
CharmSpellHandler.Species.HumanoidAnimal:		Humanoide o Animal
CharmSpellHandler.Species.HumanoidAnimalInsect:					Humanoide, Animal e Insecto
CharmSpellHandler.Species.HumanoidAnimalInsectMagical:			Humanoide, Animal, Insecto y Mágico
CharmSpellHandler.Species.HumanoidAnimalInsectMagicalUndead:	Humanoide, Animal, Insecto, Mágico y No‑muerto

#IllusionSpell SpellHandler
IllusionSpell.Arrangement.Random:		aleatorio
IllusionSpell.Arrangement.Circle:		en círculo
IllusionSpell.Arrangement.Line:			en línea

#WarlockSpeedDecrease SpellHandler Appearances
WarlockSpeedDecrease.Appearance.Frog:			Rana
WarlockSpeedDecrease.Appearance.Worm:			Gusano
WarlockSpeedDecrease.Appearance.Lizard:			Lagarto
WarlockSpeedDecrease.Appearance.Wisp:			Fulgor
WarlockSpeedDecrease.Appearance.Fairy:			Hada
WarlockSpeedDecrease.Appearance.Scarab:			Escarabajo
WarlockSpeedDecrease.Appearance.Spider:			Araña
WarlockSpeedDecrease.Appearance.Cyclop:			Cíclope
WarlockSpeedDecrease.Appearance.Mantis:			Mantis
WarlockSpeedDecrease.Appearance.Flame:			Fuego fatuo
WarlockSpeedDecrease.Appearance.Bird:			Golondrina
WarlockSpeedDecrease.Appearance.Simulacrum:		Simulacro

# DamageAddAndShield
DamageAddAndShield.EventHandlerDA.DamageToYou:		¡{0} te golpea por {1} de daño adicional!
DamageAddAndShield.EventHandlerDA.YouHitExtra:		¡Golpeas a {0} por {1} de daño adicional!
DamageAddAndShield.EventHandlerDA.YouHitFor:		¡Golpeas a {0} por {1} de daño adicional!
DamageAddAndShield.EventHandlerDA.YourHitFor:		¡Tu {0} golpea a {1} por {2} de daño adicional!
DamageAddAndShield.EventHandlerDS.DamageToYou:		¡{0} te golpea por {1} de daño adicional!
DamageAddAndShield.EventHandlerDS.YouHitFor:		¡Golpeas a {0} por {1} de daño adicional!
DamageAddAndShield.EventHandlerDS.YourHitFor:		¡Tu {0} golpea a {1} por {2} de daño adicional!

# DirectDamageDebuffSpellHandler
DirectDamageDebuffSpellHandler.DelveInfo.Decrease:	Reducción de resistencia ({0}): {1}%
DirectDamageDebuffSpellHandler.DelveInfo.Function:	Función: Daño/Reducción de resistencias

# DoTSpellHandler
DoTSpellHandler.SendDamageMessages.YouHitFor:		¡Golpeas a {0} por {1} de daño!
DoTSpellHandler.SendDamageMessages.YourCriticallyHits:	¡Tu {0} golpea críticamente a {1} y causa {2} de daño adicional!
DoTSpellHandler.SendDamageMessages.YourHitsFor:		Tu {0} golpea a {1} por {2} de daño.

# NearsightSpellHandler
NearsightSpellHandler.DelveInfo.Function:		Función: Reducción de alcance {0}

# ProcSpellHandler
ProcSpellHandler.DelveInfo.Function:			Función: {0}

Summon.CheckBeginCast.AlreadyHaveaPet:			Ya controlas a una criatura.

# SummonCommanderPet
SummonCommanderPet.CheckBeginCast.Text:			¡Ya controlas a un Comandante!
SummonCommanderPet.DelveInfo.Text1:			Función: Invocación
SummonCommanderPet.DelveInfo.Text2:			Invoca a una mascota Comandante.
SummonCommanderPet.DelveInfo.Text3:			Objetivo: {0}
SummonCommanderPet.DelveInfo.Text4:			Coste de maná: {0}%
SummonCommanderPet.DelveInfo.Text5:			Tiempo de lanzamiento: {0}

#SummonMinionHandler
SummonMinionHandler.CheckBeginCast.Text1:		¡Debes controlar ya a un Comandante para invocar un súbdito al grupo!
SummonMinionHandler.CheckBeginCast.Text2:		¡Tu Comandante ya controla el máximo de súbditos!
SummonMinionHandler.DelveInfo.Text1:			Objetivo: {0}
SummonMinionHandler.DelveInfo.Text2:			Coste de maná: {0}%
SummonMinionHandler.DelveInfo.Text3:			Tiempo de lanzamiento: {0}

#PetPBAOE
PetPBAOE.CheckBeginCast.NoPet:				No puedes lanzar este hechizo sobre una criatura que no controlas.

#SummonAnimistFnF
SummonAnimistFnF.CheckBeginCast.NoGroundTarget:		¡Debes fijar un objetivo de suelo para este hechizo!
SummonAnimistFnF.CheckBeginCast.TurretAreaCap:		¡No puedes controlar más torretas en esta zona!
SummonAnimistFnF.CheckBeginCast.TurretPlayerCap:	¡No puedes controlar más torretas!

#SummonAnimistPet
SummonAnimistPet.CheckBeginCast.AlreadyHaveaPet:	¡Ya controlas a una criatura!
SummonAnimistPet.CheckBeginCast.GroundTargetNull:	¡Debes fijar un objetivo de suelo para este hechizo!
SummonAnimistPet.CheckBeginCast.GroundTargetNotInView:	No tienes a la vista tu objetivo de suelo.
SummonAnimistPet.CheckBeginCast.GroundTargetNotInSpellRange:	Debes elegir un objetivo de suelo más cercano.

#TurretsRelease
TurretsRelease.CheckBeginCast.NoSelectedTarget:		Solo puedes lanzar este hechizo sobre una criatura que controlas.
TurretsRelease.CheckBeginCast.TargetTooFarAway:		Tu objetivo está demasiado lejos.

#PetSpellHandler
PetSpellHandler.CheckBeginCast.NoControlledBrainForCast:	¡Necesitas una mascota para lanzar este hechizo!

#SummonNecromancerPet
SummonNecromancerPet.CheckBeginCast.ShadeEffectIsNotNull:	¡Ya estás en forma de Sombra!
SummonNecromancerPet.DelveInfo.Function:			Función: Invocar mascota
SummonNecromancerPet.DelveInfo.Description:			Invoca una mascota no‑muerta que sirve al lanzador. El lanzador adopta forma de Sombra y actúa a través de su mascota.
SummonNecromancerPet.DelveInfo.Target:				Objetivo: {0}
SummonNecromancerPet.DelveInfo.Power:				Coste de maná: {0}%
SummonNecromancerPet.DelveInfo.CastingTime:			Tiempo de lanzamiento: {0}

#SavageEnduranceHeal
SavageEnduranceHeal.CheckBeginCast.InsuffiscientHealth:		¡No tienes suficiente salud para lanzar este hechizo!

#AblativeArmorSpellHandler
AblativeArmor.Target:	Tu escudo absorbe {0} de daño.
AblativeArmor.Attacker:	¡Un escudo absorbe {0} de tu daño!

#Amnesia
Amnesia.MessageToTarget:	¡Tu mente se enreda y olvidas lo que estabas haciendo!

# Petrify
Petrify.Target.Absorbs:		{0} está petrificado y absorbe {1} de daño.
Petrify.Target.Resist:		{0} está petrificado e inmune a este hechizo.
Petrify.Self.Message:		{0} está petrificado.
Petrify.Self.Absorb:		Estás petrificado y absorbes {0} de daño.
Petrify.Self.Unpetrify:		Recuperas tu estado normal.

# Damnation
Damnation.Self.Message:			Tu objetivo está maldito.
Damnation.Self.Message2:		¡Aún no lo sabes, pero ya estás muerto!
Damnation.Target.Resist:		{0} está maldito e inmune a este hechizo.
Damnation.Self.Absorb:			¡Estás maldito y absorbes {0} de daño!
Damnation.Target.Absorbs:		{0} está maldito y absorbe {1} de daño.
Damnation.Self.SpellAbsorb:		Tu maldición te permite absorber {0} de daño mágico gracias a tu equipo.
Damnation.Target.SpellAbsorbs:	La maldición de {0} absorbe {1} de daño mágico gracias a su equipo.
Damnation.Self.Resist:			Estás maldito y resistes el hechizo.
Damnation.Target.Resist:		{0} está maldito y resiste el hechizo.
Damnation.Kill.SelfHeal:		¡El cadáver de tu enemigo te revitaliza {0} de salud!
Damnation.Kill.DurationExtended:	Tu existencia maldita se prolonga {0} s al arrebatar otra alma, pero el final es inevitable.
Damnation.Self.CannotBeHealed:	¡Estás maldito y no puedes ser curado!

# Adrenaline
Adrenaline.Target.Immune:		¡{0} está en fiebre de batalla y resiste por completo!
Adrenaline.Target.Absorbs:		Tu objetivo absorbe {0} de daño de tu ataque.
Adrenaline.Self.Immune:			¡Tu fiebre de batalla te protege de este hechizo!
Adrenaline.Self.Absorb:			¡Absorbes {0} de daño del hechizo!

# DebuffImmunity
DebuffImmunity.You.Resisted:			¡Resistes gracias a tu inmunidad a debilitaciones!
DebuffImmunity.Target.Resisted:			{0} resiste gracias a su inmunidad a debilitaciones.

# HealDebuff
HealDebuffSpellHandler.EffectStart.Target:		La efectividad de las curas recibidas se reduce por {0}.
HealDebuffSpellHandler.EffectStart.Area:		La efectividad de las curas recibidas por {0} se reduce por {1}.
HealDebuffSpellHandler.EffectExpires.Target:	La efectividad de las curas vuelve a la normalidad.
HealDebuffSpellHandler.EffectExpires.Area:		La efectividad de las curas de {0} vuelve a la normalidad.

# NecroSummonWeapon
Spells.NecroSumonWeap.Icebrand.You:				Invocas la espada Icebrand.
Spells.NecroSumonWeap.Icebrand.Target:			{0} invoca la espada Icebrand.
Spells.NecroSumonWeap.Nethersbane.You:			Invocas la espada Nethersbane.
Spells.NecroSumonWeap.Nethersbane.Target:		{0} invoca la espada Nethersbane.

# StyleHandler
StyleHandler.StyleNotFound:						Estilo de combate no encontrado.
StyleHandler.UseStyle:							Usas el estilo {0} para tus ataques.
StyleHandler.NeedsRequirement:					Requiere {0} para ejecutar este estilo.
StyleHandler.NeedsWeapon:						Necesitas {0} para ejecutar este estilo.
StyleHandler.AllWeaponTypes:					Todos los tipos de armas son compatibles con este estilo.
StyleHandler.UnknownWeaponType:					Tipo de arma requerido desconocido.
StyleHandler.StyleNotImplemented:				¡Este estilo aún no está implementado!
StyleHandler.Opening.DefensiveActionUsing:		una acción defensiva con {0}
StyleHandler.Opening.DefensiveAction:			una acción defensiva
StyleHandler.Opening.Positional.Back:			estar detrás del enemigo
StyleHandler.Opening.Positional.Side:			estar al costado del enemigo
StyleHandler.Opening.Positional.Front:			estar frente al enemigo
StyleHandler.Opening.Positional.Specific:		una posición específica respecto al enemigo
StyleHandler.Opening.Default:					una condición de apertura especial

