# DelveInfo
DelveInfo.CastingTime:          Thời gian niệm: {0}
SpellDescription.Occultist.SpiritShapeShift3:			Đầy tớ bền bỉ hơn và nhận thêm kỹ năng.
SpellDescription.Occultist.ChtonicShapeShift1:			Nhập thể Kỵ Sĩ Chtonic. AF +{0}/cấp; máu, AF và vũ khí +{1}%, hấp thụ cận +{2}% và kháng phép thứ cấp +{3}%.  
SpellDescription.Occultist.ChtonicShapeShift2:			Được thêm khả năng Đỡ (Parry).
SpellDescription.Occultist.DecrepitShapeShift1:			Nhập thể Pháp Sư Tàn Tạ. Sát thương phép +{0}%.
SpellDescription.Occultist.DecrepitShapeShift2:			Hấp thụ giáp +{0}%.
SpellDescription.Occultist.DecrepitShapeShift3:			Kẻ tấn công cận có {0}% cơ hội áp Bệnh; thân thể mục rữa hồi phục, hồi máu +{1}.
SpellDescription.Occultist.BringerOfDeath1:				Nhập thể Kẻ Mang Tử Thần. Phép của bạn không thể bị ngắt nhưng hoạt động ở {0}%; nhận ít hơn {1}% sát thương phép và vật lý.
SpellDescription.Occultist.BringerOfDeath2:				Tốc độ di chuyển +{0}% kể cả trong speedwarp và giao tranh. Hiệu lực hồi phục và Bệnh từ Dạng Tàn Tạ vẫn hoạt động.
SpellDescription.ArawnsLegion.MainDescription1:			Hãy cầu khẩn Arawn để triệu hồi đội quân tà ác của hắn trên chiến trường.
SpellDescription.ArawnsLegion.MainDescription2:			Đội quân tấn công mọi mục tiêu địch trong phạm vi (bán kính {0}) trong {1} giây.
SpellDescription.ArawnsLegion.MainDescription3:			Bạn chỉ có thể điều khiển đầy tớ khi ở hình dạng con người, dạng Decrepit hoặc dạng Spirit.
SpellDescription.SummonMultiTemplatePets.MainDescription1:		Triệu hồi một đoàn đầy tớ để hỗ trợ bạn trên chiến trường.
SpellDescription.DamageReturn.MainDescription:			Phản trả {0}% sát thương trực tiếp phép (không DoT), cận và đạn vào {1} kẻ tấn công trong thời gian hiệu lực.
SpellDescription.OffProcShear.Main1:					Gỡ các proc tấn công đang hoạt động của mục tiêu.
SpellDescription.OffProcShear.Main2:					Áp proc thay thế bị nguyền; các tiểu phép của nó sẽ hồi máu cho kẻ địch của mục tiêu khi họ đánh trúng.
SpellDescription.OffProcShear.ReplacementHeader:		Proc thay thế:


# ML Spells ShortDescriptions
SpellDescription.Convoker.SummonWood.MainDescription:			Triệu hồi ngẫu nhiên 100 tấm ván để gia cố và sửa cổng, tường pháo đài.
SpellDescription.Convoker.PrescienceNode.MainDescription1:		Phù văn mặt đất (bán kính 1000) phát hiện kẻ địch ẩn mà không phá tàng hình.
SpellDescription.Convoker.PrescienceNode.MainDescription2:		Phù văn có thể bị tấn công và có {0} máu.
SpellDescription.Convoker.Prescience.MainDescription1:			Một Phù Văn Hiện Diện đã phát hiện bạn!
SpellDescription.Convoker.Prescience.MainDescription2:			Ban khả năng linh cảm để đoán trước chuyển động của địch.
SpellDescription.Convoker.PowerTrap.MainDescription:			Đặt phù văn khi kích nổ sẽ rút 20% mana của kẻ địch (chỉ kẻ có mana).
SpellDescription.Convoker.SpeedWrap.MainDescription:			Phù văn xóa buff tốc độ của kẻ đi qua. 6 giây sau khi rời không thể nhận phép tốc độ.
SpellDescription.Convoker.SummonWarcrystal.MainDescription:		Triệu hồi và đặt đạn công thành (đạn chì, cầu, băng hoặc đá) vào túi đồ của bạn.
SpellDescription.Convoker.Battlewarder.MainDescription1:		Triệu hồi Hộ Vệ Chiến Trận chặn đòn địch. Đứng yên và tiêu hao mana khi hoạt động.
SpellDescription.Convoker.Battlewarder.MainDescription2:		Mục tiêu mặt đất. Có thể tồn tại cùng thú cưng khác; có thể triệu hồi nhiều hộ vệ.
SpellDescription.Convoker.DissonanceTrap.MainDescription:		Đặt phù văn khi kích nổ gây {0} {1}.
SpellDescription.Convoker.BrittleGuard.MainDescription1:		Triệu hồi “Hộ Vệ Mỏng Manh” chặn một đòn cận cho bạn.
SpellDescription.Convoker.BrittleGuard.MainDescription2:		Có một mạng và biến mất sau khi chặn. Chỉ một cái hoạt động.
SpellDescription.Convoker.SummonMastery.MainDescription:		Tăng cấp hiệu dụng thú cưng và cải thiện sát thương, hấp thụ của chúng.
SpellDescription.Convoker.SummonTitan.MainDescription1:			Triệu hồi Titan lớn dần và mạnh dần, tấn công dữ dội.
SpellDescription.Convoker.SummonTitan.MainDescription2:			Đứng yên và chỉ đánh kẻ trong tầm cận.
SpellDescription.Spymaster.Decoy.MainDescription:				Triệu hồi đồng minh mồi nhử với trang bị sử thi, 1 mạng và không có khả năng tấn công để đánh lạc hướng.
SpellDescription.Spymaster.Sabotage.MainDescription:			Phá hoại mục tiêu (phù văn hoặc máy công thành) khiến không thể sử dụng.
SpellDescription.Spymaster.TangleSnare.MainDescription:			Đặt phù văn khi kích nổ sẽ làm chậm kẻ trong tầm {0}%. Dùng sẽ hủy ẩn nấp.
SpellDescription.Spymaster.PoisonSpike.MainDescription:			Đặt phù văn độc gây {0} {1} lên kẻ địch gần. Hủy ẩn nấp.
SpellDescription.Spymaster.Loockout.MainDescription1:			Trạm quan sát cố định phát hiện kẻ địch ẩn trong {0}. Vẫn ẩn nếu không di chuyển.
SpellDescription.Spymaster.Loockout.MainDescription2:			Phải ngồi và bất động; di chuyển sẽ kết thúc hiệu ứng.
SpellDescription.Spymaster.SiegeWrecker.MainDescription1:		Phù văn gây sát thương lớn lên máy công thành.
SpellDescription.Spymaster.SiegeWrecker.MainDescription2:		Gây {0} sát thương khi kích hoạt.
SpellDescription.Spymaster.EssenceFlare.MainDescription:		Áp độc khiến kẻ địch mờ mắt 15 giây.
SpellDescription.Spymaster.BlanketOfCamouflage.MainDescription:	Che chắn cả nhóm. Di chuyển/niệm/hát sẽ xóa hiệu ứng với người không ẩn nấp.
SpellDescription.Battlemaster.MLEndudrain.MainDescription:		Rút {0} thể lực của kẻ địch gần.
SpellDescription.Battlemaster.KeepDamageBuff.MainDescription:	Tăng {0}% sát thương lên máy công thành và công trình.
SpellDescription.Battlemaster.MLManadrain.MainDescription:		Rút {0} mana của kẻ địch gần.
SpellDescription.Battlemaster.Grapple.MainDescription1:			Hiệu ứng cự ly ngắn trói {0} giây và tẩy hiệu ứng.
SpellDescription.Battlemaster.Grapple.MainDescription2:			Khóa mục tiêu; không thể di chuyển hoặc đánh cận, nhưng có thể niệm/hát 10 giây.
SpellDescription.Battlemaster.Grapple.MainDescription3:			Mục tiêu bị khóa không thể bị đánh cận.
SpellDescription.Battlemaster.EssenceFlamesProc.MainDescription:	{0}% cơ hội kích hoạt sát thương Bản chất bổ sung với đòn cận.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription1:		Đòn tầm xa dùng công thức sát thương cận.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription2:		Cấm đánh cận 10 giây sau khi dùng.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription1:	Giảm kháng Bản chất của kẻ địch gần {0}%.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription2:	Giảm kháng Bản chất của mục tiêu {0}%.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription1:	Bảo vệ đồng minh gần khỏi đòn cận. Khi hộ vệ còn sống hoặc trong tầm, đồng minh không thể bị chọn mục tiêu.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription2:	Chỉ duy trì nếu được bảo vệ đứng yên.
SpellDescription.Battlemaster.EssenceDampenHandler.MainDescription:	Giảm cơ động của mục tiêu {0}%.
SpellDescription.Banelord.CastingSpeedDebuff.MainDescription:		Giảm tốc độ niệm của địch {0}%.
SpellDescription.Banelord.PBAEDamage.ML2.MainDescription:		Giảm mana, máu và thể lực của địch trong vùng {0}%.
SpellDescription.Banelord.PBAEDamage.ML8.MainDescription:		Giảm tài nguyên trong vùng {0}% và tiêu tốn {1}% máu của bạn.
SpellDescription.Banelord.Oppression.MainDescription:			Giảm sức chở tối đa của kẻ địch gần {0}%.
SpellDescription.Banelord.FatDebuff.MainDescription:			Tăng tiêu hao thể lực của đòn địch {0}%.
SpellDescription.Banelord.MissHit.MainDescription:				Giảm cơ hội đánh trúng của kẻ địch gần {0}%.
SpellDescription.Banelord.MLUnbreakableSnare.MainDescription:	Vùng ngắn làm chậm {0}% và gây choáng người niệm.
SpellDescription.Banelord.UnrresistableNonImunityStun.MainDescription:	Gây choáng {0} giây và ngăn hành động.
SpellDescription.Banelord.ToHitBuff.MainDescription:			Tăng cơ hội đánh trúng của đồng minh gần {0}%.
SpellDescription.Banelord.EffectivenessDeBuff.MainDescription:	Giảm hiệu quả của địch (phép và cận) {0}%.
SpellDescription.Banelord.Banespike.MainDescription:			Tăng sát thương của đồng minh gần {0}%.
SpellDescription.Banelord.NbTargetAffected.MainDescription:		Tối đa {0} kẻ địch bị ảnh hưởng.
SpellDescription.Perfector.FOH.MainDescription1:				Tạo cầu tại chân bạn, dần hồi {0} máu cho đồng minh (tối đa 40).
SpellDescription.Perfector.FOH.MainDescription2:				Trong PvE, kéo sự chú ý của địch về người niệm.
SpellDescription.Perfector.FOP.MainDescription1:				Tạo cầu tại chân bạn, dần hồi {0} mana cho đồng minh (tối đa 40).
SpellDescription.Perfector.FOP.MainDescription2:				Đồng minh vừa chiến đấu trong 10 giây gần đây ở PvE không được hưởng.
SpellDescription.Perfector.FOR.MainDescription:					Phù văn rút ngắn thời gian khống chế trên đồng minh gần {0}%.
SpellDescription.Perfector.SickHeal.MainDescription:			Cho phép vượt qua hiệu ứng sau hồi sinh.
SpellDescription.Perfector.FOD.MainDescription:					Phù văn phòng thủ rút {0}% mana kẻ địch trong tầm.
SpellDescription.Perfector.PoT.MainDescription:					Hiệu ứng hồi duy trì tăng mana mỗi tick {0}%.
SpellDescription.Perfector.CCResist.MainDescription:			Tăng kháng khống chế của bạn trong {0} giây.
SpellDescription.Warlord.PBAEHeal.ML2.MainDescription:			Vùng hồi {0}% máu, mana và thể lực cho đồng minh gần.
SpellDescription.Warlord.PBAEHeal.ML8.MainDescription:			Hồi 1000 máu cho mục tiêu với giá {0}% máu của bạn.
SpellDescription.Warlord.CoweringBellow.MainDescription:		Gieo sợ hãi lên thú cưng do người chơi điều khiển trong {0} và giảm hiệu quả của chúng.
SpellDescription.Warlord.Critical.MainDescription1:				Tăng cơ hội chí mạng của đồng minh trong {0} thêm {1}% cho đòn kế tiếp.
SpellDescription.Warlord.Critical.MainDescription2:				Tăng cơ hội chí mạng của mục tiêu {0}% cho đòn kế tiếp.
SpellDescription.Warlord.CleansingAura.MainDescription1:		Giảm hiệu quả DoT trên đồng minh trong {0} {1}%. Khi sát thương về 0, hiệu ứng kết thúc.
SpellDescription.Warlord.CleansingAura.MainDescription2:		Giảm hiệu quả DoT trên mục tiêu {0}%. Kết thúc khi sát thương về 0.
SpellDescription.Warlord.EffectivenessBuff.MainDescription1:	Tăng hiệu quả của đồng minh trong {0} {1}% (phép và cận).
SpellDescription.Warlord.EffectivenessBuff.MainDescription2:	Tăng hiệu quả của mục tiêu {1}% (phép và cận).
SpellDescription.Warlord.MLABSBuff.MainDescription1:			Tăng hấp thụ giáp của đồng minh trong {0} {1}%.
SpellDescription.Warlord.MLABSBuff.MainDescription2:			Tăng hấp thụ giáp của mục tiêu {1}%.
SpellDescription.Sojourner.UnmakeCrystalseed.MainDescription:	Phá hủy phù văn mục tiêu và phù văn gần trong {0}.
SpellDescription.Sojourner.AncientTransmuter.MainDescription:	Triệu hồi thương nhân mua/bán vật tư cơ bản.
SpellDescription.Sojourner.Port.MainDescription1:				Dịch chuyển bạn đến đá linh hồn. Không hoạt động khi giao tranh hay RvR.
SpellDescription.Sojourner.Port.MainDescription2:				Dịch chuyển {0} người chơi trong {1} đến đá linh hồn của họ. Không khi giao tranh/RvR.
SpellDescription.Sojourner.EssenceResist.MainDescription:		Tăng kháng sát thương tự nhiên (Bản chất) {0}%.
SpellDescription.Sojourner.Zephyr.MainDescription1:				Gọi luồng gió cuốn kẻ địch theo hướng ngẫu nhiên và khiến nó bất khả xâm phạm trong thời gian hiệu lực.
SpellDescription.Sojourner.Zephyr.MainDescription2:				Người chơi bị Zephyr tác động sẽ miễn nhiễm {0} phút trước lần kế tiếp.
SpellDescription.Sojourner.Phaseshift.MainDescription:			Buff cá nhân giúp gần như bất tử trước phép và cận trong {0} giây.
SpellDescription.Sojourner.Groupport.MainDescription:			Đưa cả nhóm của bạn về đá linh hồn của bạn. Thất bại nếu ai đó đang giao tranh.
SpellDescription.Stormlord.DazzlingArray.MainDescription1:		Áp hiệu ứng giảm cơ hội đánh trúng của kẻ địch trong vùng {0}%.
SpellDescription.Stormlord.DazzlingArray.MainDescription2:		Chỉ áp cho phép choáng; loại trừ RA và võ học.
SpellDescription.Stormlord.StormMissHit.MainDescription:		Giảm độ chính xác của mục tiêu {0}%.
SpellDescription.Stormlord.VacuumVortex.MainDescription:		Mục tiêu mặt đất, kéo bão gần tới điểm ngẫu nhiên ở rìa.
SpellDescription.Stormlord.EnervatingGas.MainDescription:		Phát tán khí làm giảm thể lực của kẻ địch {0}%.
SpellDescription.Stormlord.StormEndudrain.MainDescription:		Bão rút {0} thể lực của kẻ địch bên trong.
SpellDescription.Stormlord.InebriatingFumes.MainDescription:	Giảm dần Khéo léo và Nhanh nhẹn {0}% với những ai ở trong.
SpellDescription.Stormlord.StormDexQuickDebuff.MainDescription:	Giảm Khéo léo và Nhanh nhẹn của mục tiêu {0}%.
SpellDescription.Stormlord.MentalSiphon.MainDescription:		Bão rút {0} mana của kẻ địch bên trong.
SpellDescription.Stormlord.PowerDrainStorm.MainDescription:		Rút {0} mana của mục tiêu.
SpellDescription.Stormlord.FocusingWinds.MainDescription:		Tạo bão đồng minh và ghim tại chỗ. Kết thúc nếu bạn di chuyển.
SpellDescription.Stormlord.ChokingVapors.MainDescription:		Giảm dần Sức mạnh và Thể chất {0}% với những ai ở trong.
SpellDescription.Stormlord.StormStrConstDebuff.MainDescription:	Giảm Sức mạnh và Thể chất của mục tiêu {0}%.
SpellDescription.Stormlord.SenseDullingCloud.MainDescription:	Bão làm cùn mòn giác quan, giảm Trí mẫn {0}%.
SpellDescription.Stormlord.StormAcuityDebuff.MainDescription:	Giảm Trí mẫn của mục tiêu {0}%.
SpellDescription.Stormlord.EnergyTempest.MainDescription:		Bão gây sát thương Bản chất lên kẻ địch bên trong.
SpellDescription.Stormlord.StormEnergyTempest.MainDescription:	Gây {0} {1} trong {2} giây lên kẻ địch bên trong.
SpellDescription.MLBase.TargetModifier.MainDescription:			Buff cá nhân cho phép chỉnh/sửa tầm của phép kế tiếp (đơn hoặc diện rộng).
SpellDescription.MLBase.BanelordSnare.MainDescription:			Vùng ngắn làm chậm {0}% và gây choáng người niệm.

# AblativeArmor
AblativeArmor.DelveInfo.Function:			Chức năng: giảm xóc đòn cận chiến
AblativeArmor.DelveInfo.Absorption1:			Hấp thụ: {0}%
AblativeArmor.DelveInfo.Absorption2:			Hấp thụ: 100%
AblativeArmor.DelveInfo.Absorption3:			Hấp thụ: 25%
AblativeArmor.DelveInfo.CastingTime:			Lập tức

# DamageSpeedDecrease
DamageSpeedDecrease.DelveInfo.Decrease:			Giảm tốc: {0}%
DamageSpeedDecrease.DelveInfo.Function:			Chức năng: Giảm tốc + sát thương

# ResistDebuff
ResistDebuff.DelveInfo.Decrease:			Giảm kháng {0}: {1}
ResistDebuff.DelveInfo.Function:			Chức năng: Giảm kháng

#CharmSpellHandler
CharmSpellHandler.DelveInfo.Function:			Chức năng: {0}
CharmSpellHandler.Species.Humanoid:				Người hình
CharmSpellHandler.Species.Animal:				Thú
CharmSpellHandler.Species.Insect:				Côn trùng
CharmSpellHandler.Species.Reptile:				Bò sát
CharmSpellHandler.Species.HumanoidAnimal:		Người hình hoặc Thú
CharmSpellHandler.Species.HumanoidAnimalInsect:					Người hình, Thú và Côn trùng
CharmSpellHandler.Species.HumanoidAnimalInsectMagical:			Người hình, Thú, Côn trùng và Ma pháp
CharmSpellHandler.Species.HumanoidAnimalInsectMagicalUndead:	Người hình, Thú, Côn trùng, Ma pháp và Xác sống

#IllusionSpell SpellHandler
IllusionSpell.Arrangement.Random:		ngẫu nhiên
IllusionSpell.Arrangement.Circle:		theo vòng tròn
IllusionSpell.Arrangement.Line:			theo hàng

#WarlockSpeedDecrease SpellHandler Appearances
WarlockSpeedDecrease.Appearance.Frog:			Ếch
WarlockSpeedDecrease.Appearance.Worm:			Sâu
WarlockSpeedDecrease.Appearance.Lizard:			Thằn lằn
WarlockSpeedDecrease.Appearance.Wisp:			Đốm lửa ma
WarlockSpeedDecrease.Appearance.Fairy:			Tiên
WarlockSpeedDecrease.Appearance.Scarab:			Bọ hung
WarlockSpeedDecrease.Appearance.Spider:			Nhện
WarlockSpeedDecrease.Appearance.Cyclop:			Cyclops
WarlockSpeedDecrease.Appearance.Mantis:			Bọ ngựa
WarlockSpeedDecrease.Appearance.Flame:			Ngọn lửa
WarlockSpeedDecrease.Appearance.Bird:			Chim én
WarlockSpeedDecrease.Appearance.Simulacrum:		Ảnh nhân

# DamageAddAndShield
DamageAddAndShield.EventHandlerDA.DamageToYou:		{0} đánh bạn gây thêm {1} sát thương!
DamageAddAndShield.EventHandlerDA.YouHitExtra:		Bạn đánh {0} gây thêm {1} sát thương!
DamageAddAndShield.EventHandlerDA.YouHitFor:		Bạn đánh {0} gây thêm {1} sát thương!
DamageAddAndShield.EventHandlerDA.YourHitFor:		{0} của bạn đánh {1} gây thêm {2} sát thương!
DamageAddAndShield.EventHandlerDS.DamageToYou:		{0} đánh bạn gây thêm {1} sát thương!
DamageAddAndShield.EventHandlerDS.YouHitFor:		Bạn đánh {0} gây thêm {1} sát thương!
DamageAddAndShield.EventHandlerDS.YourHitFor:		{0} của bạn đánh {1} gây thêm {2} sát thương!

# DirectDamageDebuffSpellHandler
DirectDamageDebuffSpellHandler.DelveInfo.Decrease:	Giảm kháng ({0}): {1}%
DirectDamageDebuffSpellHandler.DelveInfo.Function:	Chức năng: Sát thương/Giảm kháng

# DoTSpellHandler
DoTSpellHandler.SendDamageMessages.YouHitFor:		Bạn đánh {0} gây {1} sát thương!
DoTSpellHandler.SendDamageMessages.YourCriticallyHits:	{0} của bạn chí mạng {1}, gây thêm {2} sát thương!
DoTSpellHandler.SendDamageMessages.YourHitsFor:		{0} của bạn đánh {1} gây {2} sát thương!

# NearsightSpellHandler
NearsightSpellHandler.DelveInfo.Function:		Chức năng: Rút ngắn tầm {0}

# ProcSpellHandler
ProcSpellHandler.DelveInfo.Function:			Chức năng: {0}

Summon.CheckBeginCast.AlreadyHaveaPet:			Bạn đã điều khiển một sinh vật rồi.

# SummonCommanderPet
SummonCommanderPet.CheckBeginCast.Text:			Bạn đã điều khiển Chỉ huy!
SummonCommanderPet.DelveInfo.Text1:			Chức năng: Triệu hồi
SummonCommanderPet.DelveInfo.Text2:			Triệu hồi thú cưng Chỉ huy.
SummonCommanderPet.DelveInfo.Text3:			Mục tiêu: {0}
SummonCommanderPet.DelveInfo.Text4:			Chi phí mana: {0}%
SummonCommanderPet.DelveInfo.Text5:			Thời gian niệm: {0}

#SummonMinionHandler
SummonMinionHandler.CheckBeginCast.Text1:		Bạn phải đang điều khiển Chỉ huy để triệu hồi đầy tớ nhóm!
SummonMinionHandler.CheckBeginCast.Text2:		Chỉ huy của bạn đã điều khiển tối đa đầy tớ!
SummonMinionHandler.DelveInfo.Text1:			Mục tiêu: {0}
SummonMinionHandler.DelveInfo.Text2:			Chi phí mana: {0}%
SummonMinionHandler.DelveInfo.Text3:			Thời gian niệm: {0}

#PetPBAOE
PetPBAOE.CheckBeginCast.NoPet:				Bạn không thể niệm phép này lên sinh vật bạn không điều khiển.

#SummonAnimistFnF
SummonAnimistFnF.CheckBeginCast.NoGroundTarget:		Bạn phải đặt mục tiêu mặt đất cho phép này!
SummonAnimistFnF.CheckBeginCast.TurretAreaCap:		Bạn không thể điều khiển thêm tháp trong khu vực này!
SummonAnimistFnF.CheckBeginCast.TurretPlayerCap:	Bạn không thể điều khiển thêm tháp!

#SummonAnimistPet
SummonAnimistPet.CheckBeginCast.AlreadyHaveaPet:	Bạn đã điều khiển sinh vật!
SummonAnimistPet.CheckBeginCast.GroundTargetNull:	Bạn phải đặt mục tiêu mặt đất cho phép này!
SummonAnimistPet.CheckBeginCast.GroundTargetNotInView:	Bạn không nhìn thấy mục tiêu mặt đất.
SummonAnimistPet.CheckBeginCast.GroundTargetNotInSpellRange:	Chọn mục tiêu mặt đất gần hơn.

#TurretsRelease
TurretsRelease.CheckBeginCast.NoSelectedTarget:		Chỉ có thể niệm lên sinh vật bạn điều khiển.
TurretsRelease.CheckBeginCast.TargetTooFarAway:		Mục tiêu của bạn quá xa.

#PetSpellHandler
PetSpellHandler.CheckBeginCast.NoControlledBrainForCast:	Bạn cần thú cưng để niệm phép này!

#SummonNecromancerPet
SummonNecromancerPet.CheckBeginCast.ShadeEffectIsNotNull:	Bạn đang ở Dạng Bóng!
SummonNecromancerPet.DelveInfo.Function:			Chức năng: Triệu hồi thú cưng
SummonNecromancerPet.DelveInfo.Description:			Triệu hồi thú cưng xác sống phục vụ người niệm. Người niệm vào Dạng Bóng và hành động qua thú cưng.
SummonNecromancerPet.DelveInfo.Target:				Mục tiêu: {0}
SummonNecromancerPet.DelveInfo.Power:				Chi phí mana: {0}%
SummonNecromancerPet.DelveInfo.CastingTime:			Thời gian niệm: {0}

#SavageEnduranceHeal
SavageEnduranceHeal.CheckBeginCast.InsuffiscientHealth:		Bạn không đủ máu để niệm phép này!

#AblativeArmorSpellHandler
AblativeArmor.Target:		Khiên của bạn hấp thụ {0} sát thương.
AblativeArmor.Attacker:		Khiên hấp thụ {0} sát thương của bạn!

#Amnesia
Amnesia.MessageToTarget:	Tâm trí bạn rối loạn và quên việc đang làm!

# Petrify
Petrify.Target.Absorbs:		{0} bị hóa đá và hấp thụ {1} sát thương.
Petrify.Target.Resist:		{0} bị hóa đá và miễn nhiễm phép này.
Petrify.Self.Message:		{0} bị hóa đá.
Petrify.Self.Absorb:		Bạn bị hóa đá và hấp thụ {0} sát thương.
Petrify.Self.Unpetrify:		Trở lại trạng thái bình thường.

# Damnation
Damnation.Self.Message:			Mục tiêu của bạn bị nguyền rủa.
Damnation.Self.Message2:		Bạn chưa biết, nhưng bạn đã chết!
Damnation.Target.Resist:		{0} bị nguyền và miễn nhiễm phép này.
Damnation.Self.Absorb:			Bạn bị nguyền và hấp thụ {0} sát thương!
Damnation.Target.Absorbs:		{0} bị nguyền và hấp thụ {1} sát thương.
Damnation.Self.SpellAbsorb:		Lời nguyền cho phép bạn hấp thụ {0} sát thương phép nhờ trang bị.
Damnation.Target.SpellAbsorbs:	Lời nguyền của {0} hấp thụ {1} sát thương phép nhờ trang bị.
Damnation.Self.Resist:			Bạn bị nguyền và kháng phép.
Damnation.Target.Resist:		{0} bị nguyền và kháng phép.
Damnation.Kill.SelfHeal:		Xác kẻ địch tiếp sức cho bạn {0} máu!
Damnation.Kill.DurationExtended:	Tồn tại bị nguyền của bạn kéo dài thêm {0} giây khi đoạt thêm linh hồn, nhưng kết cục không thể tránh.
Damnation.Self.CannotBeHealed:	Bạn bị nguyền và không thể hồi máu!

# Adrenaline
Adrenaline.Target.Immune:		{0} đang trong Cơn sốt Chiến trận và kháng hoàn toàn!
Adrenaline.Target.Absorbs:		Mục tiêu của bạn hấp thụ {0} sát thương từ đòn của bạn.
Adrenaline.Self.Immune:			Cơn sốt Chiến trận bảo vệ bạn khỏi phép này!
Adrenaline.Self.Absorb:			Bạn hấp thụ {0} sát thương từ phép!

# DebuffImmunity
DebuffImmunity.You.Resisted:			Bạn kháng nhờ miễn nhiễm suy yếu!
DebuffImmunity.Target.Resisted:			{0} kháng nhờ miễn nhiễm suy yếu!

# HealDebuff
HealDebuffSpellHandler.EffectStart.Target:		Hiệu quả hồi máu nhận vào bị giảm do {0}.
HealDebuffSpellHandler.EffectStart.Area:		Hiệu quả hồi máu nhận vào của {0} bị giảm do {1}.
HealDebuffSpellHandler.EffectExpires.Target:	Hiệu quả hồi máu trở lại bình thường.
HealDebuffSpellHandler.EffectExpires.Area:		Hiệu quả hồi máu của {0} trở lại bình thường.

# NecroSummonWeapon
Spells.NecroSumonWeap.Icebrand.You:				Bạn triệu hồi kiếm Icebrand.
Spells.NecroSumonWeap.Icebrand.Target:			{0} triệu hồi kiếm Icebrand.
Spells.NecroSumonWeap.Nethersbane.You:			Bạn triệu hồi kiếm Nethersbane.
Spells.NecroSumonWeap.Nethersbane.Target:		{0} triệu hồi kiếm Nethersbane.

# StyleHandler
StyleHandler.StyleNotFound:						Không tìm thấy thế võ.
StyleHandler.UseStyle:							Bạn dùng thế {0} cho các đòn tấn công.
StyleHandler.NeedsRequirement:					Cần {0} để thi triển thế này.
StyleHandler.NeedsWeapon:						Cần {0} để thi triển thế này.
StyleHandler.AllWeaponTypes:					Mọi loại vũ khí đều dùng được thế này.
StyleHandler.UnknownWeaponType:					Loại vũ khí yêu cầu không rõ.
StyleHandler.StyleNotImplemented:				Thế này chưa được triển khai!
StyleHandler.Opening.DefensiveActionUsing:		hành động phòng thủ với {0}
StyleHandler.Opening.DefensiveAction:			hành động phòng thủ
StyleHandler.Opening.Positional.Back:			đứng sau lưng kẻ địch
StyleHandler.Opening.Positional.Side:			đứng bên hông kẻ địch
StyleHandler.Opening.Positional.Front:			đứng trước mặt kẻ địch
StyleHandler.Opening.Positional.Specific:		vị trí cụ thể so với kẻ địch
StyleHandler.Opening.Default:					điều kiện mở đầu đặc biệt
