# DelveInfo
DelveInfo.CastingTime:          Tempo di lancio: {0}
SpellDescription.ArawnsLegion.MainDescription1:			Invoca Arawn per evocare il suo esercito malvagio sul campo di battaglia.
SpellDescription.ArawnsLegion.MainDescription2:			La legione attacca tutti i bersagli nemici nel raggio (raggio di {0}) per {1} secondi.
SpellDescription.ArawnsLegion.MainDescription3:			Puoi controllare i servitori solo in forma umana, in Forma Decrepit o in Forma Spirit.
SpellDescription.DamageReturn.MainDescription:			Restituisce il {0}% del danno diretto magico (no DoT), in mischia e da proiettili in {1} all'attaccante finché attivo.
SpellDescription.OffProcShear.Main1:					Rimuove i proc offensivi attivi dal bersaglio.
SpellDescription.OffProcShear.Main2:					Applica un proc maledetto di sostituzione i cui sotto-incantesimi curano i nemici del bersaglio quando colpiscono.
SpellDescription.OffProcShear.ReplacementHeader:		Proc di sostituzione:


# ML Spells ShortDescriptions
SpellDescription.Convoker.SummonWood.MainDescription:			Evoca casualmente 100 assi per rinforzare e riparare porte e mura dei forti.
SpellDescription.Convoker.PrescienceNode.MainDescription1:		Runa a terra (raggio 1000) che rileva nemici furtivi senza rompere l'invisibilità.
SpellDescription.Convoker.PrescienceNode.MainDescription2:		La runa può essere attaccata e ha {0} salute.
SpellDescription.Convoker.Prescience.MainDescription1:			Una runa di presenza ti ha individuato!
SpellDescription.Convoker.Prescience.MainDescription2:			Ti conferisce pre-cognizione per anticipare i movimenti nemici.
SpellDescription.Convoker.PowerTrap.MainDescription:			Posiziona una runa che alla detonazione drena il 20% del mana dei nemici (solo chi ha mana).
SpellDescription.Convoker.SpeedWrap.MainDescription:			Runa che annulla i potenziamenti di velocità ai nemici che la attraversano. Per 6 s dopo l'uscita non possono ricevere magie di velocità.
SpellDescription.Convoker.SummonWarcrystal.MainDescription:		Evoca e ripone munizioni d'assedio (pallettoni, sfere, ghiaccio o pietre) nell'inventario.
SpellDescription.Convoker.Battlewarder.MainDescription1:		Evoca un Guardiano di Battaglia per intercettare gli attacchi nemici. Resta immobile e consuma mana mentre è attivo.
SpellDescription.Convoker.Battlewarder.MainDescription2:		Bersaglio a terra. Può coesistere con altri pet; è possibile evocare più guardiani.
SpellDescription.Convoker.DissonanceTrap.MainDescription:		Posiziona una runa che alla detonazione infligge {0} {1}.
SpellDescription.Convoker.BrittleGuard.MainDescription1:		Evoca una “Guardia Fragile” che può bloccare un colpo in mischia al tuo posto.
SpellDescription.Convoker.BrittleGuard.MainDescription2:		Ha 1 punto salute e muore dopo aver intercettato un colpo. Solo una attiva.
SpellDescription.Convoker.SummonMastery.MainDescription:		Aumenta il livello effettivo dei tuoi pet e migliora danno e assorbimento.
SpellDescription.Convoker.SummonTitan.MainDescription1:			Evoca un Titano che cresce in grandezza e potere e colpisce con forza colossale.
SpellDescription.Convoker.SummonTitan.MainDescription2:			Resta immobile e attacca solo a portata di mischia.
SpellDescription.Spymaster.Decoy.MainDescription:				Evoca un alleato esca con equipaggiamento epico, 1 salute e nessuna capacità offensiva per distrarre.
SpellDescription.Spymaster.Sabotage.MainDescription:			Sabota un bersaglio (runa o macchina d'assedio) rendendolo inutilizzabile.
SpellDescription.Spymaster.TangleSnare.MainDescription:			Posiziona una runa che rallenta i nemici nel raggio del {0}% alla detonazione. Rompe la furtività all'uso.
SpellDescription.Spymaster.PoisonSpike.MainDescription:			Posiziona una runa velenosa che infligge {0} {1} ai nemici vicini. Rompe la furtività.
SpellDescription.Spymaster.Loockout.MainDescription1:			Una vedetta stazionaria rileva furtivi in {0} di raggio. Rimane nascosta se non si muove.
SpellDescription.Spymaster.Loockout.MainDescription2:			Il bersaglio deve essere seduto e immobile; se si muove, l'effetto termina.
SpellDescription.Spymaster.SiegeWrecker.MainDescription1:		Runa che infligge ingenti danni alle macchine d'assedio.
SpellDescription.Spymaster.SiegeWrecker.MainDescription2:		Infligge {0} danni all'attivazione.
SpellDescription.Spymaster.EssenceFlare.MainDescription:		Applica un veleno che lascia i nemici in penombra per 15 s.
SpellDescription.Spymaster.BlanketOfCamouflage.MainDescription:	Nasconde il tuo gruppo. Muoversi, lanciare o cantare rimuove l'effetto dai non furtivi.
SpellDescription.Battlemaster.MLEndudrain.MainDescription:		Drena {0} vigore ai nemici vicini.
SpellDescription.Battlemaster.KeepDamageBuff.MainDescription:	Conferisce il {0}% di danni extra contro macchine d'assedio e strutture.
SpellDescription.Battlemaster.MLManadrain.MainDescription:		Drena {0} mana ai nemici vicini.
SpellDescription.Battlemaster.Grapple.MainDescription1:			Effetto a corto raggio che immobilizza per {0} s e annulla gli effetti.
SpellDescription.Battlemaster.Grapple.MainDescription2:			Fissa il bersaglio; non può muoversi né usare attacchi in mischia ma può lanciare/cantare per 10 s.
SpellDescription.Battlemaster.Grapple.MainDescription3:			Un bersaglio fissato non può essere colpito in mischia.
SpellDescription.Battlemaster.EssenceFlamesProc.MainDescription:	{0}% di probabilità di infliggere danno Essenza extra con gli attacchi in mischia.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription1:		Attacco a distanza che usa formule di danno in mischia.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription2:		Gli attacchi in mischia sono disabilitati per 10 s dopo l'uso.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription1:	Riduce del {0}% le resistenze Essenza dei nemici vicini.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription2:	Riduce del {0}% la resistenza Essenza del bersaglio.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription1:	Protegge un alleato vicino dagli attacchi in mischia. Finché il protettore è vivo o in portata, l'alleato non può essere preso di mira.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription2:	L'effetto rimane solo se il protetto resta immobile.
SpellDescription.Battlemaster.EssenceDampenHandler.MainDescription:	Riduce la mobilità del bersaglio del {0}%.
SpellDescription.Banelord.CastingSpeedDebuff.MainDescription:		Riduce la velocità di lancio dei nemici del {0}%.
SpellDescription.Banelord.PBAEDamage.ML2.MainDescription:		Riduce mana, salute e vigore dei nemici nell'area del {0}%.
SpellDescription.Banelord.PBAEDamage.ML8.MainDescription:		Riduce le risorse in area del {0}% e costa a te il {1}% della tua salute.
SpellDescription.Banelord.Oppression.MainDescription:			Riduce del {0}% la capacità di carico massima dei nemici vicini.
SpellDescription.Banelord.FatDebuff.MainDescription:			Aumenta del {0}% il consumo di vigore degli attacchi nemici.
SpellDescription.Banelord.MissHit.MainDescription:				Riduce del {0}% la probabilità di colpire dei nemici vicini.
SpellDescription.Banelord.MLUnbreakableSnare.MainDescription:	Area a corto raggio che rallenta del {0}% e stordisce il lanciatore.
SpellDescription.Banelord.UnrresistableNonImunityStun.MainDescription:	Stordisce per {0} s e impedisce di agire.
SpellDescription.Banelord.ToHitBuff.MainDescription:			Aumenta del {0}% la probabilità di colpire degli alleati vicini.
SpellDescription.Banelord.EffectivenessDeBuff.MainDescription:	Riduce l'efficacia dei nemici (magie e mischia) del {0}%.
SpellDescription.Banelord.Banespike.MainDescription:			Aumenta i danni degli alleati vicini del {0}%.
SpellDescription.Banelord.NbTargetAffected.MainDescription:		Fino a {0} nemici possono essere colpiti.
SpellDescription.Perfector.FOH.MainDescription1:				Crea una sfera ai tuoi piedi che ripristina nel tempo {0} salute agli alleati (fino a 40).
SpellDescription.Perfector.FOH.MainDescription2:				In PvE attira l'attenzione dei nemici sul lanciatore.
SpellDescription.Perfector.FOP.MainDescription1:				Crea una sfera ai tuoi piedi che rigenera {0} mana nel tempo agli alleati (fino a 40).
SpellDescription.Perfector.FOP.MainDescription2:				Gli alleati che hanno combattuto negli ultimi 10 s in PvE non vengono influenzati.
SpellDescription.Perfector.FOR.MainDescription:					Runa che riduce la durata del controllo sugli alleati vicini del {0}%.
SpellDescription.Perfector.SickHeal.MainDescription:			Permette di superare gli effetti legati alla resurrezione.
SpellDescription.Perfector.FOD.MainDescription:					Runa difensiva che drena il {0}% di mana ai nemici nel raggio.
SpellDescription.Perfector.PoT.MainDescription:					Rigenerazione mantenuta che aumenta il mana per tic del {0}%.
SpellDescription.Perfector.CCResist.MainDescription:			Aumenta la resistenza al controllo per {0} s.
SpellDescription.Warlord.PBAEHeal.ML2.MainDescription:			Area che rigenera il {0}% di salute, mana e vigore degli alleati vicini.
SpellDescription.Warlord.PBAEHeal.ML8.MainDescription:			Cura 1000 salute al bersaglio al costo del {0}% della tua vita.
SpellDescription.Warlord.CoweringBellow.MainDescription:		Spaventa i pet nemici controllati entro {0} di raggio e ne riduce l'efficacia.
SpellDescription.Warlord.Critical.MainDescription1:				Aumenta del {1}% la probabilità di critico degli alleati della tua {0} per il prossimo attacco.
SpellDescription.Warlord.Critical.MainDescription2:				Aumenta del {0}% la probabilità di critico del bersaglio per il prossimo attacco.
SpellDescription.Warlord.CleansingAura.MainDescription1:		Riduce l'efficacia dei DoT sugli alleati entro {0} del {1}%. Se il danno scende a zero, l'effetto termina.
SpellDescription.Warlord.CleansingAura.MainDescription2:		Riduce l'efficacia dei DoT sul bersaglio del {0}%. Se il danno scende a zero, termina.
SpellDescription.Warlord.EffectivenessBuff.MainDescription1:	Aumenta l'efficacia degli alleati entro {0} del {1}% (magie e mischia).
SpellDescription.Warlord.EffectivenessBuff.MainDescription2:	Aumenta l'efficacia del bersaglio del {1}% (magie e mischia).
SpellDescription.Warlord.MLABSBuff.MainDescription1:			Aumenta l'assorbimento armatura degli alleati entro {0} del {1}%.
SpellDescription.Warlord.MLABSBuff.MainDescription2:			Aumenta l'assorbimento armatura del bersaglio del {1}%.
SpellDescription.Sojourner.UnmakeCrystalseed.MainDescription:	Distrugge la runa bersaglio e quelle vicine entro {0}.
SpellDescription.Sojourner.AncientTransmuter.MainDescription:	Evoca un mercante per comprare/vendere rifornimenti base.
SpellDescription.Sojourner.Port.MainDescription1:				Teletrasporta alla tua pietra dell'anima. Non funziona in combattimento o RvR.
SpellDescription.Sojourner.Port.MainDescription2:				Teletrasporta {0} giocatori entro {1} alla loro pietra dell'anima. Non in combattimento/RvR.
SpellDescription.Sojourner.EssenceResist.MainDescription:		Aumenta la resistenza al danno naturale (Essenza) del {0}%.
SpellDescription.Sojourner.Zephyr.MainDescription1:				Evoca una raffica che trascina un nemico in direzione casuale rendendolo invulnerabile durante l'effetto.
SpellDescription.Sojourner.Zephyr.MainDescription2:				Un giocatore colpito da Zefiro è immune al successivo per {0} min.
SpellDescription.Sojourner.Phaseshift.MainDescription:			Beneficio personale che ti rende quasi invulnerabile a magie e mischia per {0} s.
SpellDescription.Sojourner.Groupport.MainDescription:			Riporta tutto il gruppo alla tua pietra dell'anima. Se qualcuno è in combattimento, fallisce.
SpellDescription.Stormlord.DazzlingArray.MainDescription1:		Applica un effetto che riduce la probabilità di colpire dei nemici nell'area del {0}%.
SpellDescription.Stormlord.DazzlingArray.MainDescription2:		Valido solo per magie di stordimento; esclude abilità di reame e stili.
SpellDescription.Stormlord.StormMissHit.MainDescription:		Riduce la precisione del bersaglio del {0}%.
SpellDescription.Stormlord.VacuumVortex.MainDescription:		Bersaglio a terra che sposta le tempeste vicine su un punto casuale del bordo.
SpellDescription.Stormlord.EnervatingGas.MainDescription:		Emette gas che riducono il vigore dei nemici del {0}%.
SpellDescription.Stormlord.StormEndudrain.MainDescription:		Tempesta che drena {0} vigore ai nemici all'interno.
SpellDescription.Stormlord.InebriatingFumes.MainDescription:	Riduce gradualmente Destrezza e Velocità del {0}% a chi rimane nel fumo.
SpellDescription.Stormlord.StormDexQuickDebuff.MainDescription:	Riduce Destrezza e Velocità del bersaglio del {0}%.
SpellDescription.Stormlord.MentalSiphon.MainDescription:		Tempesta che drena {0} mana ai nemici all'interno.
SpellDescription.Stormlord.PowerDrainStorm.MainDescription:		Drena {0} mana al bersaglio.
SpellDescription.Stormlord.FocusingWinds.MainDescription:		Crea e fissa una tempesta alleata. Termina se ti muovi.
SpellDescription.Stormlord.ChokingVapors.MainDescription:		Riduce gradualmente Forza e Costituzione del {0}% a chi rimane nel fumo.
SpellDescription.Stormlord.StormStrConstDebuff.MainDescription:	Riduce Forza e Costituzione del bersaglio del {0}%.
SpellDescription.Stormlord.SenseDullingCloud.MainDescription:	Tempesta che ottunde i sensi riducendo la Lucidità del {0}%.
SpellDescription.Stormlord.StormAcuityDebuff.MainDescription:	Riduce la Lucidità del bersaglio del {0}%.
SpellDescription.Stormlord.EnergyTempest.MainDescription:		Tempesta che infligge danno Essenza ai nemici all'interno.
SpellDescription.Stormlord.StormEnergyTempest.MainDescription:	Infligge {0} {1} per {2} s ai nemici all'interno.
SpellDescription.MLBase.TargetModifier.MainDescription:			Beneficio personale che permette di modificare o estendere il raggio della prossima magia (singola o ad area).
SpellDescription.MLBase.BanelordSnare.MainDescription:			Area a corto raggio che rallenta del {0}% e stordisce il lanciatore.

# AblativeArmor
AblativeArmor.DelveInfo.Function:			Funzione: tampone ai colpi in mischia
AblativeArmor.DelveInfo.Absorption1:			Assorbimento: {0}%
AblativeArmor.DelveInfo.Absorption2:			Assorbimento: 100%
AblativeArmor.DelveInfo.Absorption3:			Assorbimento: 25%
AblativeArmor.DelveInfo.CastingTime:			Istantaneo

# DamageSpeedDecrease
DamageSpeedDecrease.DelveInfo.Decrease:			Riduzione velocità: {0}%
DamageSpeedDecrease.DelveInfo.Function:			Funzione: Riduzione velocità + danno

# ResistDebuff
ResistDebuff.DelveInfo.Decrease:			Riduce resistenza {0}: {1}
ResistDebuff.DelveInfo.Function:			Funzione: Riduzione resistenze

#CharmSpellHandler
CharmSpellHandler.DelveInfo.Function:			Funzione: {0}
CharmSpellHandler.Species.Humanoid:				Umanoide
CharmSpellHandler.Species.Animal:				Animale
CharmSpellHandler.Species.Insect:				Insetto
CharmSpellHandler.Species.Reptile:				Rettilo
CharmSpellHandler.Species.HumanoidAnimal:		Umanoide o Animale
CharmSpellHandler.Species.HumanoidAnimalInsect:					Umanoide, Animale e Insetto
CharmSpellHandler.Species.HumanoidAnimalInsectMagical:			Umanoide, Animale, Insetto e Magico
CharmSpellHandler.Species.HumanoidAnimalInsectMagicalUndead:	Umanoide, Animale, Insetto, Magico e Non morto

#IllusionSpell SpellHandler
IllusionSpell.Arrangement.Random:		casuale
IllusionSpell.Arrangement.Circle:		in cerchio
IllusionSpell.Arrangement.Line:			in linea

#WarlockSpeedDecrease SpellHandler Appearances
WarlockSpeedDecrease.Appearance.Frog:			Rana
WarlockSpeedDecrease.Appearance.Worm:			Verme
WarlockSpeedDecrease.Appearance.Lizard:			Lucertola
WarlockSpeedDecrease.Appearance.Wisp:			Fatuo
WarlockSpeedDecrease.Appearance.Fairy:			Fata
WarlockSpeedDecrease.Appearance.Scarab:			Scarabèo
WarlockSpeedDecrease.Appearance.Spider:			Ragno
WarlockSpeedDecrease.Appearance.Cyclop:			Ciclope
WarlockSpeedDecrease.Appearance.Mantis:			Mantide
WarlockSpeedDecrease.Appearance.Flame:			Fiammella
WarlockSpeedDecrease.Appearance.Bird:			Rondine
WarlockSpeedDecrease.Appearance.Simulacrum:		Simulacro

# DamageAddAndShield
DamageAddAndShield.EventHandlerDA.DamageToYou:		{0} ti colpisce per {1} danno aggiuntivo!
DamageAddAndShield.EventHandlerDA.YouHitExtra:		Colpisci {0} per {1} danno aggiuntivo!
DamageAddAndShield.EventHandlerDA.YouHitFor:		Colpisci {0} per {1} danno aggiuntivo!
DamageAddAndShield.EventHandlerDA.YourHitFor:		Il tuo {0} colpisce {1} per {2} danno aggiuntivo!
DamageAddAndShield.EventHandlerDS.DamageToYou:		{0} ti colpisce per {1} danno aggiuntivo!
DamageAddAndShield.EventHandlerDS.YouHitFor:		Colpisci {0} per {1} danno aggiuntivo!
DamageAddAndShield.EventHandlerDS.YourHitFor:		Il tuo {0} colpisce {1} per {2} danno aggiuntivo!

# DirectDamageDebuffSpellHandler
DirectDamageDebuffSpellHandler.DelveInfo.Decrease:	Riduzione resistenza ({0}): {1}%
DirectDamageDebuffSpellHandler.DelveInfo.Function:	Funzione: Danno/Riduzione resistenze

# DoTSpellHandler
DoTSpellHandler.SendDamageMessages.YouHitFor:		Colpisci {0} per {1} danni!
DoTSpellHandler.SendDamageMessages.YourCriticallyHits:	Il tuo {0} colpisce criticamente {1} causando {2} danni aggiuntivi!
DoTSpellHandler.SendDamageMessages.YourHitsFor:		Il tuo {0} colpisce {1} per {2} danni!

# NearsightSpellHandler
NearsightSpellHandler.DelveInfo.Function:		Funzione: Riduzione portata {0}

# ProcSpellHandler
ProcSpellHandler.DelveInfo.Function:			Funzione: {0}

Summon.CheckBeginCast.AlreadyHaveaPet:			Controlli già una creatura.

# SummonCommanderPet
SummonCommanderPet.CheckBeginCast.Text:			Controlli già un Comandante!
SummonCommanderPet.DelveInfo.Text1:			Funzione: Evocazione
SummonCommanderPet.DelveInfo.Text2:			Evoca un famiglio Comandante.
SummonCommanderPet.DelveInfo.Text3:			Bersaglio: {0}
SummonCommanderPet.DelveInfo.Text4:			Costo mana: {0}%
SummonCommanderPet.DelveInfo.Text5:			Tempo di lancio: {0}

#SummonMinionHandler
SummonMinionHandler.CheckBeginCast.Text1:		Devi controllare un Comandante per evocare un servitore nel gruppo!
SummonMinionHandler.CheckBeginCast.Text2:		Il tuo Comandante controlla già il numero massimo di servitori!
SummonMinionHandler.DelveInfo.Text1:			Bersaglio: {0}
SummonMinionHandler.DelveInfo.Text2:			Costo mana: {0}%
SummonMinionHandler.DelveInfo.Text3:			Tempo di lancio: {0}

#PetPBAOE
PetPBAOE.CheckBeginCast.NoPet:				Non puoi lanciare questa magia su una creatura che non controlli.

#SummonAnimistFnF
SummonAnimistFnF.CheckBeginCast.NoGroundTarget:		Devi impostare un bersaglio a terra per questa magia!
SummonAnimistFnF.CheckBeginCast.TurretAreaCap:		Non puoi controllare altre torrette in questa zona!
SummonAnimistFnF.CheckBeginCast.TurretPlayerCap:	Non puoi controllare altre torrette!

#SummonAnimistPet
SummonAnimistPet.CheckBeginCast.AlreadyHaveaPet:	Controlli già una creatura!
SummonAnimistPet.CheckBeginCast.GroundTargetNull:	Devi impostare un bersaglio a terra per questa magia!
SummonAnimistPet.CheckBeginCast.GroundTargetNotInView:	Non hai in vista il bersaglio a terra.
SummonAnimistPet.CheckBeginCast.GroundTargetNotInSpellRange:	Scegli un bersaglio a terra più vicino.

#TurretsRelease
TurretsRelease.CheckBeginCast.NoSelectedTarget:		Puoi lanciare questa magia solo su una creatura che controlli.
TurretsRelease.CheckBeginCast.TargetTooFarAway:		Il tuo bersaglio è troppo lontano.

#PetSpellHandler
PetSpellHandler.CheckBeginCast.NoControlledBrainForCast:	Ti serve un famiglio per lanciare questa magia!

#SummonNecromancerPet
SummonNecromancerPet.CheckBeginCast.ShadeEffectIsNotNull:	Sei già in forma d'Ombra!
SummonNecromancerPet.DelveInfo.Function:			Funzione: Evocazione famiglio
SummonNecromancerPet.DelveInfo.Description:			Evoca un famiglio non morto al servizio del lanciatore. Il lanciatore assume forma d'Ombra e agisce tramite il suo famiglio.
SummonNecromancerPet.DelveInfo.Target:				Bersaglio: {0}
SummonNecromancerPet.DelveInfo.Power:				Costo mana: {0}%
SummonNecromancerPet.DelveInfo.CastingTime:			Tempo di lancio: {0}

#SavageEnduranceHeal
SavageEnduranceHeal.CheckBeginCast.InsuffiscientHealth:		Non hai abbastanza salute per lanciare questa magia!

#AblativeArmorSpellHandler
AblativeArmor.Target:	Il tuo scudo assorbe {0} danni.
AblativeArmor.Attacker:	Uno scudo assorbe {0} dei tuoi danni!

#Amnesia
Amnesia.MessageToTarget:	La tua mente si aggroviglia e dimentichi ciò che stavi facendo!

# Petrify
Petrify.Target.Absorbs:		{0} è pietrificato e assorbe {1} danni.
Petrify.Target.Resist:		{0} è pietrificato ed è immune a questa magia.
Petrify.Self.Message:		{0} è pietrificato.
Petrify.Self.Absorb:		Sei pietrificato e assorbi {0} danni.
Petrify.Self.Unpetrify:		Torni allo stato normale.

# Damnation
Damnation.Self.Message:			Il tuo bersaglio è dannato.
Damnation.Self.Message2:		Non lo sai ancora, ma sei già morto!
Damnation.Target.Resist:		{0} è dannato ed è immune a questa magia.
Damnation.Self.Absorb:			Sei dannato e assorbi {0} danni!
Damnation.Target.Absorbs:		{0} è dannato e assorbe {1} danni!
Damnation.Self.SpellAbsorb:		La tua dannazione ti permette di assorbire {0} danni magici grazie al tuo equipaggiamento!
Damnation.Target.SpellAbsorbs:	La dannazione di {0} assorbe {1} danni magici grazie al suo equipaggiamento!
Damnation.Self.Resist:			Sei dannato e resisti alla magia!
Damnation.Target.Resist:		{0} è dannato e resiste alla magia!
Damnation.Kill.SelfHeal:		Il cadavere del tuo nemico ti rigenera di {0} salute!
Damnation.Kill.DurationExtended:	La tua esistenza dannata si prolunga di {0} s rubando un'altra anima, ma la fine è inevitabile.
Damnation.Self.CannotBeHealed:	Sei dannato e non puoi essere curato!

# Adrenaline
Adrenaline.Target.Immune:		{0} è in Furia di Battaglia e resiste completamente!
Adrenaline.Target.Absorbs:		Il tuo bersaglio assorbe {0} danni del tuo attacco!
Adrenaline.Self.Immune:			La tua Furia di Battaglia ti protegge da questa magia!
Adrenaline.Self.Absorb:			Assorbi {0} danni della magia!

# DebuffImmunity
DebuffImmunity.You.Resisted:			Resisti grazie alla tua immunità ai debilitamenti!
DebuffImmunity.Target.Resisted:			{0} resiste grazie alla sua immunità ai debilitamenti!

# HealDebuff
HealDebuffSpellHandler.EffectStart.Target:		L'efficacia delle cure ricevute è ridotta a causa di {0}.
HealDebuffSpellHandler.EffectStart.Area:		L'efficacia delle cure ricevute da {0} è ridotta a causa di {1}.
HealDebuffSpellHandler.EffectExpires.Target:	L'efficacia delle cure torna normale.
HealDebuffSpellHandler.EffectExpires.Area:		L'efficacia delle cure di {0} torna normale.

# NecroSummonWeapon
Spells.NecroSumonWeap.Icebrand.You:				Evochi la spada Icebrand.
Spells.NecroSumonWeap.Icebrand.Target:			{0} evoca la spada Icebrand.
Spells.NecroSumonWeap.Nethersbane.You:			Evochi la spada Nethersbane.
Spells.NecroSumonWeap.Nethersbane.Target:		{0} evoca la spada Nethersbane.

# StyleHandler
StyleHandler.StyleNotFound:						Stile di combattimento non trovato.
StyleHandler.UseStyle:							Usi lo stile {0} per i tuoi attacchi.
StyleHandler.NeedsRequirement:					Richiede {0} per eseguire questo stile.
StyleHandler.NeedsWeapon:						Ti serve un(a) {0} per eseguire questo stile.
StyleHandler.AllWeaponTypes:					Tutti i tipi di arma sono compatibili con questo stile.
StyleHandler.UnknownWeaponType:					Tipo di arma richiesto sconosciuto.
StyleHandler.StyleNotImplemented:				Questo stile non è ancora implementato!
StyleHandler.Opening.DefensiveActionUsing:		un'azione difensiva con {0}
StyleHandler.Opening.DefensiveAction:			un'azione difensiva
StyleHandler.Opening.Positional.Back:			trovarti dietro al nemico
StyleHandler.Opening.Positional.Side:			trovarti al fianco del nemico
StyleHandler.Opening.Positional.Front:			trovarti di fronte al nemico
StyleHandler.Opening.Positional.Specific:		una posizione specifica rispetto al nemico
StyleHandler.Opening.Default:					una condizione di apertura speciale

