# SpellHandler (DE)
SpellHandler.CancelEffect:			Ihr beendet Euren Effekt.
SpellHandler.Cleric.Ascendance.OnStart:		Sie erreichen den Aufstieg und steigern Ihre Effizienz erheblich.
SpellHandler.Cleric.Ascendance.CanceledMoC:		Ihre Meisterschaft der Konzentration erlischt, da Sie den Aufstieg betreten.
SpellHandler.Cleric.Ascendance.CannotCast:		Der Aufstieg verhindert das Wirken von {0}.
SpellHandler.Cleric.Ascendance.MocCanceledAscendance:	Ihr Aufstieg erlischt, während Sie Ihre Konzentration fokussieren.
SpellHandler.Cleric.DamageReturn.Active:		Eine mächtige reflektierende Aura umgibt Sie.
SpellHandler.Cleric.DamageReturn.WornOff:		Ihre reflektierende Barriere ist erloschen.
SpellHandler.Cleric.DamageReturn.VictimReflect:	Ihre Barriere reflektiert {0} {1} auf den Angreifer.
SpellHandler.Cleric.DamageReturn.AttackerHurt:	Sie erleiden {0} {1} aufgrund der reflektierenden Zauberbarriere des Gegners.
SpellHandler.Cleric.OffProcShear.Removed:		Die offensiven Procs des Ziels wurden entfernt!
SpellHandler.Cleric.OffProcShear.YourProcRipped:	Ihre offensiven Procs wurden entfernt!
SpellHandler.Cleric.OffProcShear.AppliedCursedProc:	Ein verfluchter Ersatz‑Proc wurde auf das Ziel angewendet!
SpellHandler.Cleric.OffProcShear.YouAreCursed:		Sie sind verflucht: Ihre Treffer heilen Ihre Feinde.
SpellHandler.Cleric.OffProcShear.NoEnhancementFound:	Keine offensiven Procs auf dem Ziel gefunden.

SpellHandler.Occultist.CastCondition1:			Sie müssen in chthonischer Form sein, um diesen Zauber zu wirken.
SpellHandler.Occultist.CastCondition2:			Sie können diesen Zauber nicht wirken, während Sie in chthonischer Form sind.
SpellHandler.Occultist.CastCondition3:			Sie können diesen Zauber nicht wirken, während Sie in gebrechlicher Form oder Geisterform sind.
SpellHandler.Occultist.CastCondition4:			Sie müssen Ihre aktuelle Form verlassen, bevor Sie diesen Zauber wirken.
SpellHandler.Occultist.Self.AbsorbToPower:		Sie siphonen {0} Mana aus dem erhaltenen Angriff.
SpellHandler.Occultist.ArawnsLegion.PetAnswer:			{0} antwortet Eurem Ruf!
SpellHandler.Occultist.ArawnsLegion.NoTemplateFound:	NSC-Vorlage {0} wurde nicht gefunden.

SpellHandler.SummonMonster.Target.Resist:			{0} wurde aus den Limbus als Zombie zurückgeholt und bleibt gegen diesen Zauber unempfindlich!
SpellHandler.IllusionSpell.Target.Resist:			{0} hat eine Illusion beschworen und kann von diesem Zauber nicht betroffen werden!
SpellHandler.Morphed.Target.Resist:			{0} hat eine Metamorphose durchlaufen und kann von diesem Zauber nicht betroffen werden!

SpellHandler.DelveInfo.Sec:			Sekunde(n)
